   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
------ + --------------------------------------------------+------------------------+---------------------------------------+---------------------------------------+-------------------

    41 : A                                                 A                        A                                       Basic Latin                             LATIN CAPITAL LETTER A
   410 : Acyr                                              Acyr                     Acyr                                    Cyrillic                                CYRILLIC CAPITAL LETTER A

   F60 : tb-AA                                             -                        tb-AA                                   Tibetan                                 TIBETAN LETTER -A   
  A732 : AA                                                -                        AA                                      Latin Extended-D                        LATIN CAPITAL LETTER AA

   102 : Abreve                                            Abreve                   Abreve                                  Latin Extended-A                        LATIN CAPITAL LETTER A WITH BREVE
   4D0 : Abrevecyr                                         Abrevecyr                Abrevecyr                               Cyrillic                                CYRILLIC CAPITAL LETTER A WITH BREVE

    C4 : Adieresis                                         Adieresis                Adieresis                               Latin-1 Supplement                      LATIN CAPITAL LETTER A WITH DIAERESIS
   4D2 : Adieresiscyr                                      Adieresiscyr             Adieresiscyr                            Cyrillic                                CYRILLIC CAPITAL LETTER A WITH DIAERESIS

   512 : Elhookcyr                                         -                        Elhookcyr                               Cyrillic Supplement                     CYRILLIC CAPITAL LETTER EL WITH HOOK
   520 : Elhookcyr                                         -                        Elhookcyr                               Cyrillic Supplement                     CYRILLIC CAPITAL LETTER EL WITH MIDDLE HOOK

   4C7 : Enhookcyr                                         Enhookcyrillic           Enhookcyr                               Cyrillic                                CYRILLIC CAPITAL LETTER EN WITH HOOK
   522 : Enhookcyr                                         -                        Enhookcyr                               Cyrillic Supplement                     CYRILLIC CAPITAL LETTER EN WITH MIDDLE HOOK

   18E : Ereversed                                         Eturned                  Ereversed                               Latin Extended-B                        LATIN CAPITAL LETTER REVERSED E
   42D : Ereversedcyr                                      Ecyr                     Ereversedcyr                            Cyrillic                                CYRILLIC CAPITAL LETTER E

   538 : am-Et                                             Etarmenian               am-Et                                   Armenian                                ARMENIAN CAPITAL LETTER ET
  A76A : Et                                                -                        Et                                      Latin Extended-D                        LATIN CAPITAL LETTER ET

    49 : I                                                 I                        I                                       Basic Latin                             LATIN CAPITAL LETTER I
   418 : Icyr                                              Icyr                     Icyr                                    Cyrillic                                CYRILLIC CAPITAL LETTER I

    CF : Idieresis                                         Idieresis                Idieresis                               Latin-1 Supplement                      LATIN CAPITAL LETTER I WITH DIAERESIS
   4E4 : Idieresiscyr                                      Idieresiscyr             Idieresiscyr                            Cyrillic                                CYRILLIC CAPITAL LETTER I WITH DIAERESIS

    CC : Igrave                                            Igrave                   Igrave                                  Latin-1 Supplement                      LATIN CAPITAL LETTER I WITH GRAVE
   40D : Igravecyr                                         Igravecyr                Igravecyr                               Cyrillic                                CYRILLIC CAPITAL LETTER I WITH GRAVE

   12A : Imacron                                           Imacron                  Imacron                                 Latin Extended-A                        LATIN CAPITAL LETTER I WITH MACRON
   4E2 : Imacroncyr                                        Imacroncyr               Imacroncyr                              Cyrillic                                CYRILLIC CAPITAL LETTER I WITH MACRON

   3DE : Koppa                                             Koppagreek               Koppa                                   Greek and Coptic                        GREEK LETTER KOPPA  
   480 : Koppacyr                                          Koppacyrillic            Koppacyr                                Cyrillic                                CYRILLIC CAPITAL LETTER KOPPA

