# Alphabetic Presentation Forms FB00 - FB4F
FB00	f_f	LATIN SMALL LIGATURE FF
FB01	fi	LATIN SMALL LIGATURE FI
FB02	fl	LATIN SMALL LIGATURE FL
FB03	If_f	LATIN SMALL LIGATURE FFI
FB04	Lf_f	LATIN SMALL LIGATURE FFL
FB05	longs_t	LATIN SMALL LIGATURE LONG S T
FB06	s_t	LATIN SMALL LIGATURE ST
FB13	men_now	ARMENIAN SMALL LIGATURE MEN NOW
FB14	men_ech	ARMENIAN SMALL LIGATURE MEN ECH
FB15	men_ini	ARMENIAN SMALL LIGATURE MEN INI
FB16	vew_now	ARMENIAN SMALL LIGATURE VEW NOW
FB17	men_xeh	ARMENIAN SMALL LIGATURE MEN XEH
FB1D	yodwithhiriq	HEBREW LETTER YOD WITH HIRIQ
FB1E	varikajudeospanishpt	HEBREW POINT JUDEO-SPANISH VARIKA
FB1F	yod_yod_patah	HEBREW LIGATURE YIDDISH YOD YOD PATAH
FB20	ayinalt	HEBREW LETTER ALTERNATIVE AYIN
FB21	alefwide	HEBREW LETTER WIDE ALEF
FB22	daletwide	HEBREW LETTER WIDE DALET
FB23	hewide	HEBREW LETTER WIDE HE
FB24	kafwide	HEBREW LETTER WIDE KAF
FB25	lamedwide	HEBREW LETTER WIDE LAMED
FB26	memwide.fina	HEBREW LETTER WIDE FINAL MEM
FB27	reshwide	HEBREW LETTER WIDE RESH
FB28	tavwide	HEBREW LETTER WIDE TAV
FB29	plussignalt	HEBREW LETTER ALTERNATIVE PLUS SIGN
FB2A	shinwithshindot	HEBREW LETTER SHIN WITH SHIN DOT
FB2B	shinwithsindot	HEBREW LETTER SHIN WITH SIN DOT
FB2C	shinwithdageshandshindot	HEBREW LETTER SHIN WITH DAGESH AND SHIN DOT
FB2D	shinwithdageshandsindot	HEBREW LETTER SHIN WITH DAGESH AND SIN DOT
FB2E	alefwithpatah	HEBREW LETTER ALEF WITH PATAH
FB2F	alefwithqamats	HEBREW LETTER ALEF WITH QAMATS
FB30	alefwithmapiq	HEBREW LETTER ALEF WITH MAPIQ
FB31	betwithdagesh	HEBREW LETTER BET WITH DAGESH
FB32	gimelwithdagesh	HEBREW LETTER GIMEL WITH DAGESH
FB33	daletwithdagesh	HEBREW LETTER DALET WITH DAGESH
FB34	hewithmapiq	HEBREW LETTER HE WITH MAPIQ
FB35	vavwithdagesh	HEBREW LETTER VAV WITH DAGESH
FB36	zayinwithdagesh	HEBREW LETTER ZAYIN WITH DAGESH
FB38	tetwithdagesh	HEBREW LETTER TET WITH DAGESH
FB39	yodwithdagesh	HEBREW LETTER YOD WITH DAGESH
FB3A	kafwithdagesh.fina	HEBREW LETTER FINAL KAF WITH DAGESH
FB3B	kafwithdagesh	HEBREW LETTER KAF WITH DAGESH
FB3C	lamedwithdagesh	HEBREW LETTER LAMED WITH DAGESH
FB3E	memwithdagesh	HEBREW LETTER MEM WITH DAGESH
FB40	nunwithdagesh	HEBREW LETTER NUN WITH DAGESH
FB41	samekhwithdagesh	HEBREW LETTER SAMEKH WITH DAGESH
FB43	pewithdagesh.fina	HEBREW LETTER FINAL PE WITH DAGESH
FB44	pewithdagesh	HEBREW LETTER PE WITH DAGESH
FB46	tsadiwithdagesh	HEBREW LETTER TSADI WITH DAGESH
FB47	qofwithdagesh	HEBREW LETTER QOF WITH DAGESH
FB48	reshwithdagesh	HEBREW LETTER RESH WITH DAGESH
FB49	shinwithdagesh	HEBREW LETTER SHIN WITH DAGESH
FB4A	tavwithdagesh	HEBREW LETTER TAV WITH DAGESH
FB4B	vavwithholam	HEBREW LETTER VAV WITH HOLAM
FB4C	betwithrafe	HEBREW LETTER BET WITH RAFE
FB4D	kafwithrafe	HEBREW LETTER KAF WITH RAFE
FB4E	pewithrafe	HEBREW LETTER PE WITH RAFE
FB4F	ligaturealeflamed	HEBREW LIGATURE ALEF LAMED
