# Ancient Greek Musical Notation 1D200 - 1D24F
1D200	gr-greekvocalnotationsymbol1	GREEK VOCAL NOTATION SYMBOL-1
1D201	gr-greekvocalnotationsymbol2	GREEK VOCAL NOTATION SYMBOL-2
1D202	gr-greekvocalnotationsymbol3	GREEK VOCAL NOTATION SYMBOL-3
1D203	gr-greekvocalnotationsymbol4	GREEK VOCAL NOTATION SYMBOL-4
1D204	gr-greekvocalnotationsymbol5	GREEK VOCAL NOTATION SYMBOL-5
1D205	gr-greekvocalnotationsymbol6	GREEK VOCAL NOTATION SYMBOL-6
1D206	gr-greekvocalnotationsymbol7	GREEK VOCAL NOTATION SYMBOL-7
1D207	gr-greekvocalnotationsymbol8	GREEK VOCAL NOTATION SYMBOL-8
1D208	gr-greekvocalnotationsymbol9	GREEK VOCAL NOTATION SYMBOL-9
1D209	gr-greekvocalnotationsymbol10	GREEK VOCAL NOTATION SYMBOL-10
1D20A	gr-greekvocalnotationsymbol11	GREEK VOCAL NOTATION SYMBOL-11
1D20B	gr-greekvocalnotationsymbol12	GREEK VOCAL NOTATION SYMBOL-12
1D20C	gr-greekvocalnotationsymbol13	GREEK VOCAL NOTATION SYMBOL-13
1D20D	gr-greekvocalnotationsymbol14	GREEK VOCAL NOTATION SYMBOL-14
1D20E	gr-greekvocalnotationsymbol15	GREEK VOCAL NOTATION SYMBOL-15
1D20F	gr-greekvocalnotationsymbol16	GREEK VOCAL NOTATION SYMBOL-16
1D210	gr-greekvocalnotationsymbol17	GREEK VOCAL NOTATION SYMBOL-17
1D211	gr-greekvocalnotationsymbol18	GREEK VOCAL NOTATION SYMBOL-18
1D212	gr-greekvocalnotationsymbol19	GREEK VOCAL NOTATION SYMBOL-19
1D213	gr-greekvocalnotationsymbol20	GREEK VOCAL NOTATION SYMBOL-20
1D214	gr-greekvocalnotationsymbol21	GREEK VOCAL NOTATION SYMBOL-21
1D215	gr-greekvocalnotationsymbol22	GREEK VOCAL NOTATION SYMBOL-22
1D216	gr-greekvocalnotationsymbol23	GREEK VOCAL NOTATION SYMBOL-23
1D217	gr-greekvocalnotationsymbol24	GREEK VOCAL NOTATION SYMBOL-24
1D218	gr-greekvocalnotationsymbol50	GREEK VOCAL NOTATION SYMBOL-50
1D219	gr-greekvocalnotationsymbol51	GREEK VOCAL NOTATION SYMBOL-51
1D21A	gr-greekvocalnotationsymbol52	GREEK VOCAL NOTATION SYMBOL-52
1D21B	gr-greekvocalnotationsymbol53	GREEK VOCAL NOTATION SYMBOL-53
1D21C	gr-greekvocalnotationsymbol54	GREEK VOCAL NOTATION SYMBOL-54
1D21D	gr-greekinstrumentalnotationsymbol1	GREEK INSTRUMENTAL NOTATION SYMBOL-1
1D21E	gr-greekinstrumentalnotationsymbol2	GREEK INSTRUMENTAL NOTATION SYMBOL-2
1D21F	gr-greekinstrumentalnotationsymbol4	GREEK INSTRUMENTAL NOTATION SYMBOL-4
1D220	gr-greekinstrumentalnotationsymbol5	GREEK INSTRUMENTAL NOTATION SYMBOL-5
1D221	gr-greekinstrumentalnotationsymbol7	GREEK INSTRUMENTAL NOTATION SYMBOL-7
1D222	gr-greekinstrumentalnotationsymbol8	GREEK INSTRUMENTAL NOTATION SYMBOL-8
1D223	gr-greekinstrumentalnotationsymbol11	GREEK INSTRUMENTAL NOTATION SYMBOL-11
1D224	gr-greekinstrumentalnotationsymbol12	GREEK INSTRUMENTAL NOTATION SYMBOL-12
1D225	gr-greekinstrumentalnotationsymbol13	GREEK INSTRUMENTAL NOTATION SYMBOL-13
1D226	gr-greekinstrumentalnotationsymbol14	GREEK INSTRUMENTAL NOTATION SYMBOL-14
1D227	gr-greekinstrumentalnotationsymbol17	GREEK INSTRUMENTAL NOTATION SYMBOL-17
1D228	gr-greekinstrumentalnotationsymbol18	GREEK INSTRUMENTAL NOTATION SYMBOL-18
1D229	gr-greekinstrumentalnotationsymbol19	GREEK INSTRUMENTAL NOTATION SYMBOL-19
1D22A	gr-greekinstrumentalnotationsymbol23	GREEK INSTRUMENTAL NOTATION SYMBOL-23
1D22B	gr-greekinstrumentalnotationsymbol24	GREEK INSTRUMENTAL NOTATION SYMBOL-24
1D22C	gr-greekinstrumentalnotationsymbol25	GREEK INSTRUMENTAL NOTATION SYMBOL-25
1D22D	gr-greekinstrumentalnotationsymbol26	GREEK INSTRUMENTAL NOTATION SYMBOL-26
1D22E	gr-greekinstrumentalnotationsymbol27	GREEK INSTRUMENTAL NOTATION SYMBOL-27
1D22F	gr-greekinstrumentalnotationsymbol29	GREEK INSTRUMENTAL NOTATION SYMBOL-29
1D230	gr-greekinstrumentalnotationsymbol30	GREEK INSTRUMENTAL NOTATION SYMBOL-30
1D231	gr-greekinstrumentalnotationsymbol32	GREEK INSTRUMENTAL NOTATION SYMBOL-32
1D232	gr-greekinstrumentalnotationsymbol36	GREEK INSTRUMENTAL NOTATION SYMBOL-36
1D233	gr-greekinstrumentalnotationsymbol37	GREEK INSTRUMENTAL NOTATION SYMBOL-37
1D234	gr-greekinstrumentalnotationsymbol38	GREEK INSTRUMENTAL NOTATION SYMBOL-38
1D235	gr-greekinstrumentalnotationsymbol39	GREEK INSTRUMENTAL NOTATION SYMBOL-39
1D236	gr-greekinstrumentalnotationsymbol40	GREEK INSTRUMENTAL NOTATION SYMBOL-40
1D237	gr-greekinstrumentalnotationsymbol42	GREEK INSTRUMENTAL NOTATION SYMBOL-42
1D238	gr-greekinstrumentalnotationsymbol43	GREEK INSTRUMENTAL NOTATION SYMBOL-43
1D239	gr-greekinstrumentalnotationsymbol45	GREEK INSTRUMENTAL NOTATION SYMBOL-45
1D23A	gr-greekinstrumentalnotationsymbol47	GREEK INSTRUMENTAL NOTATION SYMBOL-47
1D23B	gr-greekinstrumentalnotationsymbol48	GREEK INSTRUMENTAL NOTATION SYMBOL-48
1D23C	gr-greekinstrumentalnotationsymbol49	GREEK INSTRUMENTAL NOTATION SYMBOL-49
1D23D	gr-greekinstrumentalnotationsymbol50	GREEK INSTRUMENTAL NOTATION SYMBOL-50
1D23E	gr-greekinstrumentalnotationsymbol51	GREEK INSTRUMENTAL NOTATION SYMBOL-51
1D23F	gr-greekinstrumentalnotationsymbol52	GREEK INSTRUMENTAL NOTATION SYMBOL-52
1D240	gr-greekinstrumentalnotationsymbol53	GREEK INSTRUMENTAL NOTATION SYMBOL-53
1D241	gr-greekinstrumentalnotationsymbol54	GREEK INSTRUMENTAL NOTATION SYMBOL-54
1D242	gr-combininggreekmusicaltriseme	COMBINING GREEK MUSICAL TRISEME
1D243	gr-combininggreekmusicaltetraseme	COMBINING GREEK MUSICAL TETRASEME
1D244	gr-combininggreekmusicalpentaseme	COMBINING GREEK MUSICAL PENTASEME
1D245	gr-greekmusicalleimma	GREEK MUSICAL LEIMMA
