# Ancient Symbols 10190 - 101CF
10190	ncnt-romansextanssign	ROMAN SEXTANS SIGN
10191	ncnt-romanunciasign	ROMAN UNCIA SIGN
10192	ncnt-romansemunciasign	ROMAN SEMUNCIA SIGN
10193	ncnt-romansextulasign	ROMAN SEXTULA SIGN
10194	ncnt-romandimidiasextulasign	ROMAN DIMIDIA SEXTULA SIGN
10195	ncnt-romansiliquasign	ROMAN SILIQUA SIGN
10196	ncnt-romandenariussign	ROMAN DENARIUS SIGN
10197	ncnt-romanquinariussign	ROMAN QUINARIUS SIGN
10198	ncnt-romansestertiussign	ROMAN SESTERTIUS SIGN
10199	ncnt-romandupondiussign	ROMAN DUPONDIUS SIGN
1019A	ncnt-romanassign	ROMAN AS SIGN
1019B	ncnt-romancenturialsign	ROMAN CENTURIAL SIGN
