# Armenian 0530 - 058F
0531	am-Ayb	ARMENIAN CAPITAL LETTER AYB
0532	am-Ben	ARMENIAN CAPITAL LETTER BEN
0533	am-Gim	ARMENIAN CAPITAL LETTER GIM
0534	am-Da	ARMENIAN CAPITAL LETTER DA
0535	am-Ech	ARMENIAN CAPITAL LETTER ECH
0536	am-Za	ARMENIAN CAPITAL LETTER ZA
0537	am-Eh	ARMENIAN CAPITAL LETTER EH
0538	am-Et	ARMENIAN CAPITAL LETTER ET
0539	am-To	ARMENIAN CAPITAL LETTER TO
053A	am-Zhe	ARMENIAN CAPITAL LETTER ZHE
053B	am-Ini	ARMENIAN CAPITAL LETTER INI
053C	am-Liwn	ARMENIAN CAPITAL LETTER LIWN
053D	am-Xeh	ARMENIAN CAPITAL LETTER XEH
053E	am-Ca	ARMENIAN CAPITAL LETTER CA
053F	am-Ken	ARMENIAN CAPITAL LETTER KEN
0540	am-Ho	ARMENIAN CAPITAL LETTER HO
0541	am-Ja	ARMENIAN CAPITAL LETTER JA
0542	am-Ghad	ARMENIAN CAPITAL LETTER GHAD
0543	am-Cheh	ARMENIAN CAPITAL LETTER CHEH
0544	am-Men	ARMENIAN CAPITAL LETTER MEN
0545	am-Yi	ARMENIAN CAPITAL LETTER YI
0546	am-Now	ARMENIAN CAPITAL LETTER NOW
0547	am-Sha	ARMENIAN CAPITAL LETTER SHA
0548	am-Vo	ARMENIAN CAPITAL LETTER VO
0549	am-Cha	ARMENIAN CAPITAL LETTER CHA
054A	am-Peh	ARMENIAN CAPITAL LETTER PEH
054B	am-Jheh	ARMENIAN CAPITAL LETTER JHEH
054C	am-Ra	ARMENIAN CAPITAL LETTER RA
054D	am-Seh	ARMENIAN CAPITAL LETTER SEH
054E	am-Vew	ARMENIAN CAPITAL LETTER VEW
054F	am-Tiwn	ARMENIAN CAPITAL LETTER TIWN
0550	am-Reh	ARMENIAN CAPITAL LETTER REH
0551	am-Co	ARMENIAN CAPITAL LETTER CO
0552	am-Yiwn	ARMENIAN CAPITAL LETTER YIWN
0553	am-Piwr	ARMENIAN CAPITAL LETTER PIWR
0554	am-Keh	ARMENIAN CAPITAL LETTER KEH
0555	am-Oh	ARMENIAN CAPITAL LETTER OH
0556	am-Feh	ARMENIAN CAPITAL LETTER FEH
0559	am-ringhalfleft	ARMENIAN MODIFIER LETTER LEFT HALF RING
055A	am-apostrophe	ARMENIAN APOSTROPHE
055B	am-emphasismark	ARMENIAN EMPHASIS MARK
055C	am-exclam	ARMENIAN EXCLAMATION MARK
055D	am-comma	ARMENIAN COMMA
055E	am-question	ARMENIAN QUESTION MARK
055F	am-abbreviationmark	ARMENIAN ABBREVIATION MARK
0561	am-ayb	ARMENIAN SMALL LETTER AYB
0562	am-ben	ARMENIAN SMALL LETTER BEN
0563	am-gim	ARMENIAN SMALL LETTER GIM
0564	am-da	ARMENIAN SMALL LETTER DA
0565	am-ech	ARMENIAN SMALL LETTER ECH
0566	am-za	ARMENIAN SMALL LETTER ZA
0567	am-eh	ARMENIAN SMALL LETTER EH
0568	am-et	ARMENIAN SMALL LETTER ET
0569	am-to	ARMENIAN SMALL LETTER TO
056A	am-zhe	ARMENIAN SMALL LETTER ZHE
056B	am-ini	ARMENIAN SMALL LETTER INI
056C	am-liwn	ARMENIAN SMALL LETTER LIWN
056D	am-xeh	ARMENIAN SMALL LETTER XEH
056E	am-ca	ARMENIAN SMALL LETTER CA
056F	am-ken	ARMENIAN SMALL LETTER KEN
0570	am-ho	ARMENIAN SMALL LETTER HO
0571	am-ja	ARMENIAN SMALL LETTER JA
0572	am-ghad	ARMENIAN SMALL LETTER GHAD
0573	am-cheh	ARMENIAN SMALL LETTER CHEH
0574	am-men	ARMENIAN SMALL LETTER MEN
0575	am-yi	ARMENIAN SMALL LETTER YI
0576	am-now	ARMENIAN SMALL LETTER NOW
0577	am-sha	ARMENIAN SMALL LETTER SHA
0578	am-vo	ARMENIAN SMALL LETTER VO
0579	am-cha	ARMENIAN SMALL LETTER CHA
057A	am-peh	ARMENIAN SMALL LETTER PEH
057B	am-jheh	ARMENIAN SMALL LETTER JHEH
057C	am-ra	ARMENIAN SMALL LETTER RA
057D	am-seh	ARMENIAN SMALL LETTER SEH
057E	am-vew	ARMENIAN SMALL LETTER VEW
057F	am-tiwn	ARMENIAN SMALL LETTER TIWN
0580	am-reh	ARMENIAN SMALL LETTER REH
0581	am-co	ARMENIAN SMALL LETTER CO
0582	am-yiwn	ARMENIAN SMALL LETTER YIWN
0583	am-piwr	ARMENIAN SMALL LETTER PIWR
0584	am-keh	ARMENIAN SMALL LETTER KEH
0585	am-oh	ARMENIAN SMALL LETTER OH
0586	am-feh	ARMENIAN SMALL LETTER FEH
0587	am-ech_yiwn	ARMENIAN SMALL LIGATURE ECH YIWN
0589	am-period	ARMENIAN FULL STOP
058A	am-HYPHEN	ARMENIAN HYPHEN
