# Arrows 2190 - 21FF
2190	rrws-arrowleft	LEFTWARDS ARROW
2191	rrws-arrowup	UPWARDS ARROW
2192	rrws-arrowright	RIGHTWARDS ARROW
2193	rrws-arrowdown	DOWNWARDS ARROW
2194	rrws-arrowleftright	LEFT RIGHT ARROW
2195	rrws-arrowupdown	UP DOWN ARROW
2196	rrws-arrowNW	NORTH WEST ARROW
2197	rrws-arrowNE	NORTH EAST ARROW
2198	rrws-arrowSE	SOUTH EAST ARROW
2199	rrws-arrowSW	SOUTH WEST ARROW
219A	rrws-arrowleftstroke	LEFTWARDS ARROW WITH STROKE
219B	rrws-arrowrightstroke	RIGHTWARDS ARROW WITH STROKE
219C	rrws-arrowleftwave	LEFTWARDS WAVE ARROW
219D	rrws-arrowrightwave	RIGHTWARDS WAVE ARROW
219E	rrws-arrowlefttwoheaded	LEFTWARDS TWO HEADED ARROW
219F	rrws-arrowuptwoheaded	UPWARDS TWO HEADED ARROW
21A0	rrws-arrowrighttwoheaded	RIGHTWARDS TWO HEADED ARROW
21A1	rrws-arrowdowntwoheaded	DOWNWARDS TWO HEADED ARROW
21A2	rrws-arrowlefttail	LEFTWARDS ARROW WITH TAIL
21A3	rrws-arrowrighttail	RIGHTWARDS ARROW WITH TAIL
21A4	rrws-arrowleftfrombar	LEFTWARDS ARROW FROM BAR
21A5	rrws-arrowupfrombar	UPWARDS ARROW FROM BAR
21A6	rrws-arrowrightfrombar	RIGHTWARDS ARROW FROM BAR
21A7	rrws-arrowdownfrombar	DOWNWARDS ARROW FROM BAR
21A8	rrws-arrowupdownwithbase	UP DOWN ARROW WITH BASE
21A9	rrws-arrowlefthook	LEFTWARDS ARROW WITH HOOK
21AA	rrws-arrowrighthook	RIGHTWARDS ARROW WITH HOOK
21AB	rrws-arrowleftloop	LEFTWARDS ARROW WITH LOOP
21AC	rrws-arrowrightloop	RIGHTWARDS ARROW WITH LOOP
21AD	rrws-arrowleftrightwave	LEFT RIGHT WAVE ARROW
21AE	rrws-arrowleftrightstroke	LEFT RIGHT ARROW WITH STROKE
21AF	rrws-arrowdownzigzag	DOWNWARDS ZIGZAG ARROW
21B0	rrws-arrowleftuptip	UPWARDS ARROW WITH TIP LEFTWARDS
21B1	rrws-arrowuprighttip	UPWARDS ARROW WITH TIP RIGHTWARDS
21B2	rrws-arrowleftdowntip	DOWNWARDS ARROW WITH TIP LEFTWARDS
21B3	rrws-arrowrightdowntip	DOWNWARDS ARROW WITH TIP RIGHTWARDS
21B4	rrws-arrowrightdowncorner	RIGHTWARDS ARROW WITH CORNER DOWNWARDS
21B5	rrws-arrowleftdowncorner	DOWNWARDS ARROW WITH CORNER LEFTWARDS
21B6	rrws-arrowanticlockwisesemicircle	ANTICLOCKWISE TOP SEMICIRCLE ARROW
21B7	rrws-arrowclockwisesemicircle	CLOCKWISE TOP SEMICIRCLE ARROW
21B8	rrws-arrowlongNWtobar	NORTH WEST ARROW TO LONG BAR
21B9	rrws-arrowleftoverrighttobar	LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR
21BA	rrws-arrowanticlockwiseopencircle	ANTICLOCKWISE OPEN CIRCLE ARROW
21BB	rrws-arrowclockwiseopencircle	CLOCKWISE OPEN CIRCLE ARROW
21BC	rrws-harpoonleftbarbup	LEFTWARDS HARPOON WITH BARB UPWARDS
21BD	rrws-harpoonleftbarbdown	LEFTWARDS HARPOON WITH BARB DOWNWARDS
21BE	rrws-harpoonupbarbright	UPWARDS HARPOON WITH BARB RIGHTWARDS
21BF	rrws-harpoonupbarbleft	UPWARDS HARPOON WITH BARB LEFTWARDS
21C0	rrws-harpoonrightbarbup	RIGHTWARDS HARPOON WITH BARB UPWARDS
21C1	rrws-harpoonrightbarbdown	RIGHTWARDS HARPOON WITH BARB DOWNWARDS
21C2	rrws-harpoondownbarbright	DOWNWARDS HARPOON WITH BARB RIGHTWARDS
21C3	rrws-harpoondownbarbleft	DOWNWARDS HARPOON WITH BARB LEFTWARDS
21C4	rrws-rightarrowoverleftarrow	RIGHTWARDS ARROW OVER LEFTWARDS ARROW
21C5	rrws-uparrowleftofdownarrow	UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW
21C6	rrws-leftarrowoverrightarrow	LEFTWARDS ARROW OVER RIGHTWARDS ARROW
21C7	rrws-arrowspairedleft	LEFTWARDS PAIRED ARROWS
21C8	rrws-arrowspairedup	UPWARDS PAIRED ARROWS
21C9	rrws-arrowspairedright	RIGHTWARDS PAIRED ARROWS
21CA	rrws-arrowspaireddown	DOWNWARDS PAIRED ARROWS
21CB	rrws-leftharpoonoverrightharpoon	LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON
21CC	rrws-rightharpoonoverleftharpoon	RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON
21CD	rrws-dblarrowleftstroke	LEFTWARDS DOUBLE ARROW WITH STROKE
21CE	rrws-dblarrowleftrightstroke	LEFT RIGHT DOUBLE ARROW WITH STROKE
21CF	rrws-dblarrowrightstroke	RIGHTWARDS DOUBLE ARROW WITH STROKE
21D0	rrws-dblarrowleft	LEFTWARDS DOUBLE ARROW
21D1	rrws-dblarrowup	UPWARDS DOUBLE ARROW
21D2	rrws-dblarrowright	RIGHTWARDS DOUBLE ARROW
21D3	rrws-dblarrowdown	DOWNWARDS DOUBLE ARROW
21D4	rrws-dblarrowleftright	LEFT RIGHT DOUBLE ARROW
21D5	rrws-dblarrowupdown	UP DOWN DOUBLE ARROW
21D6	rrws-dblarrowNW	NORTH WEST DOUBLE ARROW
21D7	rrws-dblarrowNE	NORTH EAST DOUBLE ARROW
21D8	rrws-dblarrowSE	SOUTH EAST DOUBLE ARROW
21D9	rrws-dblarrowSW	SOUTH WEST DOUBLE ARROW
21DA	rrws-triplearrowleft	LEFTWARDS TRIPLE ARROW
21DB	rrws-triplearrowright	RIGHTWARDS TRIPLE ARROW
21DC	rrws-arrowleftsquiggle	LEFTWARDS SQUIGGLE ARROW
21DD	rrws-arrowrightsquiggle	RIGHTWARDS SQUIGGLE ARROW
21DE	rrws-dblstrokearrowup	UPWARDS ARROW WITH DOUBLE STROKE
21DF	rrws-dblstrokearrowdown	DOWNWARDS ARROW WITH DOUBLE STROKE
21E0	rrws-arrowleftdashed	LEFTWARDS DASHED ARROW
21E1	rrws-arrowupdashed	UPWARDS DASHED ARROW
21E2	rrws-arrowrightdashed	RIGHTWARDS DASHED ARROW
21E3	rrws-arrowdowndashed	DOWNWARDS DASHED ARROW
21E4	rrws-arrowlefttobar	LEFTWARDS ARROW TO BAR
21E5	rrws-arrowrighttobar	RIGHTWARDS ARROW TO BAR
21E6	rrws-whitearrowleft	LEFTWARDS WHITE ARROW
21E7	rrws-whitearrowup	UPWARDS WHITE ARROW
21E8	rrws-whitearrowright	RIGHTWARDS WHITE ARROW
21E9	rrws-whitearrowdown	DOWNWARDS WHITE ARROW
21EA	rrws-whitearrowupfrombar	UPWARDS WHITE ARROW FROM BAR
21EB	rrws-whitearrowonpedestalup	UPWARDS WHITE ARROW ON PEDESTAL
21EC	rrws-horizontalbarwhitearrowonpedestalup	UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR
21ED	rrws-verticalbarwhitearrowonpedestalup	UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR
