# Balinese 1B00 - 1B7F
1B00	blns-balinesesignuluricem	BALINESE SIGN ULU RICEM
1B01	blns-balinesesignulucandra	BALINESE SIGN ULU CANDRA
1B02	blns-balinesesigncecek	BALINESE SIGN CECEK
1B03	blns-balinesesignsurang	BALINESE SIGN SURANG
1B04	blns-balinesesignbisah	BALINESE SIGN BISAH
1B05	blns-balineseletterakara	BALINESE LETTER AKARA
1B06	blns-balineseletterakaratedung	BALINESE LETTER AKARA TEDUNG
1B07	blns-balineseletterikara	BALINESE LETTER IKARA
1B08	blns-balineseletterikaratedung	BALINESE LETTER IKARA TEDUNG
1B09	blns-balineseletterukara	BALINESE LETTER UKARA
1B0A	blns-balineseletterukaratedung	BALINESE LETTER UKARA TEDUNG
1B0B	blns-balineseletterrarepa	BALINESE LETTER RA REPA
1B0C	blns-balineseletterrarepatedung	BALINESE LETTER RA REPA TEDUNG
1B0D	blns-balineseletterlalenga	BALINESE LETTER LA LENGA
1B0E	blns-balineseletterlalengatedung	BALINESE LETTER LA LENGA TEDUNG
1B0F	blns-balineseletterekara	BALINESE LETTER EKARA
1B10	blns-balineseletteraikara	BALINESE LETTER AIKARA
1B11	blns-balineseletterokara	BALINESE LETTER OKARA
1B12	blns-balineseletterokaratedung	BALINESE LETTER OKARA TEDUNG
1B13	blns-balineseletterka	BALINESE LETTER KA
1B14	blns-balineseletterkamahaprana	BALINESE LETTER KA MAHAPRANA
1B15	blns-balineseletterga	BALINESE LETTER GA
1B16	blns-balineselettergagora	BALINESE LETTER GA GORA
1B17	blns-balineseletternga	BALINESE LETTER NGA
1B18	blns-balineseletterca	BALINESE LETTER CA
1B19	blns-balineselettercalaca	BALINESE LETTER CA LACA
1B1A	blns-balineseletterja	BALINESE LETTER JA
1B1B	blns-balineseletterjajera	BALINESE LETTER JA JERA
1B1C	blns-balineseletternya	BALINESE LETTER NYA
1B1D	blns-balineselettertalatik	BALINESE LETTER TA LATIK
1B1E	blns-balineselettertamurdamahaprana	BALINESE LETTER TA MURDA MAHAPRANA
1B1F	blns-balineseletterdamurdaalpaprana	BALINESE LETTER DA MURDA ALPAPRANA
1B20	blns-balineseletterdamurdamahaprana	BALINESE LETTER DA MURDA MAHAPRANA
1B21	blns-balineseletternarambat	BALINESE LETTER NA RAMBAT
1B22	blns-balineseletterta	BALINESE LETTER TA
1B23	blns-balineselettertatawa	BALINESE LETTER TA TAWA
1B24	blns-balineseletterda	BALINESE LETTER DA
1B25	blns-balineseletterdamadu	BALINESE LETTER DA MADU
1B26	blns-balineseletterna	BALINESE LETTER NA
1B27	blns-balineseletterpa	BALINESE LETTER PA
1B28	blns-balineseletterpakapal	BALINESE LETTER PA KAPAL
1B29	blns-balineseletterba	BALINESE LETTER BA
1B2A	blns-balineseletterbakembang	BALINESE LETTER BA KEMBANG
1B2B	blns-balineseletterma	BALINESE LETTER MA
1B2C	blns-balineseletterya	BALINESE LETTER YA
1B2D	blns-balineseletterra	BALINESE LETTER RA
1B2E	blns-balineseletterla	BALINESE LETTER LA
1B2F	blns-balineseletterwa	BALINESE LETTER WA
1B30	blns-balineselettersasaga	BALINESE LETTER SA SAGA
1B31	blns-balineselettersasapa	BALINESE LETTER SA SAPA
1B32	blns-balineselettersa	BALINESE LETTER SA
1B33	blns-balineseletterha	BALINESE LETTER HA
1B34	blns-balinesesignrerekan	BALINESE SIGN REREKAN
1B35	blns-balinesevowelsigntedung	BALINESE VOWEL SIGN TEDUNG
1B36	blns-balinesevowelsignulu	BALINESE VOWEL SIGN ULU
1B37	blns-balinesevowelsignulusari	BALINESE VOWEL SIGN ULU SARI
1B38	blns-balinesevowelsignsuku	BALINESE VOWEL SIGN SUKU
1B39	blns-balinesevowelsignsukuilut	BALINESE VOWEL SIGN SUKU ILUT
1B3A	blns-balinesevowelsignrarepa	BALINESE VOWEL SIGN RA REPA
1B3B	blns-balinesevowelsignrarepatedung	BALINESE VOWEL SIGN RA REPA TEDUNG
1B3C	blns-balinesevowelsignlalenga	BALINESE VOWEL SIGN LA LENGA
1B3D	blns-balinesevowelsignlalengatedung	BALINESE VOWEL SIGN LA LENGA TEDUNG
1B3E	blns-balinesevowelsigntaling	BALINESE VOWEL SIGN TALING
1B3F	blns-balinesevowelsigntalingrepa	BALINESE VOWEL SIGN TALING REPA
1B40	blns-balinesevowelsigntalingtedung	BALINESE VOWEL SIGN TALING TEDUNG
1B41	blns-balinesevowelsigntalingrepatedung	BALINESE VOWEL SIGN TALING REPA TEDUNG
1B42	blns-balinesevowelsignpepet	BALINESE VOWEL SIGN PEPET
1B43	blns-balinesevowelsignpepettedung	BALINESE VOWEL SIGN PEPET TEDUNG
