# Bamum A6A0 - A6FF
A6A0	bmm-bamumlettera	BAMUM LETTER A
A6A1	bmm-bamumletterka	BAMUM LETTER KA
A6A2	bmm-bamumletteru	BAMUM LETTER U
A6A3	bmm-bamumletterku	BAMUM LETTER KU
A6A4	bmm-bamumletteree	BAMUM LETTER EE
A6A5	bmm-bamumletterree	BAMUM LETTER REE
A6A6	bmm-bamumlettertae	BAMUM LETTER TAE
A6A7	bmm-bamumlettero	BAMUM LETTER O
A6A8	bmm-bamumletternyi	BAMUM LETTER NYI
A6A9	bmm-bamumletteri	BAMUM LETTER I
A6AA	bmm-bamumletterla	BAMUM LETTER LA
A6AB	bmm-bamumletterpa	BAMUM LETTER PA
A6AC	bmm-bamumletterrii	BAMUM LETTER RII
A6AD	bmm-bamumletterriee	BAMUM LETTER RIEE
A6AE	bmm-bamumletterleeee	BAMUM LETTER LEEEE
A6AF	bmm-bamumlettermeeee	BAMUM LETTER MEEEE
A6B0	bmm-bamumlettertaa	BAMUM LETTER TAA
A6B1	bmm-bamumletterndaa	BAMUM LETTER NDAA
A6B2	bmm-bamumletternjaem	BAMUM LETTER NJAEM
A6B3	bmm-bamumletterm	BAMUM LETTER M
A6B4	bmm-bamumlettersuu	BAMUM LETTER SUU
A6B5	bmm-bamumlettermu	BAMUM LETTER MU
A6B6	bmm-bamumlettershii	BAMUM LETTER SHII
A6B7	bmm-bamumlettersi	BAMUM LETTER SI
A6B8	bmm-bamumlettersheux	BAMUM LETTER SHEUX
A6B9	bmm-bamumletterseux	BAMUM LETTER SEUX
A6BA	bmm-bamumletterkyee	BAMUM LETTER KYEE
A6BB	bmm-bamumletterket	BAMUM LETTER KET
A6BC	bmm-bamumletternuae	BAMUM LETTER NUAE
A6BD	bmm-bamumletternu	BAMUM LETTER NU
A6BE	bmm-bamumletternjuae	BAMUM LETTER NJUAE
A6BF	bmm-bamumletteryoq	BAMUM LETTER YOQ
A6C0	bmm-bamumlettershu	BAMUM LETTER SHU
A6C1	bmm-bamumletteryuq	BAMUM LETTER YUQ
A6C2	bmm-bamumletterya	BAMUM LETTER YA
A6C3	bmm-bamumletternsha	BAMUM LETTER NSHA
A6C4	bmm-bamumletterkeux	BAMUM LETTER KEUX
A6C5	bmm-bamumletterpeux	BAMUM LETTER PEUX
A6C6	bmm-bamumletternjee	BAMUM LETTER NJEE
A6C7	bmm-bamumletterntee	BAMUM LETTER NTEE
A6C8	bmm-bamumletterpue	BAMUM LETTER PUE
A6C9	bmm-bamumletterwue	BAMUM LETTER WUE
A6CA	bmm-bamumletterpee	BAMUM LETTER PEE
A6CB	bmm-bamumletterfee	BAMUM LETTER FEE
A6CC	bmm-bamumletterru	BAMUM LETTER RU
A6CD	bmm-bamumletterlu	BAMUM LETTER LU
A6CE	bmm-bamumlettermi	BAMUM LETTER MI
A6CF	bmm-bamumletterni	BAMUM LETTER NI
A6D0	bmm-bamumletterreux	BAMUM LETTER REUX
A6D1	bmm-bamumletterrae	BAMUM LETTER RAE
A6D2	bmm-bamumletterken	BAMUM LETTER KEN
A6D3	bmm-bamumletterngkwaen	BAMUM LETTER NGKWAEN
A6D4	bmm-bamumletterngga	BAMUM LETTER NGGA
A6D5	bmm-bamumletternga	BAMUM LETTER NGA
A6D6	bmm-bamumlettersho	BAMUM LETTER SHO
A6D7	bmm-bamumletterpuae	BAMUM LETTER PUAE
A6D8	bmm-bamumletterfu	BAMUM LETTER FU
A6D9	bmm-bamumletterfom	BAMUM LETTER FOM
A6DA	bmm-bamumletterwa	BAMUM LETTER WA
A6DB	bmm-bamumletterna	BAMUM LETTER NA
A6DC	bmm-bamumletterli	BAMUM LETTER LI
A6DD	bmm-bamumletterpi	BAMUM LETTER PI
A6DE	bmm-bamumletterloq	BAMUM LETTER LOQ
A6DF	bmm-bamumletterko	BAMUM LETTER KO
A6E0	bmm-bamumlettermben	BAMUM LETTER MBEN
A6E1	bmm-bamumletterren	BAMUM LETTER REN
A6E2	bmm-bamumlettermen	BAMUM LETTER MEN
A6E3	bmm-bamumletterma	BAMUM LETTER MA
A6E4	bmm-bamumletterti	BAMUM LETTER TI
A6E5	bmm-bamumletterki	BAMUM LETTER KI
A6E6	bmm-bamumlettermo	BAMUM LETTER MO
A6E7	bmm-bamumlettermbaa	BAMUM LETTER MBAA
A6E8	bmm-bamumlettertet	BAMUM LETTER TET
A6E9	bmm-bamumletterkpa	BAMUM LETTER KPA
A6EA	bmm-bamumletterten	BAMUM LETTER TEN
A6EB	bmm-bamumletterntuu	BAMUM LETTER NTUU
A6EC	bmm-bamumlettersamba	BAMUM LETTER SAMBA
A6ED	bmm-bamumletterfaamae	BAMUM LETTER FAAMAE
A6EE	bmm-bamumletterkovuu	BAMUM LETTER KOVUU
A6EF	bmm-bamumletterkoghom	BAMUM LETTER KOGHOM
A6F0	bmm-bamumcombiningmarkkoqndon	BAMUM COMBINING MARK KOQNDON
A6F1	bmm-bamumcombiningmarktukwentis	BAMUM COMBINING MARK TUKWENTIS
A6F2	bmm-bamumnjaemli	BAMUM NJAEMLI
A6F3	bmm-bamumfullstop	BAMUM FULL STOP
A6F4	bmm-bamumcolon	BAMUM COLON
A6F5	bmm-bamumcomma	BAMUM COMMA
A6F6	bmm-bamumsemicolon	BAMUM SEMICOLON
A6F7	bmm-bamumquestionmark	BAMUM QUESTION MARK
