# Basic Latin 0000 - 007F
0020	lt-space	SPACE
0021	lt-exclam	EXCLAMATION MARK
0022	lt-quotedbl	QUOTATION MARK
0023	lt-numbersign	NUMBER SIGN
0024	lt-dollar	DOLLAR SIGN
0025	lt-percent	PERCENT SIGN
0026	lt-ampersand	AMPERSAND
0027	lt-quotesingle	APOSTROPHE
0028	lt-parenleft	LEFT PARENTHESIS
0029	lt-parenright	RIGHT PARENTHESIS
002A	lt-asterisk	ASTERISK
002B	lt-plus	PLUS SIGN
002C	lt-comma	COMMA
002D	lt-hyphen	HYPHEN-MINUS
002E	lt-period	FULL STOP
002F	lt-slash	SOLIDUS
0030	lt-zero	DIGIT ZERO
0031	lt-one	DIGIT ONE
0032	lt-two	DIGIT TWO
0033	lt-three	DIGIT THREE
0034	lt-four	DIGIT FOUR
0035	lt-five	DIGIT FIVE
0036	lt-six	DIGIT SIX
0037	lt-seven	DIGIT SEVEN
0038	lt-eight	DIGIT EIGHT
0039	lt-nine	DIGIT NINE
003A	lt-colon	COLON
003B	lt-semicolon	SEMICOLON
003C	lt-less	LESS-THAN SIGN
003D	lt-equal	EQUALS SIGN
003E	lt-greater	GREATER-THAN SIGN
003F	lt-question	QUESTION MARK
0040	lt-at	COMMERCIAL AT
0041	lt-A	LATIN CAPITAL LETTER A
0042	lt-B	LATIN CAPITAL LETTER B
0043	lt-C	LATIN CAPITAL LETTER C
0044	lt-D	LATIN CAPITAL LETTER D
0045	lt-E	LATIN CAPITAL LETTER E
0046	lt-F	LATIN CAPITAL LETTER F
0047	lt-G	LATIN CAPITAL LETTER G
0048	lt-H	LATIN CAPITAL LETTER H
0049	lt-I	LATIN CAPITAL LETTER I
004A	lt-J	LATIN CAPITAL LETTER J
004B	lt-K	LATIN CAPITAL LETTER K
004C	lt-L	LATIN CAPITAL LETTER L
004D	lt-M	LATIN CAPITAL LETTER M
004E	lt-N	LATIN CAPITAL LETTER N
004F	lt-O	LATIN CAPITAL LETTER O
0050	lt-P	LATIN CAPITAL LETTER P
0051	lt-Q	LATIN CAPITAL LETTER Q
0052	lt-R	LATIN CAPITAL LETTER R
0053	lt-S	LATIN CAPITAL LETTER S
0054	lt-T	LATIN CAPITAL LETTER T
0055	lt-U	LATIN CAPITAL LETTER U
0056	lt-V	LATIN CAPITAL LETTER V
0057	lt-W	LATIN CAPITAL LETTER W
0058	lt-X	LATIN CAPITAL LETTER X
0059	lt-Y	LATIN CAPITAL LETTER Y
005A	lt-Z	LATIN CAPITAL LETTER Z
005B	lt-bracketleft	LEFT SQUARE BRACKET
005C	lt-backslash	REVERSE SOLIDUS
005D	lt-bracketright	RIGHT SQUARE BRACKET
005E	lt-asciicircum	CIRCUMFLEX ACCENT
005F	lt-underscore	LOW LINE
0060	lt-grave	GRAVE ACCENT
0061	lt-a	LATIN SMALL LETTER A
0062	lt-b	LATIN SMALL LETTER B
0063	lt-c	LATIN SMALL LETTER C
0064	lt-d	LATIN SMALL LETTER D
0065	lt-e	LATIN SMALL LETTER E
0066	lt-f	LATIN SMALL LETTER F
0067	lt-g	LATIN SMALL LETTER G
0068	lt-h	LATIN SMALL LETTER H
0069	lt-i	LATIN SMALL LETTER I
006A	lt-j	LATIN SMALL LETTER J
006B	lt-k	LATIN SMALL LETTER K
006C	lt-l	LATIN SMALL LETTER L
006D	lt-m	LATIN SMALL LETTER M
006E	lt-n	LATIN SMALL LETTER N
006F	lt-o	LATIN SMALL LETTER O
0070	lt-p	LATIN SMALL LETTER P
0071	lt-q	LATIN SMALL LETTER Q
0072	lt-r	LATIN SMALL LETTER R
0073	lt-s	LATIN SMALL LETTER S
0074	lt-t	LATIN SMALL LETTER T
0075	lt-u	LATIN SMALL LETTER U
0076	lt-v	LATIN SMALL LETTER V
0077	lt-w	LATIN SMALL LETTER W
0078	lt-x	LATIN SMALL LETTER X
0079	lt-y	LATIN SMALL LETTER Y
007A	lt-z	LATIN SMALL LETTER Z
007B	lt-braceleft	LEFT CURLY BRACKET
007C	lt-bar	VERTICAL LINE
007D	lt-braceright	RIGHT CURLY BRACKET
007E	lt-asciitilde	TILDE
