# Bengali 0980 - 09FF
0981	bngl-bengalisigncandrabindu	BENGALI SIGN CANDRABINDU
0982	bngl-bengalisignanusvara	BENGALI SIGN ANUSVARA
0983	bngl-bengalisignvisarga	BENGALI SIGN VISARGA
0985	bngl-bengalilettera	BENGALI LETTER A
0986	bngl-bengaliletteraa	BENGALI LETTER AA
0987	bngl-bengaliletteri	BENGALI LETTER I
0988	bngl-bengaliletterii	BENGALI LETTER II
0989	bngl-bengaliletteru	BENGALI LETTER U
098A	bngl-bengaliletteruu	BENGALI LETTER UU
098B	bngl-bengalilettervocalicr	BENGALI LETTER VOCALIC R
098C	bngl-bengalilettervocalicl	BENGALI LETTER VOCALIC L
098F	bngl-bengalilettere	BENGALI LETTER E
0990	bngl-bengaliletterai	BENGALI LETTER AI
0993	bngl-bengalilettero	BENGALI LETTER O
0994	bngl-bengaliletterau	BENGALI LETTER AU
0995	bngl-bengaliletterka	BENGALI LETTER KA
0996	bngl-bengaliletterkha	BENGALI LETTER KHA
0997	bngl-bengaliletterga	BENGALI LETTER GA
0998	bngl-bengalilettergha	BENGALI LETTER GHA
0999	bngl-bengaliletternga	BENGALI LETTER NGA
099A	bngl-bengaliletterca	BENGALI LETTER CA
099B	bngl-bengalilettercha	BENGALI LETTER CHA
099C	bngl-bengaliletterja	BENGALI LETTER JA
099D	bngl-bengaliletterjha	BENGALI LETTER JHA
099E	bngl-bengaliletternya	BENGALI LETTER NYA
099F	bngl-bengalilettertta	BENGALI LETTER TTA
09A0	bngl-bengaliletterttha	BENGALI LETTER TTHA
09A1	bngl-bengaliletterdda	BENGALI LETTER DDA
09A2	bngl-bengaliletterddha	BENGALI LETTER DDHA
09A3	bngl-bengaliletternna	BENGALI LETTER NNA
09A4	bngl-bengaliletterta	BENGALI LETTER TA
09A5	bngl-bengalilettertha	BENGALI LETTER THA
09A6	bngl-bengaliletterda	BENGALI LETTER DA
09A7	bngl-bengaliletterdha	BENGALI LETTER DHA
09A8	bngl-bengaliletterna	BENGALI LETTER NA
09AA	bngl-bengaliletterpa	BENGALI LETTER PA
09AB	bngl-bengaliletterpha	BENGALI LETTER PHA
09AC	bngl-bengaliletterba	BENGALI LETTER BA
09AD	bngl-bengaliletterbha	BENGALI LETTER BHA
09AE	bngl-bengaliletterma	BENGALI LETTER MA
09AF	bngl-bengaliletterya	BENGALI LETTER YA
09B0	bngl-bengaliletterra	BENGALI LETTER RA
09B2	bngl-bengaliletterla	BENGALI LETTER LA
09B6	bngl-bengalilettersha	BENGALI LETTER SHA
09B7	bngl-bengaliletterssa	BENGALI LETTER SSA
09B8	bngl-bengalilettersa	BENGALI LETTER SA
09B9	bngl-bengaliletterha	BENGALI LETTER HA
09BC	bngl-bengalisignnukta	BENGALI SIGN NUKTA
09BD	bngl-bengalisignavagraha	BENGALI SIGN AVAGRAHA
09BE	bngl-bengalivowelsignaa	BENGALI VOWEL SIGN AA
09BF	bngl-bengalivowelsigni	BENGALI VOWEL SIGN I
09C0	bngl-bengalivowelsignii	BENGALI VOWEL SIGN II
09C1	bngl-bengalivowelsignu	BENGALI VOWEL SIGN U
09C2	bngl-bengalivowelsignuu	BENGALI VOWEL SIGN UU
09C3	bngl-bengalivowelsignvocalicr	BENGALI VOWEL SIGN VOCALIC R
09C4	bngl-bengalivowelsignvocalicrr	BENGALI VOWEL SIGN VOCALIC RR
09C7	bngl-bengalivowelsigne	BENGALI VOWEL SIGN E
09C8	bngl-bengalivowelsignai	BENGALI VOWEL SIGN AI
09CB	bngl-bengalivowelsigno	BENGALI VOWEL SIGN O
09CC	bngl-bengalivowelsignau	BENGALI VOWEL SIGN AU
09CD	bngl-bengalisignvirama	BENGALI SIGN VIRAMA
09CE	bngl-bengaliletterkhandata	BENGALI LETTER KHANDA TA
09D7	bngl-bengaliaulengthmark	BENGALI AU LENGTH MARK
09DC	bngl-bengaliletterrra	BENGALI LETTER RRA
09DD	bngl-bengaliletterrha	BENGALI LETTER RHA
09DF	bngl-bengaliletteryya	BENGALI LETTER YYA
09E0	bngl-bengalilettervocalicrr	BENGALI LETTER VOCALIC RR
09E1	bngl-bengalilettervocalicll	BENGALI LETTER VOCALIC LL
09E2	bngl-bengalivowelsignvocalicl	BENGALI VOWEL SIGN VOCALIC L
09E3	bngl-bengalivowelsignvocalicll	BENGALI VOWEL SIGN VOCALIC LL
09E6	bngl-bengalidigitzero	BENGALI DIGIT ZERO
09E7	bngl-bengalidigitone	BENGALI DIGIT ONE
09E8	bngl-bengalidigittwo	BENGALI DIGIT TWO
09E9	bngl-bengalidigitthree	BENGALI DIGIT THREE
09EA	bngl-bengalidigitfour	BENGALI DIGIT FOUR
09EB	bngl-bengalidigitfive	BENGALI DIGIT FIVE
09EC	bngl-bengalidigitsix	BENGALI DIGIT SIX
09ED	bngl-bengalidigitseven	BENGALI DIGIT SEVEN
09EE	bngl-bengalidigiteight	BENGALI DIGIT EIGHT
09EF	bngl-bengalidigitnine	BENGALI DIGIT NINE
09F0	bngl-bengaliletterrawithmiddlediagonal	BENGALI LETTER RA WITH MIDDLE DIAGONAL
09F1	bngl-bengaliletterrawithlowerdiagonal	BENGALI LETTER RA WITH LOWER DIAGONAL
09F2	bngl-bengalirupeemark	BENGALI RUPEE MARK
09F3	bngl-bengalirupeesign	BENGALI RUPEE SIGN
09F4	bngl-bengalicurrencynumeratorone	BENGALI CURRENCY NUMERATOR ONE
09F5	bngl-bengalicurrencynumeratortwo	BENGALI CURRENCY NUMERATOR TWO
09F6	bngl-bengalicurrencynumeratorthree	BENGALI CURRENCY NUMERATOR THREE
09F7	bngl-bengalicurrencynumeratorfour	BENGALI CURRENCY NUMERATOR FOUR
09F8	bngl-bengalicurrencynumeratoronelessthanthedenominator	BENGALI CURRENCY NUMERATOR ONE LESS THAN THE DENOMINATOR
09F9	bngl-bengalicurrencydenominatorsixteen	BENGALI CURRENCY DENOMINATOR SIXTEEN
09FA	bngl-bengaliisshar	BENGALI ISSHAR
09FB	bngl-bengaligandamark	BENGALI GANDA MARK
