# Block Elements 2580 - 259F
2580	blck-upperhalfblock	UPPER HALF BLOCK
2581	blck-loweroneeighthblock	LOWER ONE EIGHTH BLOCK
2582	blck-loweronequarterblock	LOWER ONE QUARTER BLOCK
2583	blck-lowerthreeeighthsblock	LOWER THREE EIGHTHS BLOCK
2584	blck-lowerhalfblock	LOWER HALF BLOCK
2585	blck-lowerfiveeighthsblock	LOWER FIVE EIGHTHS BLOCK
2586	blck-lowerthreequartersblock	LOWER THREE QUARTERS BLOCK
2587	blck-lowerseveneighthsblock	LOWER SEVEN EIGHTHS BLOCK
2588	blck-fullblock	FULL BLOCK
2589	blck-leftseveneighthsblock	LEFT SEVEN EIGHTHS BLOCK
258A	blck-leftthreequartersblock	LEFT THREE QUARTERS BLOCK
258B	blck-leftfiveeighthsblock	LEFT FIVE EIGHTHS BLOCK
258C	blck-lefthalfblock	LEFT HALF BLOCK
258D	blck-leftthreeeighthsblock	LEFT THREE EIGHTHS BLOCK
258E	blck-leftonequarterblock	LEFT ONE QUARTER BLOCK
258F	blck-leftoneeighthblock	LEFT ONE EIGHTH BLOCK
2590	blck-righthalfblock	RIGHT HALF BLOCK
2591	blck-lightshade	LIGHT SHADE
2592	blck-mediumshade	MEDIUM SHADE
2593	blck-darkshade	DARK SHADE
2594	blck-upperoneeighthblock	UPPER ONE EIGHTH BLOCK
2595	blck-rightoneeighthblock	RIGHT ONE EIGHTH BLOCK
2596	blck-quadrantlowerleft	QUADRANT LOWER LEFT
2597	blck-quadrantlowerright	QUADRANT LOWER RIGHT
2598	blck-quadrantupperleft	QUADRANT UPPER LEFT
2599	blck-quadrantupperleftlowerleftlowerright	QUADRANT UPPER LEFT AND LOWER LEFT AND LOWER RIGHT
259A	blck-quadrantupperleftlowerright	QUADRANT UPPER LEFT AND LOWER RIGHT
259B	blck-quadrantupperleftupperrightlowerleft	QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT
259C	blck-quadrantupperleftupperrightlowerright	QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT
259D	blck-quadrantupperright	QUADRANT UPPER RIGHT
259E	blck-quadrantupperrightlowerleft	QUADRANT UPPER RIGHT AND LOWER LEFT
259F	blck-quadrantupperrightlowerleftlowerright	QUADRANT UPPER RIGHT AND LOWER LEFT AND LOWER RIGHT
