# Bopomofo 3100 - 312F
3105	bpmf-bopomofoletterb	BOPOMOFO LETTER B
3106	bpmf-bopomofoletterp	BOPOMOFO LETTER P
3107	bpmf-bopomofoletterm	BOPOMOFO LETTER M
3108	bpmf-bopomofoletterf	BOPOMOFO LETTER F
3109	bpmf-bopomofoletterd	BOPOMOFO LETTER D
310A	bpmf-bopomofolettert	BOPOMOFO LETTER T
310B	bpmf-bopomofolettern	BOPOMOFO LETTER N
310C	bpmf-bopomofoletterl	BOPOMOFO LETTER L
310D	bpmf-bopomofoletterg	BOPOMOFO LETTER G
310E	bpmf-bopomofoletterk	BOPOMOFO LETTER K
310F	bpmf-bopomofoletterh	BOPOMOFO LETTER H
3110	bpmf-bopomofoletterj	BOPOMOFO LETTER J
3111	bpmf-bopomofoletterq	BOPOMOFO LETTER Q
3112	bpmf-bopomofoletterx	BOPOMOFO LETTER X
3113	bpmf-bopomofoletterzh	BOPOMOFO LETTER ZH
3114	bpmf-bopomofoletterch	BOPOMOFO LETTER CH
3115	bpmf-bopomofolettersh	BOPOMOFO LETTER SH
3116	bpmf-bopomofoletterr	BOPOMOFO LETTER R
3117	bpmf-bopomofoletterz	BOPOMOFO LETTER Z
3118	bpmf-bopomofoletterc	BOPOMOFO LETTER C
3119	bpmf-bopomofoletters	BOPOMOFO LETTER S
311A	bpmf-bopomofolettera	BOPOMOFO LETTER A
311B	bpmf-bopomofolettero	BOPOMOFO LETTER O
311C	bpmf-bopomofolettere	BOPOMOFO LETTER E
311D	bpmf-bopomofolettereh	BOPOMOFO LETTER EH
311E	bpmf-bopomofoletterai	BOPOMOFO LETTER AI
311F	bpmf-bopomofoletterei	BOPOMOFO LETTER EI
3120	bpmf-bopomofoletterau	BOPOMOFO LETTER AU
3121	bpmf-bopomofoletterou	BOPOMOFO LETTER OU
3122	bpmf-bopomofoletteran	BOPOMOFO LETTER AN
3123	bpmf-bopomofoletteren	BOPOMOFO LETTER EN
3124	bpmf-bopomofoletterang	BOPOMOFO LETTER ANG
3125	bpmf-bopomofolettereng	BOPOMOFO LETTER ENG
3126	bpmf-bopomofoletterer	BOPOMOFO LETTER ER
3127	bpmf-bopomofoletteri	BOPOMOFO LETTER I
3128	bpmf-bopomofoletteru	BOPOMOFO LETTER U
3129	bpmf-bopomofoletteriu	BOPOMOFO LETTER IU
312A	bpmf-bopomofoletterv	BOPOMOFO LETTER V
312B	bpmf-bopomofoletterng	BOPOMOFO LETTER NG
312C	bpmf-bopomofolettergn	BOPOMOFO LETTER GN
312D	bpmf-bopomofoletterih	BOPOMOFO LETTER IH
