# Bopomofo Extended 31A0 - 31BF
31A0	bpmf-bopomofoletterbu	BOPOMOFO LETTER BU
31A1	bpmf-bopomofoletterzi	BOPOMOFO LETTER ZI
31A2	bpmf-bopomofoletterji	BOPOMOFO LETTER JI
31A3	bpmf-bopomofolettergu	BOPOMOFO LETTER GU
31A4	bpmf-bopomofoletteree	BOPOMOFO LETTER EE
31A5	bpmf-bopomofoletterenn	BOPOMOFO LETTER ENN
31A6	bpmf-bopomofoletteroo	BOPOMOFO LETTER OO
31A7	bpmf-bopomofoletteronn	BOPOMOFO LETTER ONN
31A8	bpmf-bopomofoletterir	BOPOMOFO LETTER IR
31A9	bpmf-bopomofoletterann	BOPOMOFO LETTER ANN
31AA	bpmf-bopomofoletterinn	BOPOMOFO LETTER INN
31AB	bpmf-bopomofoletterunn	BOPOMOFO LETTER UNN
31AC	bpmf-bopomofoletterim	BOPOMOFO LETTER IM
31AD	bpmf-bopomofoletterngg	BOPOMOFO LETTER NGG
31AE	bpmf-bopomofoletterainn	BOPOMOFO LETTER AINN
31AF	bpmf-bopomofoletteraunn	BOPOMOFO LETTER AUNN
31B0	bpmf-bopomofoletteram	BOPOMOFO LETTER AM
31B1	bpmf-bopomofoletterom	BOPOMOFO LETTER OM
31B2	bpmf-bopomofoletterong	BOPOMOFO LETTER ONG
31B3	bpmf-bopomofoletterinnn	BOPOMOFO LETTER INNN
31B4	bpmf-bopomofofinalletterp	BOPOMOFO FINAL LETTER P
31B5	bpmf-bopomofofinallettert	BOPOMOFO FINAL LETTER T
31B6	bpmf-bopomofofinalletterk	BOPOMOFO FINAL LETTER K
31B7	bpmf-bopomofofinalletterh	BOPOMOFO FINAL LETTER H
