# Box Drawing 2500 - 257F
2500	bxdr-lighthorz	BOX DRAWINGS LIGHT HORIZONTAL
2501	bxdr-heavyhorz	BOX DRAWINGS HEAVY HORIZONTAL
2502	bxdr-lightvert	BOX DRAWINGS LIGHT VERTICAL
2503	bxdr-heavyvert	BOX DRAWINGS HEAVY VERTICAL
2504	bxdr-lighttrpldashhorz	BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
2505	bxdr-heavytrpldashhorz	BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
2506	bxdr-lighttrpldashvert	BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
2507	bxdr-heavytrpldashvert	BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL
2508	bxdr-lightquaddashhorz	BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
2509	bxdr-heavyquaddashhorz	BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
250A	bxdr-lightquaddashvert	BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
250B	bxdr-heavyquaddashvert	BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL
250C	bxdr-lightdnright	BOX DRAWINGS LIGHT DOWN AND RIGHT
250D	bxdr-dnlightrightheavy	BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
250E	bxdr-dnheavyrightlight	BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
250F	bxdr-heavydnright	BOX DRAWINGS HEAVY DOWN AND RIGHT
2510	bxdr-lightdnleft	BOX DRAWINGS LIGHT DOWN AND LEFT
2511	bxdr-dnlightleftheavy	BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
2512	bxdr-dnheavyleftlight	BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
2513	bxdr-heavydnleft	BOX DRAWINGS HEAVY DOWN AND LEFT
2514	bxdr-lightupright	BOX DRAWINGS LIGHT UP AND RIGHT
2515	bxdr-uplightrightheavy	BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
2516	bxdr-upheavyrightlight	BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
2517	bxdr-heavyupright	BOX DRAWINGS HEAVY UP AND RIGHT
2518	bxdr-lightupleft	BOX DRAWINGS LIGHT UP AND LEFT
2519	bxdr-uplightleftheavy	BOX DRAWINGS UP LIGHT AND LEFT HEAVY
251A	bxdr-upheavyleftlight	BOX DRAWINGS UP HEAVY AND LEFT LIGHT
