# Braille Patterns 2800 - 28FF
2800	brll-braillepatternblank	BRAILLE PATTERN BLANK
2801	brll-braillepatterndots1	BRAILLE PATTERN DOTS-1
2802	brll-braillepatterndots2	BRAILLE PATTERN DOTS-2
2803	brll-braillepatterndots12	BRAILLE PATTERN DOTS-12
2804	brll-braillepatterndots3	BRAILLE PATTERN DOTS-3
2805	brll-braillepatterndots13	BRAILLE PATTERN DOTS-13
2806	brll-braillepatterndots23	BRAILLE PATTERN DOTS-23
2807	brll-braillepatterndots123	BRAILLE PATTERN DOTS-123
2808	brll-braillepatterndots4	BRAILLE PATTERN DOTS-4
2809	brll-braillepatterndots14	BRAILLE PATTERN DOTS-14
280A	brll-braillepatterndots24	BRAILLE PATTERN DOTS-24
280B	brll-braillepatterndots124	BRAILLE PATTERN DOTS-124
280C	brll-braillepatterndots34	BRAILLE PATTERN DOTS-34
280D	brll-braillepatterndots134	BRAILLE PATTERN DOTS-134
280E	brll-braillepatterndots234	BRAILLE PATTERN DOTS-234
280F	brll-braillepatterndots1234	BRAILLE PATTERN DOTS-1234
2810	brll-braillepatterndots5	BRAILLE PATTERN DOTS-5
2811	brll-braillepatterndots15	BRAILLE PATTERN DOTS-15
2812	brll-braillepatterndots25	BRAILLE PATTERN DOTS-25
2813	brll-braillepatterndots125	BRAILLE PATTERN DOTS-125
2814	brll-braillepatterndots35	BRAILLE PATTERN DOTS-35
2815	brll-braillepatterndots135	BRAILLE PATTERN DOTS-135
2816	brll-braillepatterndots235	BRAILLE PATTERN DOTS-235
2817	brll-braillepatterndots1235	BRAILLE PATTERN DOTS-1235
2818	brll-braillepatterndots45	BRAILLE PATTERN DOTS-45
2819	brll-braillepatterndots145	BRAILLE PATTERN DOTS-145
281A	brll-braillepatterndots245	BRAILLE PATTERN DOTS-245
281B	brll-braillepatterndots1245	BRAILLE PATTERN DOTS-1245
281C	brll-braillepatterndots345	BRAILLE PATTERN DOTS-345
281D	brll-braillepatterndots1345	BRAILLE PATTERN DOTS-1345
281E	brll-braillepatterndots2345	BRAILLE PATTERN DOTS-2345
281F	brll-braillepatterndots12345	BRAILLE PATTERN DOTS-12345
2820	brll-braillepatterndots6	BRAILLE PATTERN DOTS-6
2821	brll-braillepatterndots16	BRAILLE PATTERN DOTS-16
2822	brll-braillepatterndots26	BRAILLE PATTERN DOTS-26
2823	brll-braillepatterndots126	BRAILLE PATTERN DOTS-126
2824	brll-braillepatterndots36	BRAILLE PATTERN DOTS-36
2825	brll-braillepatterndots136	BRAILLE PATTERN DOTS-136
2826	brll-braillepatterndots236	BRAILLE PATTERN DOTS-236
2827	brll-braillepatterndots1236	BRAILLE PATTERN DOTS-1236
2828	brll-braillepatterndots46	BRAILLE PATTERN DOTS-46
2829	brll-braillepatterndots146	BRAILLE PATTERN DOTS-146
282A	brll-braillepatterndots246	BRAILLE PATTERN DOTS-246
282B	brll-braillepatterndots1246	BRAILLE PATTERN DOTS-1246
282C	brll-braillepatterndots346	BRAILLE PATTERN DOTS-346
282D	brll-braillepatterndots1346	BRAILLE PATTERN DOTS-1346
282E	brll-braillepatterndots2346	BRAILLE PATTERN DOTS-2346
282F	brll-braillepatterndots12346	BRAILLE PATTERN DOTS-12346
2830	brll-braillepatterndots56	BRAILLE PATTERN DOTS-56
2831	brll-braillepatterndots156	BRAILLE PATTERN DOTS-156
2832	brll-braillepatterndots256	BRAILLE PATTERN DOTS-256
2833	brll-braillepatterndots1256	BRAILLE PATTERN DOTS-1256
2834	brll-braillepatterndots356	BRAILLE PATTERN DOTS-356
2835	brll-braillepatterndots1356	BRAILLE PATTERN DOTS-1356
2836	brll-braillepatterndots2356	BRAILLE PATTERN DOTS-2356
2837	brll-braillepatterndots12356	BRAILLE PATTERN DOTS-12356
2838	brll-braillepatterndots456	BRAILLE PATTERN DOTS-456
2839	brll-braillepatterndots1456	BRAILLE PATTERN DOTS-1456
283A	brll-braillepatterndots2456	BRAILLE PATTERN DOTS-2456
283B	brll-braillepatterndots12456	BRAILLE PATTERN DOTS-12456
283C	brll-braillepatterndots3456	BRAILLE PATTERN DOTS-3456
283D	brll-braillepatterndots13456	BRAILLE PATTERN DOTS-13456
283E	brll-braillepatterndots23456	BRAILLE PATTERN DOTS-23456
283F	brll-braillepatterndots123456	BRAILLE PATTERN DOTS-123456
2840	brll-braillepatterndots7	BRAILLE PATTERN DOTS-7
2841	brll-braillepatterndots17	BRAILLE PATTERN DOTS-17
2842	brll-braillepatterndots27	BRAILLE PATTERN DOTS-27
2843	brll-braillepatterndots127	BRAILLE PATTERN DOTS-127
2844	brll-braillepatterndots37	BRAILLE PATTERN DOTS-37
2845	brll-braillepatterndots137	BRAILLE PATTERN DOTS-137
2846	brll-braillepatterndots237	BRAILLE PATTERN DOTS-237
2847	brll-braillepatterndots1237	BRAILLE PATTERN DOTS-1237
2848	brll-braillepatterndots47	BRAILLE PATTERN DOTS-47
2849	brll-braillepatterndots147	BRAILLE PATTERN DOTS-147
284A	brll-braillepatterndots247	BRAILLE PATTERN DOTS-247
284B	brll-braillepatterndots1247	BRAILLE PATTERN DOTS-1247
284C	brll-braillepatterndots347	BRAILLE PATTERN DOTS-347
284D	brll-braillepatterndots1347	BRAILLE PATTERN DOTS-1347
284E	brll-braillepatterndots2347	BRAILLE PATTERN DOTS-2347
284F	brll-braillepatterndots12347	BRAILLE PATTERN DOTS-12347
2850	brll-braillepatterndots57	BRAILLE PATTERN DOTS-57
2851	brll-braillepatterndots157	BRAILLE PATTERN DOTS-157
2852	brll-braillepatterndots257	BRAILLE PATTERN DOTS-257
2853	brll-braillepatterndots1257	BRAILLE PATTERN DOTS-1257
2854	brll-braillepatterndots357	BRAILLE PATTERN DOTS-357
2855	brll-braillepatterndots1357	BRAILLE PATTERN DOTS-1357
2856	brll-braillepatterndots2357	BRAILLE PATTERN DOTS-2357
2857	brll-braillepatterndots12357	BRAILLE PATTERN DOTS-12357
2858	brll-braillepatterndots457	BRAILLE PATTERN DOTS-457
2859	brll-braillepatterndots1457	BRAILLE PATTERN DOTS-1457
285A	brll-braillepatterndots2457	BRAILLE PATTERN DOTS-2457
285B	brll-braillepatterndots12457	BRAILLE PATTERN DOTS-12457
285C	brll-braillepatterndots3457	BRAILLE PATTERN DOTS-3457
285D	brll-braillepatterndots13457	BRAILLE PATTERN DOTS-13457
285E	brll-braillepatterndots23457	BRAILLE PATTERN DOTS-23457
285F	brll-braillepatterndots123457	BRAILLE PATTERN DOTS-123457
2860	brll-braillepatterndots67	BRAILLE PATTERN DOTS-67
2861	brll-braillepatterndots167	BRAILLE PATTERN DOTS-167
2862	brll-braillepatterndots267	BRAILLE PATTERN DOTS-267
2863	brll-braillepatterndots1267	BRAILLE PATTERN DOTS-1267
2864	brll-braillepatterndots367	BRAILLE PATTERN DOTS-367
2865	brll-braillepatterndots1367	BRAILLE PATTERN DOTS-1367
2866	brll-braillepatterndots2367	BRAILLE PATTERN DOTS-2367
2867	brll-braillepatterndots12367	BRAILLE PATTERN DOTS-12367
2868	brll-braillepatterndots467	BRAILLE PATTERN DOTS-467
2869	brll-braillepatterndots1467	BRAILLE PATTERN DOTS-1467
286A	brll-braillepatterndots2467	BRAILLE PATTERN DOTS-2467
286B	brll-braillepatterndots12467	BRAILLE PATTERN DOTS-12467
286C	brll-braillepatterndots3467	BRAILLE PATTERN DOTS-3467
286D	brll-braillepatterndots13467	BRAILLE PATTERN DOTS-13467
286E	brll-braillepatterndots23467	BRAILLE PATTERN DOTS-23467
286F	brll-braillepatterndots123467	BRAILLE PATTERN DOTS-123467
2870	brll-braillepatterndots567	BRAILLE PATTERN DOTS-567
2871	brll-braillepatterndots1567	BRAILLE PATTERN DOTS-1567
2872	brll-braillepatterndots2567	BRAILLE PATTERN DOTS-2567
2873	brll-braillepatterndots12567	BRAILLE PATTERN DOTS-12567
2874	brll-braillepatterndots3567	BRAILLE PATTERN DOTS-3567
2875	brll-braillepatterndots13567	BRAILLE PATTERN DOTS-13567
2876	brll-braillepatterndots23567	BRAILLE PATTERN DOTS-23567
2877	brll-braillepatterndots123567	BRAILLE PATTERN DOTS-123567
2878	brll-braillepatterndots4567	BRAILLE PATTERN DOTS-4567
2879	brll-braillepatterndots14567	BRAILLE PATTERN DOTS-14567
287A	brll-braillepatterndots24567	BRAILLE PATTERN DOTS-24567
287B	brll-braillepatterndots124567	BRAILLE PATTERN DOTS-124567
287C	brll-braillepatterndots34567	BRAILLE PATTERN DOTS-34567
287D	brll-braillepatterndots134567	BRAILLE PATTERN DOTS-134567
287E	brll-braillepatterndots234567	BRAILLE PATTERN DOTS-234567
287F	brll-braillepatterndots1234567	BRAILLE PATTERN DOTS-1234567
2880	brll-braillepatterndots8	BRAILLE PATTERN DOTS-8
2881	brll-braillepatterndots18	BRAILLE PATTERN DOTS-18
2882	brll-braillepatterndots28	BRAILLE PATTERN DOTS-28
2883	brll-braillepatterndots128	BRAILLE PATTERN DOTS-128
2884	brll-braillepatterndots38	BRAILLE PATTERN DOTS-38
2885	brll-braillepatterndots138	BRAILLE PATTERN DOTS-138
2886	brll-braillepatterndots238	BRAILLE PATTERN DOTS-238
2887	brll-braillepatterndots1238	BRAILLE PATTERN DOTS-1238
2888	brll-braillepatterndots48	BRAILLE PATTERN DOTS-48
2889	brll-braillepatterndots148	BRAILLE PATTERN DOTS-148
288A	brll-braillepatterndots248	BRAILLE PATTERN DOTS-248
288B	brll-braillepatterndots1248	BRAILLE PATTERN DOTS-1248
288C	brll-braillepatterndots348	BRAILLE PATTERN DOTS-348
288D	brll-braillepatterndots1348	BRAILLE PATTERN DOTS-1348
288E	brll-braillepatterndots2348	BRAILLE PATTERN DOTS-2348
288F	brll-braillepatterndots12348	BRAILLE PATTERN DOTS-12348
2890	brll-braillepatterndots58	BRAILLE PATTERN DOTS-58
