# Buginese 1A00 - 1A1F
1A00	bgns-bugineseletterka	BUGINESE LETTER KA
1A01	bgns-bugineseletterga	BUGINESE LETTER GA
1A02	bgns-bugineseletternga	BUGINESE LETTER NGA
1A03	bgns-bugineseletterngka	BUGINESE LETTER NGKA
1A04	bgns-bugineseletterpa	BUGINESE LETTER PA
1A05	bgns-bugineseletterba	BUGINESE LETTER BA
1A06	bgns-bugineseletterma	BUGINESE LETTER MA
1A07	bgns-bugineselettermpa	BUGINESE LETTER MPA
1A08	bgns-bugineseletterta	BUGINESE LETTER TA
1A09	bgns-bugineseletterda	BUGINESE LETTER DA
1A0A	bgns-bugineseletterna	BUGINESE LETTER NA
1A0B	bgns-bugineseletternra	BUGINESE LETTER NRA
1A0C	bgns-bugineseletterca	BUGINESE LETTER CA
1A0D	bgns-bugineseletterja	BUGINESE LETTER JA
1A0E	bgns-bugineseletternya	BUGINESE LETTER NYA
1A0F	bgns-bugineseletternyca	BUGINESE LETTER NYCA
1A10	bgns-bugineseletterya	BUGINESE LETTER YA
1A11	bgns-bugineseletterra	BUGINESE LETTER RA
1A12	bgns-bugineseletterla	BUGINESE LETTER LA
1A13	bgns-bugineseletterva	BUGINESE LETTER VA
1A14	bgns-bugineselettersa	BUGINESE LETTER SA
1A15	bgns-bugineselettera	BUGINESE LETTER A
1A16	bgns-bugineseletterha	BUGINESE LETTER HA
1A17	bgns-buginesevowelsigni	BUGINESE VOWEL SIGN I
1A18	bgns-buginesevowelsignu	BUGINESE VOWEL SIGN U
1A19	bgns-buginesevowelsigne	BUGINESE VOWEL SIGN E
1A1A	bgns-buginesevowelsigno	BUGINESE VOWEL SIGN O
1A1B	bgns-buginesevowelsignae	BUGINESE VOWEL SIGN AE
1A1E	bgns-buginesepallawa	BUGINESE PALLAWA
1A1F	bgns-bugineseendofsection	BUGINESE END OF SECTION
