# Byzantine Musical Symbols 1D000 - 1D0FF
1D000	byzn-byzantinemusicalsymbolpsili	BYZANTINE MUSICAL SYMBOL PSILI
1D001	byzn-byzantinemusicalsymboldaseia	BYZANTINE MUSICAL SYMBOL DASEIA
1D002	byzn-byzantinemusicalsymbolperispomeni	BYZANTINE MUSICAL SYMBOL PERISPOMENI
1D003	byzn-byzantinemusicalsymboloxeiaekfonitikon	BYZANTINE MUSICAL SYMBOL OXEIA EKFONITIKON
1D004	byzn-byzantinemusicalsymboloxeiadipli	BYZANTINE MUSICAL SYMBOL OXEIA DIPLI
1D005	byzn-byzantinemusicalsymbolvareiaekfonitikon	BYZANTINE MUSICAL SYMBOL VAREIA EKFONITIKON
1D006	byzn-byzantinemusicalsymbolvareiadipli	BYZANTINE MUSICAL SYMBOL VAREIA DIPLI
1D007	byzn-byzantinemusicalsymbolkathisti	BYZANTINE MUSICAL SYMBOL KATHISTI
1D008	byzn-byzantinemusicalsymbolsyrmatiki	BYZANTINE MUSICAL SYMBOL SYRMATIKI
1D009	byzn-byzantinemusicalsymbolparaklitiki	BYZANTINE MUSICAL SYMBOL PARAKLITIKI
1D00A	byzn-byzantinemusicalsymbolypokrisis	BYZANTINE MUSICAL SYMBOL YPOKRISIS
1D00B	byzn-byzantinemusicalsymbolypokrisisdipli	BYZANTINE MUSICAL SYMBOL YPOKRISIS DIPLI
1D00C	byzn-byzantinemusicalsymbolkremasti	BYZANTINE MUSICAL SYMBOL KREMASTI
1D00D	byzn-byzantinemusicalsymbolapesoekfonitikon	BYZANTINE MUSICAL SYMBOL APESO EKFONITIKON
1D00E	byzn-byzantinemusicalsymbolexoekfonitikon	BYZANTINE MUSICAL SYMBOL EXO EKFONITIKON
1D00F	byzn-byzantinemusicalsymbolteleia	BYZANTINE MUSICAL SYMBOL TELEIA
1D010	byzn-byzantinemusicalsymbolkentimata	BYZANTINE MUSICAL SYMBOL KENTIMATA
1D011	byzn-byzantinemusicalsymbolapostrofos	BYZANTINE MUSICAL SYMBOL APOSTROFOS
1D012	byzn-byzantinemusicalsymbolapostrofosdipli	BYZANTINE MUSICAL SYMBOL APOSTROFOS DIPLI
1D013	byzn-byzantinemusicalsymbolsynevma	BYZANTINE MUSICAL SYMBOL SYNEVMA
1D014	byzn-byzantinemusicalsymbolthita	BYZANTINE MUSICAL SYMBOL THITA
1D015	byzn-byzantinemusicalsymbololigonarchaion	BYZANTINE MUSICAL SYMBOL OLIGON ARCHAION
1D016	byzn-byzantinemusicalsymbolgorgonarchaion	BYZANTINE MUSICAL SYMBOL GORGON ARCHAION
1D017	byzn-byzantinemusicalsymbolpsilon	BYZANTINE MUSICAL SYMBOL PSILON
1D018	byzn-byzantinemusicalsymbolchamilon	BYZANTINE MUSICAL SYMBOL CHAMILON
1D019	byzn-byzantinemusicalsymbolvathy	BYZANTINE MUSICAL SYMBOL VATHY
1D01A	byzn-byzantinemusicalsymbolisonarchaion	BYZANTINE MUSICAL SYMBOL ISON ARCHAION
1D01B	byzn-byzantinemusicalsymbolkentimaarchaion	BYZANTINE MUSICAL SYMBOL KENTIMA ARCHAION
1D01C	byzn-byzantinemusicalsymbolkentimataarchaion	BYZANTINE MUSICAL SYMBOL KENTIMATA ARCHAION
1D01D	byzn-byzantinemusicalsymbolsaximata	BYZANTINE MUSICAL SYMBOL SAXIMATA
1D01E	byzn-byzantinemusicalsymbolparichon	BYZANTINE MUSICAL SYMBOL PARICHON
1D01F	byzn-byzantinemusicalsymbolstavrosapodexia	BYZANTINE MUSICAL SYMBOL STAVROS APODEXIA
1D020	byzn-byzantinemusicalsymboloxeiaiarchaion	BYZANTINE MUSICAL SYMBOL OXEIAI ARCHAION
