# Cham AA00 - AA5F
AA00	chm-chamlettera	CHAM LETTER A
AA01	chm-chamletteri	CHAM LETTER I
AA02	chm-chamletteru	CHAM LETTER U
AA03	chm-chamlettere	CHAM LETTER E
AA04	chm-chamletterai	CHAM LETTER AI
AA05	chm-chamlettero	CHAM LETTER O
AA06	chm-chamletterka	CHAM LETTER KA
AA07	chm-chamletterkha	CHAM LETTER KHA
AA08	chm-chamletterga	CHAM LETTER GA
AA09	chm-chamlettergha	CHAM LETTER GHA
AA0A	chm-chamletterngue	CHAM LETTER NGUE
AA0B	chm-chamletternga	CHAM LETTER NGA
AA0C	chm-chamlettercha	CHAM LETTER CHA
AA0D	chm-chamletterchha	CHAM LETTER CHHA
AA0E	chm-chamletterja	CHAM LETTER JA
AA0F	chm-chamletterjha	CHAM LETTER JHA
AA10	chm-chamletternhue	CHAM LETTER NHUE
AA11	chm-chamletternha	CHAM LETTER NHA
AA12	chm-chamletternhja	CHAM LETTER NHJA
AA13	chm-chamletterta	CHAM LETTER TA
AA14	chm-chamlettertha	CHAM LETTER THA
AA15	chm-chamletterda	CHAM LETTER DA
AA16	chm-chamletterdha	CHAM LETTER DHA
AA17	chm-chamletternue	CHAM LETTER NUE
AA18	chm-chamletterna	CHAM LETTER NA
AA19	chm-chamletterdda	CHAM LETTER DDA
AA1A	chm-chamletterpa	CHAM LETTER PA
AA1B	chm-chamletterppa	CHAM LETTER PPA
AA1C	chm-chamletterpha	CHAM LETTER PHA
AA1D	chm-chamletterba	CHAM LETTER BA
AA1E	chm-chamletterbha	CHAM LETTER BHA
AA1F	chm-chamlettermue	CHAM LETTER MUE
AA20	chm-chamletterma	CHAM LETTER MA
AA21	chm-chamletterbba	CHAM LETTER BBA
AA22	chm-chamletterya	CHAM LETTER YA
AA23	chm-chamletterra	CHAM LETTER RA
AA24	chm-chamletterla	CHAM LETTER LA
AA25	chm-chamletterva	CHAM LETTER VA
AA26	chm-chamletterssa	CHAM LETTER SSA
AA27	chm-chamlettersa	CHAM LETTER SA
AA28	chm-chamletterha	CHAM LETTER HA
AA29	chm-chamvowelsignaa	CHAM VOWEL SIGN AA
AA2A	chm-chamvowelsigni	CHAM VOWEL SIGN I
AA2B	chm-chamvowelsignii	CHAM VOWEL SIGN II
AA2C	chm-chamvowelsignei	CHAM VOWEL SIGN EI
AA2D	chm-chamvowelsignu	CHAM VOWEL SIGN U
AA2E	chm-chamvowelsignoe	CHAM VOWEL SIGN OE
AA2F	chm-chamvowelsigno	CHAM VOWEL SIGN O
AA30	chm-chamvowelsignai	CHAM VOWEL SIGN AI
AA31	chm-chamvowelsignau	CHAM VOWEL SIGN AU
AA32	chm-chamvowelsignue	CHAM VOWEL SIGN UE
AA33	chm-chamconsonantsignya	CHAM CONSONANT SIGN YA
AA34	chm-chamconsonantsignra	CHAM CONSONANT SIGN RA
AA35	chm-chamconsonantsignla	CHAM CONSONANT SIGN LA
AA36	chm-chamconsonantsignwa	CHAM CONSONANT SIGN WA
AA40	chm-chamletterfinalk	CHAM LETTER FINAL K
AA41	chm-chamletterfinalg	CHAM LETTER FINAL G
AA42	chm-chamletterfinalng	CHAM LETTER FINAL NG
AA43	chm-chamconsonantsignfinalng	CHAM CONSONANT SIGN FINAL NG
AA44	chm-chamletterfinalch	CHAM LETTER FINAL CH
AA45	chm-chamletterfinalt	CHAM LETTER FINAL T
AA46	chm-chamletterfinaln	CHAM LETTER FINAL N
AA47	chm-chamletterfinalp	CHAM LETTER FINAL P
AA48	chm-chamletterfinaly	CHAM LETTER FINAL Y
AA49	chm-chamletterfinalr	CHAM LETTER FINAL R
AA4A	chm-chamletterfinall	CHAM LETTER FINAL L
AA4B	chm-chamletterfinalss	CHAM LETTER FINAL SS
AA4C	chm-chamconsonantsignfinalm	CHAM CONSONANT SIGN FINAL M
AA4D	chm-chamconsonantsignfinalh	CHAM CONSONANT SIGN FINAL H
AA50	chm-chamdigitzero	CHAM DIGIT ZERO
AA51	chm-chamdigitone	CHAM DIGIT ONE
AA52	chm-chamdigittwo	CHAM DIGIT TWO
AA53	chm-chamdigitthree	CHAM DIGIT THREE
AA54	chm-chamdigitfour	CHAM DIGIT FOUR
AA55	chm-chamdigitfive	CHAM DIGIT FIVE
AA56	chm-chamdigitsix	CHAM DIGIT SIX
AA57	chm-chamdigitseven	CHAM DIGIT SEVEN
AA58	chm-chamdigiteight	CHAM DIGIT EIGHT
AA59	chm-chamdigitnine	CHAM DIGIT NINE
AA5C	chm-champunctuationspiral	CHAM PUNCTUATION SPIRAL
AA5D	chm-champunctuationdanda	CHAM PUNCTUATION DANDA
AA5E	chm-champunctuationdoubledanda	CHAM PUNCTUATION DOUBLE DANDA
AA5F	chm-champunctuationtripledanda	CHAM PUNCTUATION TRIPLE DANDA
