# Cherokee 13A0 - 13FF
13A0	chrk-cherokeelettera	CHEROKEE LETTER A
13A1	chrk-cherokeelettere	CHEROKEE LETTER E
13A2	chrk-cherokeeletteri	CHEROKEE LETTER I
13A3	chrk-cherokeelettero	CHEROKEE LETTER O
13A4	chrk-cherokeeletteru	CHEROKEE LETTER U
13A5	chrk-cherokeeletterv	CHEROKEE LETTER V
13A6	chrk-cherokeeletterga	CHEROKEE LETTER GA
13A7	chrk-cherokeeletterka	CHEROKEE LETTER KA
13A8	chrk-cherokeeletterge	CHEROKEE LETTER GE
13A9	chrk-cherokeelettergi	CHEROKEE LETTER GI
13AA	chrk-cherokeelettergo	CHEROKEE LETTER GO
13AB	chrk-cherokeelettergu	CHEROKEE LETTER GU
13AC	chrk-cherokeelettergv	CHEROKEE LETTER GV
13AD	chrk-cherokeeletterha	CHEROKEE LETTER HA
13AE	chrk-cherokeeletterhe	CHEROKEE LETTER HE
13AF	chrk-cherokeeletterhi	CHEROKEE LETTER HI
13B0	chrk-cherokeeletterho	CHEROKEE LETTER HO
13B1	chrk-cherokeeletterhu	CHEROKEE LETTER HU
13B2	chrk-cherokeeletterhv	CHEROKEE LETTER HV
13B3	chrk-cherokeeletterla	CHEROKEE LETTER LA
13B4	chrk-cherokeeletterle	CHEROKEE LETTER LE
13B5	chrk-cherokeeletterli	CHEROKEE LETTER LI
13B6	chrk-cherokeeletterlo	CHEROKEE LETTER LO
13B7	chrk-cherokeeletterlu	CHEROKEE LETTER LU
13B8	chrk-cherokeeletterlv	CHEROKEE LETTER LV
13B9	chrk-cherokeeletterma	CHEROKEE LETTER MA
13BA	chrk-cherokeeletterme	CHEROKEE LETTER ME
13BB	chrk-cherokeelettermi	CHEROKEE LETTER MI
13BC	chrk-cherokeelettermo	CHEROKEE LETTER MO
13BD	chrk-cherokeelettermu	CHEROKEE LETTER MU
13BE	chrk-cherokeeletterna	CHEROKEE LETTER NA
13BF	chrk-cherokeeletterhna	CHEROKEE LETTER HNA
13C0	chrk-cherokeeletternah	CHEROKEE LETTER NAH
13C1	chrk-cherokeeletterne	CHEROKEE LETTER NE
13C2	chrk-cherokeeletterni	CHEROKEE LETTER NI
13C3	chrk-cherokeeletterno	CHEROKEE LETTER NO
13C4	chrk-cherokeeletternu	CHEROKEE LETTER NU
13C5	chrk-cherokeeletternv	CHEROKEE LETTER NV
13C6	chrk-cherokeeletterqua	CHEROKEE LETTER QUA
13C7	chrk-cherokeeletterque	CHEROKEE LETTER QUE
13C8	chrk-cherokeeletterqui	CHEROKEE LETTER QUI
13C9	chrk-cherokeeletterquo	CHEROKEE LETTER QUO
13CA	chrk-cherokeeletterquu	CHEROKEE LETTER QUU
13CB	chrk-cherokeeletterquv	CHEROKEE LETTER QUV
13CC	chrk-cherokeelettersa	CHEROKEE LETTER SA
13CD	chrk-cherokeeletters	CHEROKEE LETTER S
13CE	chrk-cherokeeletterse	CHEROKEE LETTER SE
13CF	chrk-cherokeelettersi	CHEROKEE LETTER SI
13D0	chrk-cherokeeletterso	CHEROKEE LETTER SO
13D1	chrk-cherokeelettersu	CHEROKEE LETTER SU
13D2	chrk-cherokeelettersv	CHEROKEE LETTER SV
13D3	chrk-cherokeeletterda	CHEROKEE LETTER DA
13D4	chrk-cherokeeletterta	CHEROKEE LETTER TA
13D5	chrk-cherokeeletterde	CHEROKEE LETTER DE
13D6	chrk-cherokeeletterte	CHEROKEE LETTER TE
13D7	chrk-cherokeeletterdi	CHEROKEE LETTER DI
13D8	chrk-cherokeeletterti	CHEROKEE LETTER TI
13D9	chrk-cherokeeletterdo	CHEROKEE LETTER DO
13DA	chrk-cherokeeletterdu	CHEROKEE LETTER DU
13DB	chrk-cherokeeletterdv	CHEROKEE LETTER DV
13DC	chrk-cherokeeletterdla	CHEROKEE LETTER DLA
13DD	chrk-cherokeelettertla	CHEROKEE LETTER TLA
13DE	chrk-cherokeelettertle	CHEROKEE LETTER TLE
13DF	chrk-cherokeelettertli	CHEROKEE LETTER TLI
13E0	chrk-cherokeelettertlo	CHEROKEE LETTER TLO
13E1	chrk-cherokeelettertlu	CHEROKEE LETTER TLU
13E2	chrk-cherokeelettertlv	CHEROKEE LETTER TLV
13E3	chrk-cherokeelettertsa	CHEROKEE LETTER TSA
13E4	chrk-cherokeelettertse	CHEROKEE LETTER TSE
13E5	chrk-cherokeelettertsi	CHEROKEE LETTER TSI
13E6	chrk-cherokeelettertso	CHEROKEE LETTER TSO
13E7	chrk-cherokeelettertsu	CHEROKEE LETTER TSU
13E8	chrk-cherokeelettertsv	CHEROKEE LETTER TSV
13E9	chrk-cherokeeletterwa	CHEROKEE LETTER WA
13EA	chrk-cherokeeletterwe	CHEROKEE LETTER WE
13EB	chrk-cherokeeletterwi	CHEROKEE LETTER WI
13EC	chrk-cherokeeletterwo	CHEROKEE LETTER WO
13ED	chrk-cherokeeletterwu	CHEROKEE LETTER WU
13EE	chrk-cherokeeletterwv	CHEROKEE LETTER WV
13EF	chrk-cherokeeletterya	CHEROKEE LETTER YA
13F0	chrk-cherokeeletterye	CHEROKEE LETTER YE
13F1	chrk-cherokeeletteryi	CHEROKEE LETTER YI
13F2	chrk-cherokeeletteryo	CHEROKEE LETTER YO
13F3	chrk-cherokeeletteryu	CHEROKEE LETTER YU
13F4	chrk-cherokeeletteryv	CHEROKEE LETTER YV
