# CJK Compatibility 3300 - 33FF
3300	cjk-apaatofullwidth	SQUARE APAATO
3301	cjk-aruhuafullwidth	SQUARE ARUHUA
3302	cjk-anpeafullwidth	SQUARE ANPEA
3303	cjk-aarufullwidth	SQUARE AARU
3304	cjk-iningufullwidth	SQUARE ININGU
3305	cjk-intifullwidth	SQUARE INTI
3306	cjk-uonfullwidth	SQUARE UON
3307	cjk-esukuudofullwidth	SQUARE ESUKUUDO
3308	cjk-eekaafullwidth	SQUARE EEKAA
3309	cjk-onsufullwidth	SQUARE ONSU
330A	cjk-oomufullwidth	SQUARE OOMU
330B	cjk-kairifullwidth	SQUARE KAIRI
330C	cjk-karattofullwidth	SQUARE KARATTO
330D	cjk-karoriifullwidth	SQUARE KARORII
330E	cjk-garonfullwidth	SQUARE GARON
330F	cjk-ganmafullwidth	SQUARE GANMA
3310	cjk-gigafullwidth	SQUARE GIGA
3311	cjk-giniifullwidth	SQUARE GINII
3312	cjk-kyuriifullwidth	SQUARE KYURII
3313	cjk-girudaafullwidth	SQUARE GIRUDAA
3314	cjk-kirofullwidth	SQUARE KIRO
3315	cjk-kiroguramufullwidth	SQUARE KIROGURAMU
3316	cjk-kiromeetorufullwidth	SQUARE KIROMEETORU
3317	cjk-kirowattofullwidth	SQUARE KIROWATTO
3318	cjk-guramufullwidth	SQUARE GURAMU
3319	cjk-guramutonfullwidth	SQUARE GURAMUTON
331A	cjk-kuruzeirofullwidth	SQUARE KURUZEIRO
331B	cjk-kuroonefullwidth	SQUARE KUROONE
331C	cjk-keesufullwidth	SQUARE KEESU
331D	cjk-korunafullwidth	SQUARE KORUNA
331E	cjk-koopofullwidth	SQUARE KOOPO
331F	cjk-saikurufullwidth	SQUARE SAIKURU
3320	cjk-santiimufullwidth	SQUARE SANTIIMU
3321	cjk-siringufullwidth	SQUARE SIRINGU
3322	cjk-sentifullwidth	SQUARE SENTI
3323	cjk-sentofullwidth	SQUARE SENTO
3324	cjk-daasufullwidth	SQUARE DAASU
3325	cjk-desifullwidth	SQUARE DESI
3326	cjk-dorufullwidth	SQUARE DORU
3327	cjk-tonfullwidth	SQUARE TON
3328	cjk-nanofullwidth	SQUARE NANO
3329	cjk-nottofullwidth	SQUARE NOTTO
332A	cjk-haitufullwidth	SQUARE HAITU
332B	cjk-paasentofullwidth	SQUARE PAASENTO
332C	cjk-paatufullwidth	SQUARE PAATU
332D	cjk-baarerufullwidth	SQUARE BAARERU
332E	cjk-piasutorufullwidth	SQUARE PIASUTORU
