# CJK Compatibility Ideographs F900 - FAFF
F900	cjk-cjkcompatibilityideographf900	CJK COMPATIBILITY IDEOGRAPH-F900
F901	cjk-cjkcompatibilityideographf901	CJK COMPATIBILITY IDEOGRAPH-F901
F902	cjk-cjkcompatibilityideographf902	CJK COMPATIBILITY IDEOGRAPH-F902
F903	cjk-cjkcompatibilityideographf903	CJK COMPATIBILITY IDEOGRAPH-F903
F904	cjk-cjkcompatibilityideographf904	CJK COMPATIBILITY IDEOGRAPH-F904
F905	cjk-cjkcompatibilityideographf905	CJK COMPATIBILITY IDEOGRAPH-F905
F906	cjk-cjkcompatibilityideographf906	CJK COMPATIBILITY IDEOGRAPH-F906
F907	cjk-cjkcompatibilityideographf907	CJK COMPATIBILITY IDEOGRAPH-F907
F908	cjk-cjkcompatibilityideographf908	CJK COMPATIBILITY IDEOGRAPH-F908
F909	cjk-cjkcompatibilityideographf909	CJK COMPATIBILITY IDEOGRAPH-F909
F90A	cjk-cjkcompatibilityideographf90a	CJK COMPATIBILITY IDEOGRAPH-F90A
F90B	cjk-cjkcompatibilityideographf90b	CJK COMPATIBILITY IDEOGRAPH-F90B
F90C	cjk-cjkcompatibilityideographf90c	CJK COMPATIBILITY IDEOGRAPH-F90C
F90D	cjk-cjkcompatibilityideographf90d	CJK COMPATIBILITY IDEOGRAPH-F90D
F90E	cjk-cjkcompatibilityideographf90e	CJK COMPATIBILITY IDEOGRAPH-F90E
F90F	cjk-cjkcompatibilityideographf90f	CJK COMPATIBILITY IDEOGRAPH-F90F
F910	cjk-cjkcompatibilityideographf910	CJK COMPATIBILITY IDEOGRAPH-F910
F911	cjk-cjkcompatibilityideographf911	CJK COMPATIBILITY IDEOGRAPH-F911
F912	cjk-cjkcompatibilityideographf912	CJK COMPATIBILITY IDEOGRAPH-F912
F913	cjk-cjkcompatibilityideographf913	CJK COMPATIBILITY IDEOGRAPH-F913
F914	cjk-cjkcompatibilityideographf914	CJK COMPATIBILITY IDEOGRAPH-F914
