# CJK Compatibility Ideographs Supplement 2F800 - 2FA1F
2F800	cjk-cjkcompatibilityideograph2f800	CJK COMPATIBILITY IDEOGRAPH-2F800
2F801	cjk-cjkcompatibilityideograph2f801	CJK COMPATIBILITY IDEOGRAPH-2F801
2F802	cjk-cjkcompatibilityideograph2f802	CJK COMPATIBILITY IDEOGRAPH-2F802
2F803	cjk-cjkcompatibilityideograph2f803	CJK COMPATIBILITY IDEOGRAPH-2F803
2F804	cjk-cjkcompatibilityideograph2f804	CJK COMPATIBILITY IDEOGRAPH-2F804
2F805	cjk-cjkcompatibilityideograph2f805	CJK COMPATIBILITY IDEOGRAPH-2F805
2F806	cjk-cjkcompatibilityideograph2f806	CJK COMPATIBILITY IDEOGRAPH-2F806
2F807	cjk-cjkcompatibilityideograph2f807	CJK COMPATIBILITY IDEOGRAPH-2F807
2F808	cjk-cjkcompatibilityideograph2f808	CJK COMPATIBILITY IDEOGRAPH-2F808
2F809	cjk-cjkcompatibilityideograph2f809	CJK COMPATIBILITY IDEOGRAPH-2F809
2F80A	cjk-cjkcompatibilityideograph2f80a	CJK COMPATIBILITY IDEOGRAPH-2F80A
2F80B	cjk-cjkcompatibilityideograph2f80b	CJK COMPATIBILITY IDEOGRAPH-2F80B
2F80C	cjk-cjkcompatibilityideograph2f80c	CJK COMPATIBILITY IDEOGRAPH-2F80C
2F80D	cjk-cjkcompatibilityideograph2f80d	CJK COMPATIBILITY IDEOGRAPH-2F80D
2F80E	cjk-cjkcompatibilityideograph2f80e	CJK COMPATIBILITY IDEOGRAPH-2F80E
2F80F	cjk-cjkcompatibilityideograph2f80f	CJK COMPATIBILITY IDEOGRAPH-2F80F
2F810	cjk-cjkcompatibilityideograph2f810	CJK COMPATIBILITY IDEOGRAPH-2F810
2F811	cjk-cjkcompatibilityideograph2f811	CJK COMPATIBILITY IDEOGRAPH-2F811
2F812	cjk-cjkcompatibilityideograph2f812	CJK COMPATIBILITY IDEOGRAPH-2F812
2F813	cjk-cjkcompatibilityideograph2f813	CJK COMPATIBILITY IDEOGRAPH-2F813
2F814	cjk-cjkcompatibilityideograph2f814	CJK COMPATIBILITY IDEOGRAPH-2F814
2F815	cjk-cjkcompatibilityideograph2f815	CJK COMPATIBILITY IDEOGRAPH-2F815
2F816	cjk-cjkcompatibilityideograph2f816	CJK COMPATIBILITY IDEOGRAPH-2F816
2F817	cjk-cjkcompatibilityideograph2f817	CJK COMPATIBILITY IDEOGRAPH-2F817
2F818	cjk-cjkcompatibilityideograph2f818	CJK COMPATIBILITY IDEOGRAPH-2F818
