# CJK Radicals Supplement 2E80 - 2EFF
2E80	cjk-cjkradicalrepeat	CJK RADICAL REPEAT
2E81	cjk-cjkradicalcliff	CJK RADICAL CLIFF
2E82	cjk-cjkradicalsecondone	CJK RADICAL SECOND ONE
2E83	cjk-cjkradicalsecondtwo	CJK RADICAL SECOND TWO
2E84	cjk-cjkradicalsecondthree	CJK RADICAL SECOND THREE
2E85	cjk-cjkradicalperson	CJK RADICAL PERSON
2E86	cjk-cjkradicalbox	CJK RADICAL BOX
2E87	cjk-cjkradicaltable	CJK RADICAL TABLE
2E88	cjk-cjkradicalknifeone	CJK RADICAL KNIFE ONE
2E89	cjk-cjkradicalknifetwo	CJK RADICAL KNIFE TWO
2E8A	cjk-cjkradicaldivination	CJK RADICAL DIVINATION
2E8B	cjk-cjkradicalseal	CJK RADICAL SEAL
2E8C	cjk-cjkradicalsmallone	CJK RADICAL SMALL ONE
2E8D	cjk-cjkradicalsmalltwo	CJK RADICAL SMALL TWO
2E8E	cjk-cjkradicallameone	CJK RADICAL LAME ONE
2E8F	cjk-cjkradicallametwo	CJK RADICAL LAME TWO
2E90	cjk-cjkradicallamethree	CJK RADICAL LAME THREE
2E91	cjk-cjkradicallamefour	CJK RADICAL LAME FOUR
2E92	cjk-cjkradicalsnake	CJK RADICAL SNAKE
2E93	cjk-cjkradicalthread	CJK RADICAL THREAD
2E94	cjk-cjkradicalsnoutone	CJK RADICAL SNOUT ONE
2E95	cjk-cjkradicalsnouttwo	CJK RADICAL SNOUT TWO
2E96	cjk-cjkradicalheartone	CJK RADICAL HEART ONE
2E97	cjk-cjkradicalhearttwo	CJK RADICAL HEART TWO
2E98	cjk-cjkradicalhand	CJK RADICAL HAND
2E99	cjk-cjkradicalrap	CJK RADICAL RAP
2E9B	cjk-cjkradicalchoke	CJK RADICAL CHOKE
2E9C	cjk-cjkradicalsun	CJK RADICAL SUN
2E9D	cjk-cjkradicalmoon	CJK RADICAL MOON
2E9E	cjk-cjkradicaldeath	CJK RADICAL DEATH
2E9F	cjk-cjkradicalmother	CJK RADICAL MOTHER
2EA0	cjk-cjkradicalcivilian	CJK RADICAL CIVILIAN
2EA1	cjk-cjkradicalwaterone	CJK RADICAL WATER ONE
2EA2	cjk-cjkradicalwatertwo	CJK RADICAL WATER TWO
2EA3	cjk-cjkradicalfire	CJK RADICAL FIRE
2EA4	cjk-cjkradicalpawone	CJK RADICAL PAW ONE
2EA5	cjk-cjkradicalpawtwo	CJK RADICAL PAW TWO
2EA6	cjk-cjkradicalsimplifiedhalftreetrunk	CJK RADICAL SIMPLIFIED HALF TREE TRUNK
2EA7	cjk-cjkradicalcow	CJK RADICAL COW
2EA8	cjk-cjkradicaldog	CJK RADICAL DOG
2EA9	cjk-cjkradicaljade	CJK RADICAL JADE
2EAA	cjk-cjkradicalboltofcloth	CJK RADICAL BOLT OF CLOTH
2EAB	cjk-cjkradicaleye	CJK RADICAL EYE
2EAC	cjk-cjkradicalspiritone	CJK RADICAL SPIRIT ONE
2EAD	cjk-cjkradicalspirittwo	CJK RADICAL SPIRIT TWO
2EAE	cjk-cjkradicalbamboo	CJK RADICAL BAMBOO
2EAF	cjk-cjkradicalsilk	CJK RADICAL SILK
2EB0	cjk-cjkradicalcsimplifiedsilk	CJK RADICAL C-SIMPLIFIED SILK
2EB1	cjk-cjkradicalnetone	CJK RADICAL NET ONE
2EB2	cjk-cjkradicalnettwo	CJK RADICAL NET TWO
2EB3	cjk-cjkradicalnetthree	CJK RADICAL NET THREE
2EB4	cjk-cjkradicalnetfour	CJK RADICAL NET FOUR
2EB5	cjk-cjkradicalmesh	CJK RADICAL MESH
2EB6	cjk-cjkradicalsheep	CJK RADICAL SHEEP
2EB7	cjk-cjkradicalram	CJK RADICAL RAM
2EB8	cjk-cjkradicalewe	CJK RADICAL EWE
2EB9	cjk-cjkradicalold	CJK RADICAL OLD
2EBA	cjk-cjkradicalbrushone	CJK RADICAL BRUSH ONE
2EBB	cjk-cjkradicalbrushtwo	CJK RADICAL BRUSH TWO
2EBC	cjk-cjkradicalmeat	CJK RADICAL MEAT
2EBD	cjk-cjkradicalmortar	CJK RADICAL MORTAR
2EBE	cjk-cjkradicalgrassone	CJK RADICAL GRASS ONE
2EBF	cjk-cjkradicalgrasstwo	CJK RADICAL GRASS TWO
2EC0	cjk-cjkradicalgrassthree	CJK RADICAL GRASS THREE
2EC1	cjk-cjkradicaltiger	CJK RADICAL TIGER
2EC2	cjk-cjkradicalclothes	CJK RADICAL CLOTHES
2EC3	cjk-cjkradicalwestone	CJK RADICAL WEST ONE
2EC4	cjk-cjkradicalwesttwo	CJK RADICAL WEST TWO
2EC5	cjk-cjkradicalcsimplifiedsee	CJK RADICAL C-SIMPLIFIED SEE
2EC6	cjk-cjkradicalsimplifiedhorn	CJK RADICAL SIMPLIFIED HORN
2EC7	cjk-cjkradicalhorn	CJK RADICAL HORN
2EC8	cjk-cjkradicalcsimplifiedspeech	CJK RADICAL C-SIMPLIFIED SPEECH
2EC9	cjk-cjkradicalcsimplifiedshell	CJK RADICAL C-SIMPLIFIED SHELL
2ECA	cjk-cjkradicalfoot	CJK RADICAL FOOT
2ECB	cjk-cjkradicalcsimplifiedcart	CJK RADICAL C-SIMPLIFIED CART
2ECC	cjk-cjkradicalsimplifiedwalk	CJK RADICAL SIMPLIFIED WALK
2ECD	cjk-cjkradicalwalkone	CJK RADICAL WALK ONE
2ECE	cjk-cjkradicalwalktwo	CJK RADICAL WALK TWO
2ECF	cjk-cjkradicalcity	CJK RADICAL CITY
2ED0	cjk-cjkradicalcsimplifiedgold	CJK RADICAL C-SIMPLIFIED GOLD
2ED1	cjk-cjkradicallongone	CJK RADICAL LONG ONE
2ED2	cjk-cjkradicallongtwo	CJK RADICAL LONG TWO
2ED3	cjk-cjkradicalcsimplifiedlong	CJK RADICAL C-SIMPLIFIED LONG
2ED4	cjk-cjkradicalcsimplifiedgate	CJK RADICAL C-SIMPLIFIED GATE
2ED5	cjk-cjkradicalmoundone	CJK RADICAL MOUND ONE
2ED6	cjk-cjkradicalmoundtwo	CJK RADICAL MOUND TWO
2ED7	cjk-cjkradicalrain	CJK RADICAL RAIN
2ED8	cjk-cjkradicalblue	CJK RADICAL BLUE
2ED9	cjk-cjkradicalcsimplifiedtannedleather	CJK RADICAL C-SIMPLIFIED TANNED LEATHER
2EDA	cjk-cjkradicalcsimplifiedleaf	CJK RADICAL C-SIMPLIFIED LEAF
2EDB	cjk-cjkradicalcsimplifiedwind	CJK RADICAL C-SIMPLIFIED WIND
2EDC	cjk-cjkradicalcsimplifiedfly	CJK RADICAL C-SIMPLIFIED FLY
2EDD	cjk-cjkradicaleatone	CJK RADICAL EAT ONE
2EDE	cjk-cjkradicaleattwo	CJK RADICAL EAT TWO
2EDF	cjk-cjkradicaleatthree	CJK RADICAL EAT THREE
2EE0	cjk-cjkradicalcsimplifiedeat	CJK RADICAL C-SIMPLIFIED EAT
2EE1	cjk-cjkradicalhead	CJK RADICAL HEAD
2EE2	cjk-cjkradicalcsimplifiedhorse	CJK RADICAL C-SIMPLIFIED HORSE
2EE3	cjk-cjkradicalbone	CJK RADICAL BONE
2EE4	cjk-cjkradicalghost	CJK RADICAL GHOST
2EE5	cjk-cjkradicalcsimplifiedfish	CJK RADICAL C-SIMPLIFIED FISH
2EE6	cjk-cjkradicalcsimplifiedbird	CJK RADICAL C-SIMPLIFIED BIRD
2EE7	cjk-cjkradicalcsimplifiedsalt	CJK RADICAL C-SIMPLIFIED SALT
2EE8	cjk-cjkradicalsimplifiedwheat	CJK RADICAL SIMPLIFIED WHEAT
2EE9	cjk-cjkradicalsimplifiedyellow	CJK RADICAL SIMPLIFIED YELLOW
2EEA	cjk-cjkradicalcsimplifiedfrog	CJK RADICAL C-SIMPLIFIED FROG
2EEB	cjk-cjkradicaljsimplifiedeven	CJK RADICAL J-SIMPLIFIED EVEN
2EEC	cjk-cjkradicalcsimplifiedeven	CJK RADICAL C-SIMPLIFIED EVEN
2EED	cjk-cjkradicaljsimplifiedtooth	CJK RADICAL J-SIMPLIFIED TOOTH
2EEE	cjk-cjkradicalcsimplifiedtooth	CJK RADICAL C-SIMPLIFIED TOOTH
2EEF	cjk-cjkradicaljsimplifieddragon	CJK RADICAL J-SIMPLIFIED DRAGON
2EF0	cjk-cjkradicalcsimplifieddragon	CJK RADICAL C-SIMPLIFIED DRAGON
2EF1	cjk-cjkradicalturtle	CJK RADICAL TURTLE
2EF2	cjk-cjkradicaljsimplifiedturtle	CJK RADICAL J-SIMPLIFIED TURTLE
