# CJK Strokes 31C0 - 31EF
31C0	cjk-cjkstroket	CJK STROKE T
31C1	cjk-cjkstrokewg	CJK STROKE WG
31C2	cjk-cjkstrokexg	CJK STROKE XG
31C3	cjk-cjkstrokebxg	CJK STROKE BXG
31C4	cjk-cjkstrokesw	CJK STROKE SW
31C5	cjk-cjkstrokehzz	CJK STROKE HZZ
31C6	cjk-cjkstrokehzg	CJK STROKE HZG
31C7	cjk-cjkstrokehp	CJK STROKE HP
31C8	cjk-cjkstrokehzwg	CJK STROKE HZWG
31C9	cjk-cjkstrokeszwg	CJK STROKE SZWG
31CA	cjk-cjkstrokehzt	CJK STROKE HZT
31CB	cjk-cjkstrokehzzp	CJK STROKE HZZP
31CC	cjk-cjkstrokehpwg	CJK STROKE HPWG
31CD	cjk-cjkstrokehzw	CJK STROKE HZW
31CE	cjk-cjkstrokehzzz	CJK STROKE HZZZ
31CF	cjk-cjkstroken	CJK STROKE N
31D0	cjk-cjkstrokeh	CJK STROKE H
31D1	cjk-cjkstrokes	CJK STROKE S
31D2	cjk-cjkstrokep	CJK STROKE P
31D3	cjk-cjkstrokesp	CJK STROKE SP
31D4	cjk-cjkstroked	CJK STROKE D
31D5	cjk-cjkstrokehz	CJK STROKE HZ
31D6	cjk-cjkstrokehg	CJK STROKE HG
31D7	cjk-cjkstrokesz	CJK STROKE SZ
31D8	cjk-cjkstrokeswz	CJK STROKE SWZ
31D9	cjk-cjkstrokest	CJK STROKE ST
31DA	cjk-cjkstrokesg	CJK STROKE SG
31DB	cjk-cjkstrokepd	CJK STROKE PD
31DC	cjk-cjkstrokepz	CJK STROKE PZ
31DD	cjk-cjkstroketn	CJK STROKE TN
31DE	cjk-cjkstrokeszz	CJK STROKE SZZ
31DF	cjk-cjkstrokeswg	CJK STROKE SWG
31E0	cjk-cjkstrokehxwg	CJK STROKE HXWG
31E1	cjk-cjkstrokehzzzg	CJK STROKE HZZZG
31E2	cjk-cjkstrokepg	CJK STROKE PG
31E3	cjk-cjkstrokeq	CJK STROKE Q
