# CJK Symbols and Punctuation 3000 - 303F
3000	cjk-ideographicspace	IDEOGRAPHIC SPACE
3001	cjk-ideographiccomma	IDEOGRAPHIC COMMA
3002	cjk-ideographicperiod	IDEOGRAPHIC FULL STOP
3003	cjk-dittomark	DITTO MARK
3004	cjk-jis	JAPANESE INDUSTRIAL STANDARD SYMBOL
3005	cjk-ideographiciterationmark	IDEOGRAPHIC ITERATION MARK
3006	cjk-ideographicclose	IDEOGRAPHIC CLOSING MARK
3007	cjk-ideographiczero	IDEOGRAPHIC NUMBER ZERO
3008	cjk-anglebracketleft	LEFT ANGLE BRACKET
3009	cjk-anglebracketright	RIGHT ANGLE BRACKET
300A	cjk-dblanglebracketleft	LEFT DOUBLE ANGLE BRACKET
300B	cjk-dblanglebracketright	RIGHT DOUBLE ANGLE BRACKET
300C	cjk-cornerbracketleft	LEFT CORNER BRACKET
300D	cjk-cornerbracketright	RIGHT CORNER BRACKET
300E	cjk-whitecornerbracketleft	LEFT WHITE CORNER BRACKET
300F	cjk-whitecornerbracketright	RIGHT WHITE CORNER BRACKET
3010	cjk-blacklenticularbracketleft	LEFT BLACK LENTICULAR BRACKET
3011	cjk-blacklenticularbracketright	RIGHT BLACK LENTICULAR BRACKET
3012	cjk-postalmark	POSTAL MARK
3013	cjk-getamark	GETA MARK
3014	cjk-tortoiseshellbracketleft	LEFT TORTOISE SHELL BRACKET
3015	cjk-tortoiseshellbracketright	RIGHT TORTOISE SHELL BRACKET
3016	cjk-whitelenticularbracketleft	LEFT WHITE LENTICULAR BRACKET
3017	cjk-whitelenticularbracketright	RIGHT WHITE LENTICULAR BRACKET
3018	cjk-whitetortoiseshellbracketleft	LEFT WHITE TORTOISE SHELL BRACKET
3019	cjk-whitetortoiseshellbracketright	RIGHT WHITE TORTOISE SHELL BRACKET
301A	cjk-whitesquarebracketleft	LEFT WHITE SQUARE BRACKET
301B	cjk-whitesquarebracketright	RIGHT WHITE SQUARE BRACKET
301C	cjk-wavedash	WAVE DASH
301D	cjk-quotedblprimereversed	REVERSED DOUBLE PRIME QUOTATION MARK
301E	cjk-quotedblprime	DOUBLE PRIME QUOTATION MARK
301F	cjk-lowquotedblprime	LOW DOUBLE PRIME QUOTATION MARK
3020	cjk-postalmarkface	POSTAL MARK FACE
3021	cjk-onehangzhou	HANGZHOU NUMERAL ONE
3022	cjk-twohangzhou	HANGZHOU NUMERAL TWO
3023	cjk-threehangzhou	HANGZHOU NUMERAL THREE
3024	cjk-fourhangzhou	HANGZHOU NUMERAL FOUR
3025	cjk-fivehangzhou	HANGZHOU NUMERAL FIVE
3026	cjk-sixhangzhou	HANGZHOU NUMERAL SIX
3027	cjk-sevenhangzhou	HANGZHOU NUMERAL SEVEN
3028	cjk-eighthangzhou	HANGZHOU NUMERAL EIGHT
3029	cjk-ninehangzhou	HANGZHOU NUMERAL NINE
302A	cjk-ideographicleveltonemark	IDEOGRAPHIC LEVEL TONE MARK
302B	cjk-ideographicrisingtonemark	IDEOGRAPHIC RISING TONE MARK
302C	cjk-ideographicdepartingtonemark	IDEOGRAPHIC DEPARTING TONE MARK
302D	cjk-ideographicenteringtonemark	IDEOGRAPHIC ENTERING TONE MARK
302E	cjk-hangulsingledottonemark	HANGUL SINGLE DOT TONE MARK
302F	cjk-hanguldottonemarkdbl	HANGUL DOUBLE DOT TONE MARK
3030	cjk-wavydash	WAVY DASH
3031	cjk-verticalkanarepeatmark	VERTICAL KANA REPEAT MARK
3032	cjk-verticalkanarepeatwithvoicedsoundmark	VERTICAL KANA REPEAT WITH VOICED SOUND MARK
3033	cjk-verticalkanarepeatmarkupperhalf	VERTICAL KANA REPEAT MARK UPPER HALF
3034	cjk-verticalkanarepeatwithvoicedsoundmarkupperhalf	VERTICAL KANA REPEAT WITH VOICED SOUND MARK UPPER HALF
3035	cjk-verticalkanarepeatmarklowerhalf	VERTICAL KANA REPEAT MARK LOWER HALF
3036	cjk-circlepostalmark	CIRCLED POSTAL MARK
3037	cjk-ideographictelegraphlinefeedseparatorsymbol	IDEOGRAPHIC TELEGRAPH LINE FEED SEPARATOR SYMBOL
3038	cjk-tenhangzhou	HANGZHOU NUMERAL TEN
3039	cjk-twentyhangzhou	HANGZHOU NUMERAL TWENTY
303A	cjk-thirtyhangzhou	HANGZHOU NUMERAL THIRTY
303B	cjk-verticalideographiciterationmark	VERTICAL IDEOGRAPHIC ITERATION MARK
303C	cjk-masumark	MASU MARK
303D	cjk-partalternationmark	PART ALTERNATION MARK
303E	cjk-ideographicvariationindicator	IDEOGRAPHIC VARIATION INDICATOR
303F	cjk-ideographichalffillspace	IDEOGRAPHIC HALF FILL SPACE
