# CJK Unified Ideographs 4E00 - 9FFF
4E00	cjk-cjkunifiedideograph4e00	CJK UNIFIED IDEOGRAPH-4E00
4E01	cjk-cjkunifiedideograph4e01	CJK UNIFIED IDEOGRAPH-4E01
4E02	cjk-cjkunifiedideograph4e02	CJK UNIFIED IDEOGRAPH-4E02
4E03	cjk-cjkunifiedideograph4e03	CJK UNIFIED IDEOGRAPH-4E03
4E04	cjk-cjkunifiedideograph4e04	CJK UNIFIED IDEOGRAPH-4E04
4E05	cjk-cjkunifiedideograph4e05	CJK UNIFIED IDEOGRAPH-4E05
4E06	cjk-cjkunifiedideograph4e06	CJK UNIFIED IDEOGRAPH-4E06
4E07	cjk-cjkunifiedideograph4e07	CJK UNIFIED IDEOGRAPH-4E07
4E08	cjk-cjkunifiedideograph4e08	CJK UNIFIED IDEOGRAPH-4E08
4E09	cjk-cjkunifiedideograph4e09	CJK UNIFIED IDEOGRAPH-4E09
4E0A	cjk-cjkunifiedideograph4e0a	CJK UNIFIED IDEOGRAPH-4E0A
4E0B	cjk-cjkunifiedideograph4e0b	CJK UNIFIED IDEOGRAPH-4E0B
4E0C	cjk-cjkunifiedideograph4e0c	CJK UNIFIED IDEOGRAPH-4E0C
4E0D	cjk-cjkunifiedideograph4e0d	CJK UNIFIED IDEOGRAPH-4E0D
4E0E	cjk-cjkunifiedideograph4e0e	CJK UNIFIED IDEOGRAPH-4E0E
4E0F	cjk-cjkunifiedideograph4e0f	CJK UNIFIED IDEOGRAPH-4E0F
4E10	cjk-cjkunifiedideograph4e10	CJK UNIFIED IDEOGRAPH-4E10
4E11	cjk-cjkunifiedideograph4e11	CJK UNIFIED IDEOGRAPH-4E11
4E12	cjk-cjkunifiedideograph4e12	CJK UNIFIED IDEOGRAPH-4E12
4E13	cjk-cjkunifiedideograph4e13	CJK UNIFIED IDEOGRAPH-4E13
4E14	cjk-cjkunifiedideograph4e14	CJK UNIFIED IDEOGRAPH-4E14
4E15	cjk-cjkunifiedideograph4e15	CJK UNIFIED IDEOGRAPH-4E15
4E16	cjk-cjkunifiedideograph4e16	CJK UNIFIED IDEOGRAPH-4E16
4E17	cjk-cjkunifiedideograph4e17	CJK UNIFIED IDEOGRAPH-4E17
4E18	cjk-cjkunifiedideograph4e18	CJK UNIFIED IDEOGRAPH-4E18
4E19	cjk-cjkunifiedideograph4e19	CJK UNIFIED IDEOGRAPH-4E19
4E1A	cjk-cjkunifiedideograph4e1a	CJK UNIFIED IDEOGRAPH-4E1A
4E1B	cjk-cjkunifiedideograph4e1b	CJK UNIFIED IDEOGRAPH-4E1B
4E1C	cjk-cjkunifiedideograph4e1c	CJK UNIFIED IDEOGRAPH-4E1C
4E1D	cjk-cjkunifiedideograph4e1d	CJK UNIFIED IDEOGRAPH-4E1D
4E1E	cjk-cjkunifiedideograph4e1e	CJK UNIFIED IDEOGRAPH-4E1E
4E1F	cjk-cjkunifiedideograph4e1f	CJK UNIFIED IDEOGRAPH-4E1F
4E20	cjk-cjkunifiedideograph4e20	CJK UNIFIED IDEOGRAPH-4E20
4E21	cjk-cjkunifiedideograph4e21	CJK UNIFIED IDEOGRAPH-4E21
4E22	cjk-cjkunifiedideograph4e22	CJK UNIFIED IDEOGRAPH-4E22
4E23	cjk-cjkunifiedideograph4e23	CJK UNIFIED IDEOGRAPH-4E23
4E24	cjk-cjkunifiedideograph4e24	CJK UNIFIED IDEOGRAPH-4E24
4E25	cjk-cjkunifiedideograph4e25	CJK UNIFIED IDEOGRAPH-4E25
4E26	cjk-cjkunifiedideograph4e26	CJK UNIFIED IDEOGRAPH-4E26
4E27	cjk-cjkunifiedideograph4e27	CJK UNIFIED IDEOGRAPH-4E27
4E28	cjk-cjkunifiedideograph4e28	CJK UNIFIED IDEOGRAPH-4E28
4E29	cjk-cjkunifiedideograph4e29	CJK UNIFIED IDEOGRAPH-4E29
4E2A	cjk-cjkunifiedideograph4e2a	CJK UNIFIED IDEOGRAPH-4E2A
4E2B	cjk-cjkunifiedideograph4e2b	CJK UNIFIED IDEOGRAPH-4E2B
4E2C	cjk-cjkunifiedideograph4e2c	CJK UNIFIED IDEOGRAPH-4E2C
4E2D	cjk-cjkunifiedideograph4e2d	CJK UNIFIED IDEOGRAPH-4E2D
4E2E	cjk-cjkunifiedideograph4e2e	CJK UNIFIED IDEOGRAPH-4E2E
4E2F	cjk-cjkunifiedideograph4e2f	CJK UNIFIED IDEOGRAPH-4E2F
4E30	cjk-cjkunifiedideograph4e30	CJK UNIFIED IDEOGRAPH-4E30
4E31	cjk-cjkunifiedideograph4e31	CJK UNIFIED IDEOGRAPH-4E31
4E32	cjk-cjkunifiedideograph4e32	CJK UNIFIED IDEOGRAPH-4E32
4E33	cjk-cjkunifiedideograph4e33	CJK UNIFIED IDEOGRAPH-4E33
4E34	cjk-cjkunifiedideograph4e34	CJK UNIFIED IDEOGRAPH-4E34
4E35	cjk-cjkunifiedideograph4e35	CJK UNIFIED IDEOGRAPH-4E35
4E36	cjk-cjkunifiedideograph4e36	CJK UNIFIED IDEOGRAPH-4E36
4E37	cjk-cjkunifiedideograph4e37	CJK UNIFIED IDEOGRAPH-4E37
4E38	cjk-cjkunifiedideograph4e38	CJK UNIFIED IDEOGRAPH-4E38
4E39	cjk-cjkunifiedideograph4e39	CJK UNIFIED IDEOGRAPH-4E39
4E3A	cjk-cjkunifiedideograph4e3a	CJK UNIFIED IDEOGRAPH-4E3A
4E3B	cjk-cjkunifiedideograph4e3b	CJK UNIFIED IDEOGRAPH-4E3B
4E3C	cjk-cjkunifiedideograph4e3c	CJK UNIFIED IDEOGRAPH-4E3C
4E3D	cjk-cjkunifiedideograph4e3d	CJK UNIFIED IDEOGRAPH-4E3D
4E3E	cjk-cjkunifiedideograph4e3e	CJK UNIFIED IDEOGRAPH-4E3E
4E3F	cjk-cjkunifiedideograph4e3f	CJK UNIFIED IDEOGRAPH-4E3F
4E40	cjk-cjkunifiedideograph4e40	CJK UNIFIED IDEOGRAPH-4E40
4E41	cjk-cjkunifiedideograph4e41	CJK UNIFIED IDEOGRAPH-4E41
4E42	cjk-cjkunifiedideograph4e42	CJK UNIFIED IDEOGRAPH-4E42
4E43	cjk-cjkunifiedideograph4e43	CJK UNIFIED IDEOGRAPH-4E43
4E44	cjk-cjkunifiedideograph4e44	CJK UNIFIED IDEOGRAPH-4E44
4E45	cjk-cjkunifiedideograph4e45	CJK UNIFIED IDEOGRAPH-4E45
4E46	cjk-cjkunifiedideograph4e46	CJK UNIFIED IDEOGRAPH-4E46
4E47	cjk-cjkunifiedideograph4e47	CJK UNIFIED IDEOGRAPH-4E47
4E48	cjk-cjkunifiedideograph4e48	CJK UNIFIED IDEOGRAPH-4E48
4E49	cjk-cjkunifiedideograph4e49	CJK UNIFIED IDEOGRAPH-4E49
4E4A	cjk-cjkunifiedideograph4e4a	CJK UNIFIED IDEOGRAPH-4E4A
4E4B	cjk-cjkunifiedideograph4e4b	CJK UNIFIED IDEOGRAPH-4E4B
4E4C	cjk-cjkunifiedideograph4e4c	CJK UNIFIED IDEOGRAPH-4E4C
4E4D	cjk-cjkunifiedideograph4e4d	CJK UNIFIED IDEOGRAPH-4E4D
4E4E	cjk-cjkunifiedideograph4e4e	CJK UNIFIED IDEOGRAPH-4E4E
4E4F	cjk-cjkunifiedideograph4e4f	CJK UNIFIED IDEOGRAPH-4E4F
4E50	cjk-cjkunifiedideograph4e50	CJK UNIFIED IDEOGRAPH-4E50
4E51	cjk-cjkunifiedideograph4e51	CJK UNIFIED IDEOGRAPH-4E51
4E52	cjk-cjkunifiedideograph4e52	CJK UNIFIED IDEOGRAPH-4E52
4E53	cjk-cjkunifiedideograph4e53	CJK UNIFIED IDEOGRAPH-4E53
4E54	cjk-cjkunifiedideograph4e54	CJK UNIFIED IDEOGRAPH-4E54
4E55	cjk-cjkunifiedideograph4e55	CJK UNIFIED IDEOGRAPH-4E55
4E56	cjk-cjkunifiedideograph4e56	CJK UNIFIED IDEOGRAPH-4E56
4E57	cjk-cjkunifiedideograph4e57	CJK UNIFIED IDEOGRAPH-4E57
4E58	cjk-cjkunifiedideograph4e58	CJK UNIFIED IDEOGRAPH-4E58
4E59	cjk-cjkunifiedideograph4e59	CJK UNIFIED IDEOGRAPH-4E59
4E5A	cjk-cjkunifiedideograph4e5a	CJK UNIFIED IDEOGRAPH-4E5A
4E5B	cjk-cjkunifiedideograph4e5b	CJK UNIFIED IDEOGRAPH-4E5B
4E5C	cjk-cjkunifiedideograph4e5c	CJK UNIFIED IDEOGRAPH-4E5C
4E5D	cjk-cjkunifiedideograph4e5d	CJK UNIFIED IDEOGRAPH-4E5D
