# CJK Unified Ideographs Extension A 3400 - 4DBF
3400	cjk-cjkunifiedideograph3400	CJK UNIFIED IDEOGRAPH-3400
3401	cjk-cjkunifiedideograph3401	CJK UNIFIED IDEOGRAPH-3401
3402	cjk-cjkunifiedideograph3402	CJK UNIFIED IDEOGRAPH-3402
3403	cjk-cjkunifiedideograph3403	CJK UNIFIED IDEOGRAPH-3403
3404	cjk-cjkunifiedideograph3404	CJK UNIFIED IDEOGRAPH-3404
3405	cjk-cjkunifiedideograph3405	CJK UNIFIED IDEOGRAPH-3405
3406	cjk-cjkunifiedideograph3406	CJK UNIFIED IDEOGRAPH-3406
3407	cjk-cjkunifiedideograph3407	CJK UNIFIED IDEOGRAPH-3407
3408	cjk-cjkunifiedideograph3408	CJK UNIFIED IDEOGRAPH-3408
3409	cjk-cjkunifiedideograph3409	CJK UNIFIED IDEOGRAPH-3409
340A	cjk-cjkunifiedideograph340a	CJK UNIFIED IDEOGRAPH-340A
340B	cjk-cjkunifiedideograph340b	CJK UNIFIED IDEOGRAPH-340B
340C	cjk-cjkunifiedideograph340c	CJK UNIFIED IDEOGRAPH-340C
340D	cjk-cjkunifiedideograph340d	CJK UNIFIED IDEOGRAPH-340D
340E	cjk-cjkunifiedideograph340e	CJK UNIFIED IDEOGRAPH-340E
340F	cjk-cjkunifiedideograph340f	CJK UNIFIED IDEOGRAPH-340F
3410	cjk-cjkunifiedideograph3410	CJK UNIFIED IDEOGRAPH-3410
3411	cjk-cjkunifiedideograph3411	CJK UNIFIED IDEOGRAPH-3411
3412	cjk-cjkunifiedideograph3412	CJK UNIFIED IDEOGRAPH-3412
3413	cjk-cjkunifiedideograph3413	CJK UNIFIED IDEOGRAPH-3413
3414	cjk-cjkunifiedideograph3414	CJK UNIFIED IDEOGRAPH-3414
3415	cjk-cjkunifiedideograph3415	CJK UNIFIED IDEOGRAPH-3415
3416	cjk-cjkunifiedideograph3416	CJK UNIFIED IDEOGRAPH-3416
3417	cjk-cjkunifiedideograph3417	CJK UNIFIED IDEOGRAPH-3417
3418	cjk-cjkunifiedideograph3418	CJK UNIFIED IDEOGRAPH-3418
3419	cjk-cjkunifiedideograph3419	CJK UNIFIED IDEOGRAPH-3419
341A	cjk-cjkunifiedideograph341a	CJK UNIFIED IDEOGRAPH-341A
341B	cjk-cjkunifiedideograph341b	CJK UNIFIED IDEOGRAPH-341B
341C	cjk-cjkunifiedideograph341c	CJK UNIFIED IDEOGRAPH-341C
341D	cjk-cjkunifiedideograph341d	CJK UNIFIED IDEOGRAPH-341D
341E	cjk-cjkunifiedideograph341e	CJK UNIFIED IDEOGRAPH-341E
341F	cjk-cjkunifiedideograph341f	CJK UNIFIED IDEOGRAPH-341F
3420	cjk-cjkunifiedideograph3420	CJK UNIFIED IDEOGRAPH-3420
3421	cjk-cjkunifiedideograph3421	CJK UNIFIED IDEOGRAPH-3421
3422	cjk-cjkunifiedideograph3422	CJK UNIFIED IDEOGRAPH-3422
3423	cjk-cjkunifiedideograph3423	CJK UNIFIED IDEOGRAPH-3423
3424	cjk-cjkunifiedideograph3424	CJK UNIFIED IDEOGRAPH-3424
3425	cjk-cjkunifiedideograph3425	CJK UNIFIED IDEOGRAPH-3425
3426	cjk-cjkunifiedideograph3426	CJK UNIFIED IDEOGRAPH-3426
3427	cjk-cjkunifiedideograph3427	CJK UNIFIED IDEOGRAPH-3427
3428	cjk-cjkunifiedideograph3428	CJK UNIFIED IDEOGRAPH-3428
3429	cjk-cjkunifiedideograph3429	CJK UNIFIED IDEOGRAPH-3429
342A	cjk-cjkunifiedideograph342a	CJK UNIFIED IDEOGRAPH-342A
342B	cjk-cjkunifiedideograph342b	CJK UNIFIED IDEOGRAPH-342B
342C	cjk-cjkunifiedideograph342c	CJK UNIFIED IDEOGRAPH-342C
342D	cjk-cjkunifiedideograph342d	CJK UNIFIED IDEOGRAPH-342D
342E	cjk-cjkunifiedideograph342e	CJK UNIFIED IDEOGRAPH-342E
342F	cjk-cjkunifiedideograph342f	CJK UNIFIED IDEOGRAPH-342F
3430	cjk-cjkunifiedideograph3430	CJK UNIFIED IDEOGRAPH-3430
3431	cjk-cjkunifiedideograph3431	CJK UNIFIED IDEOGRAPH-3431
3432	cjk-cjkunifiedideograph3432	CJK UNIFIED IDEOGRAPH-3432
3433	cjk-cjkunifiedideograph3433	CJK UNIFIED IDEOGRAPH-3433
3434	cjk-cjkunifiedideograph3434	CJK UNIFIED IDEOGRAPH-3434
3435	cjk-cjkunifiedideograph3435	CJK UNIFIED IDEOGRAPH-3435
3436	cjk-cjkunifiedideograph3436	CJK UNIFIED IDEOGRAPH-3436
3437	cjk-cjkunifiedideograph3437	CJK UNIFIED IDEOGRAPH-3437
3438	cjk-cjkunifiedideograph3438	CJK UNIFIED IDEOGRAPH-3438
3439	cjk-cjkunifiedideograph3439	CJK UNIFIED IDEOGRAPH-3439
343A	cjk-cjkunifiedideograph343a	CJK UNIFIED IDEOGRAPH-343A
343B	cjk-cjkunifiedideograph343b	CJK UNIFIED IDEOGRAPH-343B
343C	cjk-cjkunifiedideograph343c	CJK UNIFIED IDEOGRAPH-343C
343D	cjk-cjkunifiedideograph343d	CJK UNIFIED IDEOGRAPH-343D
343E	cjk-cjkunifiedideograph343e	CJK UNIFIED IDEOGRAPH-343E
343F	cjk-cjkunifiedideograph343f	CJK UNIFIED IDEOGRAPH-343F
3440	cjk-cjkunifiedideograph3440	CJK UNIFIED IDEOGRAPH-3440
3441	cjk-cjkunifiedideograph3441	CJK UNIFIED IDEOGRAPH-3441
3442	cjk-cjkunifiedideograph3442	CJK UNIFIED IDEOGRAPH-3442
3443	cjk-cjkunifiedideograph3443	CJK UNIFIED IDEOGRAPH-3443
3444	cjk-cjkunifiedideograph3444	CJK UNIFIED IDEOGRAPH-3444
3445	cjk-cjkunifiedideograph3445	CJK UNIFIED IDEOGRAPH-3445
3446	cjk-cjkunifiedideograph3446	CJK UNIFIED IDEOGRAPH-3446
3447	cjk-cjkunifiedideograph3447	CJK UNIFIED IDEOGRAPH-3447
3448	cjk-cjkunifiedideograph3448	CJK UNIFIED IDEOGRAPH-3448
3449	cjk-cjkunifiedideograph3449	CJK UNIFIED IDEOGRAPH-3449
344A	cjk-cjkunifiedideograph344a	CJK UNIFIED IDEOGRAPH-344A
344B	cjk-cjkunifiedideograph344b	CJK UNIFIED IDEOGRAPH-344B
