# CJK Unified Ideographs Extension B 20000 - 2A6DF
20000	cjk-cjkunifiedideograph20000	CJK UNIFIED IDEOGRAPH-20000
20001	cjk-cjkunifiedideograph20001	CJK UNIFIED IDEOGRAPH-20001
20002	cjk-cjkunifiedideograph20002	CJK UNIFIED IDEOGRAPH-20002
20003	cjk-cjkunifiedideograph20003	CJK UNIFIED IDEOGRAPH-20003
20004	cjk-cjkunifiedideograph20004	CJK UNIFIED IDEOGRAPH-20004
20005	cjk-cjkunifiedideograph20005	CJK UNIFIED IDEOGRAPH-20005
20006	cjk-cjkunifiedideograph20006	CJK UNIFIED IDEOGRAPH-20006
20007	cjk-cjkunifiedideograph20007	CJK UNIFIED IDEOGRAPH-20007
20008	cjk-cjkunifiedideograph20008	CJK UNIFIED IDEOGRAPH-20008
20009	cjk-cjkunifiedideograph20009	CJK UNIFIED IDEOGRAPH-20009
2000A	cjk-cjkunifiedideograph2000a	CJK UNIFIED IDEOGRAPH-2000A
2000B	cjk-cjkunifiedideograph2000b	CJK UNIFIED IDEOGRAPH-2000B
2000C	cjk-cjkunifiedideograph2000c	CJK UNIFIED IDEOGRAPH-2000C
2000D	cjk-cjkunifiedideograph2000d	CJK UNIFIED IDEOGRAPH-2000D
2000E	cjk-cjkunifiedideograph2000e	CJK UNIFIED IDEOGRAPH-2000E
2000F	cjk-cjkunifiedideograph2000f	CJK UNIFIED IDEOGRAPH-2000F
20010	cjk-cjkunifiedideograph20010	CJK UNIFIED IDEOGRAPH-20010
20011	cjk-cjkunifiedideograph20011	CJK UNIFIED IDEOGRAPH-20011
20012	cjk-cjkunifiedideograph20012	CJK UNIFIED IDEOGRAPH-20012
20013	cjk-cjkunifiedideograph20013	CJK UNIFIED IDEOGRAPH-20013
20014	cjk-cjkunifiedideograph20014	CJK UNIFIED IDEOGRAPH-20014
20015	cjk-cjkunifiedideograph20015	CJK UNIFIED IDEOGRAPH-20015
20016	cjk-cjkunifiedideograph20016	CJK UNIFIED IDEOGRAPH-20016
20017	cjk-cjkunifiedideograph20017	CJK UNIFIED IDEOGRAPH-20017
20018	cjk-cjkunifiedideograph20018	CJK UNIFIED IDEOGRAPH-20018
20019	cjk-cjkunifiedideograph20019	CJK UNIFIED IDEOGRAPH-20019
2001A	cjk-cjkunifiedideograph2001a	CJK UNIFIED IDEOGRAPH-2001A
2001B	cjk-cjkunifiedideograph2001b	CJK UNIFIED IDEOGRAPH-2001B
2001C	cjk-cjkunifiedideograph2001c	CJK UNIFIED IDEOGRAPH-2001C
2001D	cjk-cjkunifiedideograph2001d	CJK UNIFIED IDEOGRAPH-2001D
2001E	cjk-cjkunifiedideograph2001e	CJK UNIFIED IDEOGRAPH-2001E
2001F	cjk-cjkunifiedideograph2001f	CJK UNIFIED IDEOGRAPH-2001F
20020	cjk-cjkunifiedideograph20020	CJK UNIFIED IDEOGRAPH-20020
20021	cjk-cjkunifiedideograph20021	CJK UNIFIED IDEOGRAPH-20021
20022	cjk-cjkunifiedideograph20022	CJK UNIFIED IDEOGRAPH-20022
20023	cjk-cjkunifiedideograph20023	CJK UNIFIED IDEOGRAPH-20023
20024	cjk-cjkunifiedideograph20024	CJK UNIFIED IDEOGRAPH-20024
20025	cjk-cjkunifiedideograph20025	CJK UNIFIED IDEOGRAPH-20025
20026	cjk-cjkunifiedideograph20026	CJK UNIFIED IDEOGRAPH-20026
20027	cjk-cjkunifiedideograph20027	CJK UNIFIED IDEOGRAPH-20027
20028	cjk-cjkunifiedideograph20028	CJK UNIFIED IDEOGRAPH-20028
20029	cjk-cjkunifiedideograph20029	CJK UNIFIED IDEOGRAPH-20029
2002A	cjk-cjkunifiedideograph2002a	CJK UNIFIED IDEOGRAPH-2002A
2002B	cjk-cjkunifiedideograph2002b	CJK UNIFIED IDEOGRAPH-2002B
2002C	cjk-cjkunifiedideograph2002c	CJK UNIFIED IDEOGRAPH-2002C
2002D	cjk-cjkunifiedideograph2002d	CJK UNIFIED IDEOGRAPH-2002D
2002E	cjk-cjkunifiedideograph2002e	CJK UNIFIED IDEOGRAPH-2002E
2002F	cjk-cjkunifiedideograph2002f	CJK UNIFIED IDEOGRAPH-2002F
20030	cjk-cjkunifiedideograph20030	CJK UNIFIED IDEOGRAPH-20030
