# CJK Unified Ideographs Extension C 2A700 - 2B73F
2A700	cjk-cjkunifiedideograph2a700	CJK UNIFIED IDEOGRAPH-2A700
2A701	cjk-cjkunifiedideograph2a701	CJK UNIFIED IDEOGRAPH-2A701
2A702	cjk-cjkunifiedideograph2a702	CJK UNIFIED IDEOGRAPH-2A702
2A703	cjk-cjkunifiedideograph2a703	CJK UNIFIED IDEOGRAPH-2A703
2A704	cjk-cjkunifiedideograph2a704	CJK UNIFIED IDEOGRAPH-2A704
2A705	cjk-cjkunifiedideograph2a705	CJK UNIFIED IDEOGRAPH-2A705
2A706	cjk-cjkunifiedideograph2a706	CJK UNIFIED IDEOGRAPH-2A706
2A707	cjk-cjkunifiedideograph2a707	CJK UNIFIED IDEOGRAPH-2A707
2A708	cjk-cjkunifiedideograph2a708	CJK UNIFIED IDEOGRAPH-2A708
2A709	cjk-cjkunifiedideograph2a709	CJK UNIFIED IDEOGRAPH-2A709
2A70A	cjk-cjkunifiedideograph2a70a	CJK UNIFIED IDEOGRAPH-2A70A
2A70B	cjk-cjkunifiedideograph2a70b	CJK UNIFIED IDEOGRAPH-2A70B
2A70C	cjk-cjkunifiedideograph2a70c	CJK UNIFIED IDEOGRAPH-2A70C
2A70D	cjk-cjkunifiedideograph2a70d	CJK UNIFIED IDEOGRAPH-2A70D
2A70E	cjk-cjkunifiedideograph2a70e	CJK UNIFIED IDEOGRAPH-2A70E
2A70F	cjk-cjkunifiedideograph2a70f	CJK UNIFIED IDEOGRAPH-2A70F
2A710	cjk-cjkunifiedideograph2a710	CJK UNIFIED IDEOGRAPH-2A710
2A711	cjk-cjkunifiedideograph2a711	CJK UNIFIED IDEOGRAPH-2A711
2A712	cjk-cjkunifiedideograph2a712	CJK UNIFIED IDEOGRAPH-2A712
2A713	cjk-cjkunifiedideograph2a713	CJK UNIFIED IDEOGRAPH-2A713
2A714	cjk-cjkunifiedideograph2a714	CJK UNIFIED IDEOGRAPH-2A714
2A715	cjk-cjkunifiedideograph2a715	CJK UNIFIED IDEOGRAPH-2A715
2A716	cjk-cjkunifiedideograph2a716	CJK UNIFIED IDEOGRAPH-2A716
2A717	cjk-cjkunifiedideograph2a717	CJK UNIFIED IDEOGRAPH-2A717
2A718	cjk-cjkunifiedideograph2a718	CJK UNIFIED IDEOGRAPH-2A718
2A719	cjk-cjkunifiedideograph2a719	CJK UNIFIED IDEOGRAPH-2A719
2A71A	cjk-cjkunifiedideograph2a71a	CJK UNIFIED IDEOGRAPH-2A71A
2A71B	cjk-cjkunifiedideograph2a71b	CJK UNIFIED IDEOGRAPH-2A71B
