# Combining Diacritical Marks 0300 - 036F
0300	needsfix_gravecomb	COMBINING GRAVE ACCENT
0301	needsfix_acutecomb	COMBINING ACUTE ACCENT
0302	needsfix_combiningcircumflexaccent	COMBINING CIRCUMFLEX ACCENT
0303	needsfix_tildecomb	COMBINING TILDE
0304	needsfix_combiningmacron	COMBINING MACRON
0305	needsfix_combiningoverline	COMBINING OVERLINE
0306	needsfix_combiningbreve	COMBINING BREVE
0307	needsfix_combiningdotabove	COMBINING DOT ABOVE
0308	needsfix_combiningdiaeresis	COMBINING DIAERESIS
0309	needsfix_hookabovecomb	COMBINING HOOK ABOVE
030A	needsfix_combiningringabove	COMBINING RING ABOVE
030B	needsfix_combiningdoubleacuteaccent	COMBINING DOUBLE ACUTE ACCENT
030C	needsfix_combiningcaron	COMBINING CARON
030D	needsfix_combiningverticallineabove	COMBINING VERTICAL LINE ABOVE
030E	needsfix_combiningdoubleverticallineabove	COMBINING DOUBLE VERTICAL LINE ABOVE
030F	needsfix_combiningdoublegraveaccent	COMBINING DOUBLE GRAVE ACCENT
0310	needsfix_combiningcandrabindu	COMBINING CANDRABINDU
0311	needsfix_combininginvertedbreve	COMBINING INVERTED BREVE
0312	needsfix_combiningturnedcommaabove	COMBINING TURNED COMMA ABOVE
0313	needsfix_combiningcommaabove	COMBINING COMMA ABOVE
0314	needsfix_combiningreversedcommaabove	COMBINING REVERSED COMMA ABOVE
0315	needsfix_combiningcommaaboveright	COMBINING COMMA ABOVE RIGHT
0316	needsfix_combininggraveaccentbelow	COMBINING GRAVE ACCENT BELOW
0317	needsfix_combiningacuteaccentbelow	COMBINING ACUTE ACCENT BELOW
0318	needsfix_combininglefttackbelow	COMBINING LEFT TACK BELOW
0319	needsfix_combiningrighttackbelow	COMBINING RIGHT TACK BELOW
031A	needsfix_combiningleftangleabove	COMBINING LEFT ANGLE ABOVE
031B	needsfix_combininghorn	COMBINING HORN
031C	needsfix_combininglefthalfringbelow	COMBINING LEFT HALF RING BELOW
031D	needsfix_combininguptackbelow	COMBINING UP TACK BELOW
031E	needsfix_combiningdowntackbelow	COMBINING DOWN TACK BELOW
031F	needsfix_combiningplussignbelow	COMBINING PLUS SIGN BELOW
0320	needsfix_combiningminussignbelow	COMBINING MINUS SIGN BELOW
0321	needsfix_combiningpalatalizedhookbelow	COMBINING PALATALIZED HOOK BELOW
0322	needsfix_combiningretroflexhookbelow	COMBINING RETROFLEX HOOK BELOW
0323	needsfix_dotbelowcomb	COMBINING DOT BELOW
0324	needsfix_combiningdiaeresisbelow	COMBINING DIAERESIS BELOW
0325	needsfix_combiningringbelow	COMBINING RING BELOW
0326	needsfix_combiningcommabelow	COMBINING COMMA BELOW
0327	needsfix_combiningcedilla	COMBINING CEDILLA
0328	needsfix_combiningogonek	COMBINING OGONEK
0329	needsfix_combiningverticallinebelow	COMBINING VERTICAL LINE BELOW
032A	needsfix_combiningbridgebelow	COMBINING BRIDGE BELOW
032B	needsfix_combininginverteddoublearchbelow	COMBINING INVERTED DOUBLE ARCH BELOW
032C	needsfix_combiningcaronbelow	COMBINING CARON BELOW
032D	needsfix_combiningcircumflexaccentbelow	COMBINING CIRCUMFLEX ACCENT BELOW
032E	needsfix_combiningbrevebelow	COMBINING BREVE BELOW
032F	needsfix_combininginvertedbrevebelow	COMBINING INVERTED BREVE BELOW
0330	needsfix_combiningtildebelow	COMBINING TILDE BELOW
