# Combining Diacritical Marks for Symbols 20D0 - 20FF
20D0	cmbn-combiningleftharpoonabove	COMBINING LEFT HARPOON ABOVE
20D1	cmbn-combiningrightharpoonabove	COMBINING RIGHT HARPOON ABOVE
20D2	cmbn-combininglongverticallineoverlay	COMBINING LONG VERTICAL LINE OVERLAY
20D3	cmbn-combiningshortverticallineoverlay	COMBINING SHORT VERTICAL LINE OVERLAY
20D4	cmbn-combininganticlockwisearrowabove	COMBINING ANTICLOCKWISE ARROW ABOVE
20D5	cmbn-combiningclockwisearrowabove	COMBINING CLOCKWISE ARROW ABOVE
20D6	cmbn-combiningleftarrowabove	COMBINING LEFT ARROW ABOVE
20D7	cmbn-combiningrightarrowabove	COMBINING RIGHT ARROW ABOVE
20D8	cmbn-combiningringoverlay	COMBINING RING OVERLAY
20D9	cmbn-combiningclockwiseringoverlay	COMBINING CLOCKWISE RING OVERLAY
20DA	cmbn-combininganticlockwiseringoverlay	COMBINING ANTICLOCKWISE RING OVERLAY
20DB	cmbn-combiningthreedotsabove	COMBINING THREE DOTS ABOVE
20DC	cmbn-combiningfourdotsabove	COMBINING FOUR DOTS ABOVE
20DD	cmbn-combiningenclosingcircle	COMBINING ENCLOSING CIRCLE
20DE	cmbn-combiningenclosingsquare	COMBINING ENCLOSING SQUARE
20DF	cmbn-combiningenclosingdiamond	COMBINING ENCLOSING DIAMOND
20E0	cmbn-combiningenclosingcirclebackslash	COMBINING ENCLOSING CIRCLE BACKSLASH
20E1	cmbn-combiningleftrightarrowabove	COMBINING LEFT RIGHT ARROW ABOVE
20E2	cmbn-combiningenclosingscreen	COMBINING ENCLOSING SCREEN
20E3	cmbn-combiningenclosingkeycap	COMBINING ENCLOSING KEYCAP
20E4	cmbn-combiningenclosingupwardpointingtriangle	COMBINING ENCLOSING UPWARD POINTING TRIANGLE
20E5	cmbn-combiningreversesolidusoverlay	COMBINING REVERSE SOLIDUS OVERLAY
20E6	cmbn-combiningdoubleverticalstrokeoverlay	COMBINING DOUBLE VERTICAL STROKE OVERLAY
20E7	cmbn-combiningannuitysymbol	COMBINING ANNUITY SYMBOL
20E8	cmbn-combiningtripleunderdot	COMBINING TRIPLE UNDERDOT
20E9	cmbn-combiningwidebridgeabove	COMBINING WIDE BRIDGE ABOVE
20EA	cmbn-combiningleftwardsarrowoverlay	COMBINING LEFTWARDS ARROW OVERLAY
20EB	cmbn-combininglongdoublesolidusoverlay	COMBINING LONG DOUBLE SOLIDUS OVERLAY
20EC	cmbn-combiningrightwardsharpoonwithbarbdownwards	COMBINING RIGHTWARDS HARPOON WITH BARB DOWNWARDS
20ED	cmbn-combiningleftwardsharpoonwithbarbdownwards	COMBINING LEFTWARDS HARPOON WITH BARB DOWNWARDS
20EE	cmbn-combiningleftarrowbelow	COMBINING LEFT ARROW BELOW
20EF	cmbn-combiningrightarrowbelow	COMBINING RIGHT ARROW BELOW
20F0	cmbn-combiningasteriskabove	COMBINING ASTERISK ABOVE
