# Control Pictures 2400 - 243F
2400	cntr-symbolfornull	SYMBOL FOR NULL
2401	cntr-symbolforstartofheading	SYMBOL FOR START OF HEADING
2402	cntr-symbolforstartoftext	SYMBOL FOR START OF TEXT
2403	cntr-symbolforendoftext	SYMBOL FOR END OF TEXT
2404	cntr-symbolforendoftransmission	SYMBOL FOR END OF TRANSMISSION
2405	cntr-symbolforenquiry	SYMBOL FOR ENQUIRY
2406	cntr-symbolforacknowledge	SYMBOL FOR ACKNOWLEDGE
2407	cntr-symbolforbell	SYMBOL FOR BELL
2408	cntr-symbolforbackspace	SYMBOL FOR BACKSPACE
2409	cntr-symbolforhorizontaltabulation	SYMBOL FOR HORIZONTAL TABULATION
240A	cntr-symbolforlinefeed	SYMBOL FOR LINE FEED
240B	cntr-symbolforverticaltabulation	SYMBOL FOR VERTICAL TABULATION
240C	cntr-symbolforformfeed	SYMBOL FOR FORM FEED
240D	cntr-symbolforcarriagereturn	SYMBOL FOR CARRIAGE RETURN
240E	cntr-symbolforshiftout	SYMBOL FOR SHIFT OUT
240F	cntr-symbolforshiftin	SYMBOL FOR SHIFT IN
2410	cntr-symbolfordatalinkescape	SYMBOL FOR DATA LINK ESCAPE
2411	cntr-symbolfordevicecontrolone	SYMBOL FOR DEVICE CONTROL ONE
2412	cntr-symbolfordevicecontroltwo	SYMBOL FOR DEVICE CONTROL TWO
2413	cntr-symbolfordevicecontrolthree	SYMBOL FOR DEVICE CONTROL THREE
2414	cntr-symbolfordevicecontrolfour	SYMBOL FOR DEVICE CONTROL FOUR
2415	cntr-symbolfornegativeacknowledge	SYMBOL FOR NEGATIVE ACKNOWLEDGE
2416	cntr-symbolforsynchronousidle	SYMBOL FOR SYNCHRONOUS IDLE
2417	cntr-symbolforendoftransmissionblock	SYMBOL FOR END OF TRANSMISSION BLOCK
2418	cntr-symbolforcancel	SYMBOL FOR CANCEL
2419	cntr-symbolforendofmedium	SYMBOL FOR END OF MEDIUM
241A	cntr-symbolforsubstitute	SYMBOL FOR SUBSTITUTE
241B	cntr-symbolforescape	SYMBOL FOR ESCAPE
241C	cntr-symbolforfileseparator	SYMBOL FOR FILE SEPARATOR
241D	cntr-symbolforgroupseparator	SYMBOL FOR GROUP SEPARATOR
241E	cntr-symbolforrecordseparator	SYMBOL FOR RECORD SEPARATOR
241F	cntr-symbolforunitseparator	SYMBOL FOR UNIT SEPARATOR
2420	cntr-symbolforspace	SYMBOL FOR SPACE
2421	cntr-symbolfordelete	SYMBOL FOR DELETE
2422	cntr-blanksymbol	BLANK SYMBOL
2423	cntr-openbox	OPEN BOX
2424	cntr-symbolfornewline	SYMBOL FOR NEWLINE
2425	cntr-symbolfordeleteformtwo	SYMBOL FOR DELETE FORM TWO
2426	cntr-symbolforsubstituteformtwo	SYMBOL FOR SUBSTITUTE FORM TWO
