# Coptic 2C80 - 2CFF
2C80	cptc-copticcapitalletteralfa	COPTIC CAPITAL LETTER ALFA
2C81	cptc-copticsmallletteralfa	COPTIC SMALL LETTER ALFA
2C82	cptc-copticcapitallettervida	COPTIC CAPITAL LETTER VIDA
2C83	cptc-copticsmalllettervida	COPTIC SMALL LETTER VIDA
2C84	cptc-copticcapitallettergamma	COPTIC CAPITAL LETTER GAMMA
2C85	cptc-copticsmalllettergamma	COPTIC SMALL LETTER GAMMA
2C86	cptc-copticcapitalletterdalda	COPTIC CAPITAL LETTER DALDA
2C87	cptc-copticsmallletterdalda	COPTIC SMALL LETTER DALDA
2C88	cptc-copticcapitallettereie	COPTIC CAPITAL LETTER EIE
2C89	cptc-copticsmalllettereie	COPTIC SMALL LETTER EIE
2C8A	cptc-copticcapitallettersou	COPTIC CAPITAL LETTER SOU
2C8B	cptc-copticsmalllettersou	COPTIC SMALL LETTER SOU
2C8C	cptc-copticcapitalletterzata	COPTIC CAPITAL LETTER ZATA
2C8D	cptc-copticsmallletterzata	COPTIC SMALL LETTER ZATA
2C8E	cptc-copticcapitalletterhate	COPTIC CAPITAL LETTER HATE
2C8F	cptc-copticsmallletterhate	COPTIC SMALL LETTER HATE
2C90	cptc-copticcapitalletterthethe	COPTIC CAPITAL LETTER THETHE
2C91	cptc-copticsmallletterthethe	COPTIC SMALL LETTER THETHE
2C92	cptc-copticcapitalletteriauda	COPTIC CAPITAL LETTER IAUDA
2C93	cptc-copticsmallletteriauda	COPTIC SMALL LETTER IAUDA
2C94	cptc-copticcapitalletterkapa	COPTIC CAPITAL LETTER KAPA
2C95	cptc-copticsmallletterkapa	COPTIC SMALL LETTER KAPA
2C96	cptc-copticcapitalletterlaula	COPTIC CAPITAL LETTER LAULA
2C97	cptc-copticsmallletterlaula	COPTIC SMALL LETTER LAULA
2C98	cptc-copticcapitallettermi	COPTIC CAPITAL LETTER MI
2C99	cptc-copticsmalllettermi	COPTIC SMALL LETTER MI
2C9A	cptc-copticcapitalletterni	COPTIC CAPITAL LETTER NI
2C9B	cptc-copticsmallletterni	COPTIC SMALL LETTER NI
2C9C	cptc-copticcapitalletterksi	COPTIC CAPITAL LETTER KSI
2C9D	cptc-copticsmallletterksi	COPTIC SMALL LETTER KSI
2C9E	cptc-copticcapitallettero	COPTIC CAPITAL LETTER O
2C9F	cptc-copticsmalllettero	COPTIC SMALL LETTER O
2CA0	cptc-copticcapitalletterpi	COPTIC CAPITAL LETTER PI
2CA1	cptc-copticsmallletterpi	COPTIC SMALL LETTER PI
2CA2	cptc-copticcapitalletterro	COPTIC CAPITAL LETTER RO
2CA3	cptc-copticsmallletterro	COPTIC SMALL LETTER RO
2CA4	cptc-copticcapitallettersima	COPTIC CAPITAL LETTER SIMA
2CA5	cptc-copticsmalllettersima	COPTIC SMALL LETTER SIMA
2CA6	cptc-copticcapitallettertau	COPTIC CAPITAL LETTER TAU
2CA7	cptc-copticsmalllettertau	COPTIC SMALL LETTER TAU
2CA8	cptc-copticcapitalletterua	COPTIC CAPITAL LETTER UA
2CA9	cptc-copticsmallletterua	COPTIC SMALL LETTER UA
2CAA	cptc-copticcapitalletterfi	COPTIC CAPITAL LETTER FI
2CAB	cptc-copticsmallletterfi	COPTIC SMALL LETTER FI
2CAC	cptc-copticcapitalletterkhi	COPTIC CAPITAL LETTER KHI
2CAD	cptc-copticsmallletterkhi	COPTIC SMALL LETTER KHI
2CAE	cptc-copticcapitalletterpsi	COPTIC CAPITAL LETTER PSI
2CAF	cptc-copticsmallletterpsi	COPTIC SMALL LETTER PSI
2CB0	cptc-copticcapitalletteroou	COPTIC CAPITAL LETTER OOU
2CB1	cptc-copticsmallletteroou	COPTIC SMALL LETTER OOU
2CB2	cptc-copticcapitalletterdialectpalef	COPTIC CAPITAL LETTER DIALECT-P ALEF
2CB3	cptc-copticsmallletterdialectpalef	COPTIC SMALL LETTER DIALECT-P ALEF
2CB4	cptc-copticcapitalletteroldcopticain	COPTIC CAPITAL LETTER OLD COPTIC AIN
2CB5	cptc-copticsmallletteroldcopticain	COPTIC SMALL LETTER OLD COPTIC AIN
2CB6	cptc-copticcapitallettercryptogrammiceie	COPTIC CAPITAL LETTER CRYPTOGRAMMIC EIE
2CB7	cptc-copticsmalllettercryptogrammiceie	COPTIC SMALL LETTER CRYPTOGRAMMIC EIE
2CB8	cptc-copticcapitalletterdialectpkapa	COPTIC CAPITAL LETTER DIALECT-P KAPA
2CB9	cptc-copticsmallletterdialectpkapa	COPTIC SMALL LETTER DIALECT-P KAPA
2CBA	cptc-copticcapitalletterdialectpni	COPTIC CAPITAL LETTER DIALECT-P NI
2CBB	cptc-copticsmallletterdialectpni	COPTIC SMALL LETTER DIALECT-P NI
2CBC	cptc-copticcapitallettercryptogrammicni	COPTIC CAPITAL LETTER CRYPTOGRAMMIC NI
2CBD	cptc-copticsmalllettercryptogrammicni	COPTIC SMALL LETTER CRYPTOGRAMMIC NI
2CBE	cptc-copticcapitalletteroldcopticoou	COPTIC CAPITAL LETTER OLD COPTIC OOU
2CBF	cptc-copticsmallletteroldcopticoou	COPTIC SMALL LETTER OLD COPTIC OOU
2CC0	cptc-copticcapitallettersampi	COPTIC CAPITAL LETTER SAMPI
2CC1	cptc-copticsmalllettersampi	COPTIC SMALL LETTER SAMPI
2CC2	cptc-copticcapitallettercrossedshei	COPTIC CAPITAL LETTER CROSSED SHEI
2CC3	cptc-copticsmalllettercrossedshei	COPTIC SMALL LETTER CROSSED SHEI
2CC4	cptc-copticcapitalletteroldcopticshei	COPTIC CAPITAL LETTER OLD COPTIC SHEI
2CC5	cptc-copticsmallletteroldcopticshei	COPTIC SMALL LETTER OLD COPTIC SHEI
2CC6	cptc-copticcapitalletteroldcopticesh	COPTIC CAPITAL LETTER OLD COPTIC ESH
2CC7	cptc-copticsmallletteroldcopticesh	COPTIC SMALL LETTER OLD COPTIC ESH
2CC8	cptc-copticcapitalletterakhmimickhei	COPTIC CAPITAL LETTER AKHMIMIC KHEI
2CC9	cptc-copticsmallletterakhmimickhei	COPTIC SMALL LETTER AKHMIMIC KHEI
2CCA	cptc-copticcapitalletterdialectphori	COPTIC CAPITAL LETTER DIALECT-P HORI
2CCB	cptc-copticsmallletterdialectphori	COPTIC SMALL LETTER DIALECT-P HORI
2CCC	cptc-copticcapitalletteroldcoptichori	COPTIC CAPITAL LETTER OLD COPTIC HORI
2CCD	cptc-copticsmallletteroldcoptichori	COPTIC SMALL LETTER OLD COPTIC HORI
2CCE	cptc-copticcapitalletteroldcopticha	COPTIC CAPITAL LETTER OLD COPTIC HA
2CCF	cptc-copticsmallletteroldcopticha	COPTIC SMALL LETTER OLD COPTIC HA
2CD0	cptc-copticcapitalletterlshapedha	COPTIC CAPITAL LETTER L-SHAPED HA
2CD1	cptc-copticsmallletterlshapedha	COPTIC SMALL LETTER L-SHAPED HA
2CD2	cptc-copticcapitalletteroldcoptichei	COPTIC CAPITAL LETTER OLD COPTIC HEI
2CD3	cptc-copticsmallletteroldcoptichei	COPTIC SMALL LETTER OLD COPTIC HEI
2CD4	cptc-copticcapitalletteroldcoptichat	COPTIC CAPITAL LETTER OLD COPTIC HAT
2CD5	cptc-copticsmallletteroldcoptichat	COPTIC SMALL LETTER OLD COPTIC HAT
2CD6	cptc-copticcapitalletteroldcopticgangia	COPTIC CAPITAL LETTER OLD COPTIC GANGIA
2CD7	cptc-copticsmallletteroldcopticgangia	COPTIC SMALL LETTER OLD COPTIC GANGIA
2CD8	cptc-copticcapitalletteroldcopticdja	COPTIC CAPITAL LETTER OLD COPTIC DJA
2CD9	cptc-copticsmallletteroldcopticdja	COPTIC SMALL LETTER OLD COPTIC DJA
2CDA	cptc-copticcapitalletteroldcopticshima	COPTIC CAPITAL LETTER OLD COPTIC SHIMA
2CDB	cptc-copticsmallletteroldcopticshima	COPTIC SMALL LETTER OLD COPTIC SHIMA
2CDC	cptc-copticcapitalletteroldnubianshima	COPTIC CAPITAL LETTER OLD NUBIAN SHIMA
2CDD	cptc-copticsmallletteroldnubianshima	COPTIC SMALL LETTER OLD NUBIAN SHIMA
2CDE	cptc-copticcapitalletteroldnubianngi	COPTIC CAPITAL LETTER OLD NUBIAN NGI
2CDF	cptc-copticsmallletteroldnubianngi	COPTIC SMALL LETTER OLD NUBIAN NGI
2CE0	cptc-copticcapitalletteroldnubiannyi	COPTIC CAPITAL LETTER OLD NUBIAN NYI
2CE1	cptc-copticsmallletteroldnubiannyi	COPTIC SMALL LETTER OLD NUBIAN NYI
2CE2	cptc-copticcapitalletteroldnubianwau	COPTIC CAPITAL LETTER OLD NUBIAN WAU
2CE3	cptc-copticsmallletteroldnubianwau	COPTIC SMALL LETTER OLD NUBIAN WAU
2CE4	cptc-copticsymbolkai	COPTIC SYMBOL KAI
2CE5	cptc-copticsymbolmiro	COPTIC SYMBOL MI RO
2CE6	cptc-copticsymbolpiro	COPTIC SYMBOL PI RO
2CE7	cptc-copticsymbolstauros	COPTIC SYMBOL STAUROS
2CE8	cptc-copticsymboltauro	COPTIC SYMBOL TAU RO
2CE9	cptc-copticsymbolkhiro	COPTIC SYMBOL KHI RO
2CEA	cptc-copticsymbolshimasima	COPTIC SYMBOL SHIMA SIMA
2CEB	cptc-copticcapitallettercryptogrammicshei	COPTIC CAPITAL LETTER CRYPTOGRAMMIC SHEI
2CEC	cptc-copticsmalllettercryptogrammicshei	COPTIC SMALL LETTER CRYPTOGRAMMIC SHEI
2CED	cptc-copticcapitallettercryptogrammicgangia	COPTIC CAPITAL LETTER CRYPTOGRAMMIC GANGIA
2CEE	cptc-copticsmalllettercryptogrammicgangia	COPTIC SMALL LETTER CRYPTOGRAMMIC GANGIA
2CEF	cptc-copticcombiningniabove	COPTIC COMBINING NI ABOVE
2CF0	cptc-copticcombiningspiritusasper	COPTIC COMBINING SPIRITUS ASPER
2CF1	cptc-copticcombiningspirituslenis	COPTIC COMBINING SPIRITUS LENIS
