# Cuneiform 12000 - 123FF
12000	cnfr-cuneiformsigna	CUNEIFORM SIGN A
12001	cnfr-cuneiformsignatimesa	CUNEIFORM SIGN A TIMES A
12002	cnfr-cuneiformsignatimesbad	CUNEIFORM SIGN A TIMES BAD
12003	cnfr-cuneiformsignatimesgan2tenu	CUNEIFORM SIGN A TIMES GAN2 TENU
12004	cnfr-cuneiformsignatimesha	CUNEIFORM SIGN A TIMES HA
12005	cnfr-cuneiformsignatimesigi	CUNEIFORM SIGN A TIMES IGI
12006	cnfr-cuneiformsignatimeslagargunu	CUNEIFORM SIGN A TIMES LAGAR GUNU
12007	cnfr-cuneiformsignatimesmush	CUNEIFORM SIGN A TIMES MUSH
12008	cnfr-cuneiformsignatimessag	CUNEIFORM SIGN A TIMES SAG
12009	cnfr-cuneiformsigna2	CUNEIFORM SIGN A2
1200A	cnfr-cuneiformsignab	CUNEIFORM SIGN AB
1200B	cnfr-cuneiformsignabtimesash2	CUNEIFORM SIGN AB TIMES ASH2
1200C	cnfr-cuneiformsignabtimesdun3gunu	CUNEIFORM SIGN AB TIMES DUN3 GUNU
1200D	cnfr-cuneiformsignabtimesgal	CUNEIFORM SIGN AB TIMES GAL
1200E	cnfr-cuneiformsignabtimesgan2tenu	CUNEIFORM SIGN AB TIMES GAN2 TENU
1200F	cnfr-cuneiformsignabtimesha	CUNEIFORM SIGN AB TIMES HA
12010	cnfr-cuneiformsignabtimesigigunu	CUNEIFORM SIGN AB TIMES IGI GUNU
12011	cnfr-cuneiformsignabtimesimin	CUNEIFORM SIGN AB TIMES IMIN
12012	cnfr-cuneiformsignabtimeslagab	CUNEIFORM SIGN AB TIMES LAGAB
12013	cnfr-cuneiformsignabtimesshesh	CUNEIFORM SIGN AB TIMES SHESH
12014	cnfr-cuneiformsignabtimesuplusuplusu	CUNEIFORM SIGN AB TIMES U PLUS U PLUS U
12015	cnfr-cuneiformsignabgunu	CUNEIFORM SIGN AB GUNU
12016	cnfr-cuneiformsignab2	CUNEIFORM SIGN AB2
12017	cnfr-cuneiformsignab2timesbalag	CUNEIFORM SIGN AB2 TIMES BALAG
12018	cnfr-cuneiformsignab2timesgan2tenu	CUNEIFORM SIGN AB2 TIMES GAN2 TENU
12019	cnfr-cuneiformsignab2timesmeplusen	CUNEIFORM SIGN AB2 TIMES ME PLUS EN
1201A	cnfr-cuneiformsignab2timessha3	CUNEIFORM SIGN AB2 TIMES SHA3
1201B	cnfr-cuneiformsignab2timestak4	CUNEIFORM SIGN AB2 TIMES TAK4
1201C	cnfr-cuneiformsignad	CUNEIFORM SIGN AD
1201D	cnfr-cuneiformsignak	CUNEIFORM SIGN AK
1201E	cnfr-cuneiformsignaktimeserin2	CUNEIFORM SIGN AK TIMES ERIN2
1201F	cnfr-cuneiformsignaktimesshitaplusgish	CUNEIFORM SIGN AK TIMES SHITA PLUS GISH
12020	cnfr-cuneiformsignal	CUNEIFORM SIGN AL
12021	cnfr-cuneiformsignaltimesal	CUNEIFORM SIGN AL TIMES AL
12022	cnfr-cuneiformsignaltimesdim2	CUNEIFORM SIGN AL TIMES DIM2
12023	cnfr-cuneiformsignaltimesgish	CUNEIFORM SIGN AL TIMES GISH
