# Cypriot Syllabary 10800 - 1083F
10800	cypr-cypriotsyllablea	CYPRIOT SYLLABLE A
10801	cypr-cypriotsyllablee	CYPRIOT SYLLABLE E
10802	cypr-cypriotsyllablei	CYPRIOT SYLLABLE I
10803	cypr-cypriotsyllableo	CYPRIOT SYLLABLE O
10804	cypr-cypriotsyllableu	CYPRIOT SYLLABLE U
10805	cypr-cypriotsyllableja	CYPRIOT SYLLABLE JA
10808	cypr-cypriotsyllablejo	CYPRIOT SYLLABLE JO
1080A	cypr-cypriotsyllableka	CYPRIOT SYLLABLE KA
1080B	cypr-cypriotsyllableke	CYPRIOT SYLLABLE KE
1080C	cypr-cypriotsyllableki	CYPRIOT SYLLABLE KI
1080D	cypr-cypriotsyllableko	CYPRIOT SYLLABLE KO
1080E	cypr-cypriotsyllableku	CYPRIOT SYLLABLE KU
1080F	cypr-cypriotsyllablela	CYPRIOT SYLLABLE LA
10810	cypr-cypriotsyllablele	CYPRIOT SYLLABLE LE
10811	cypr-cypriotsyllableli	CYPRIOT SYLLABLE LI
10812	cypr-cypriotsyllablelo	CYPRIOT SYLLABLE LO
10813	cypr-cypriotsyllablelu	CYPRIOT SYLLABLE LU
10814	cypr-cypriotsyllablema	CYPRIOT SYLLABLE MA
10815	cypr-cypriotsyllableme	CYPRIOT SYLLABLE ME
10816	cypr-cypriotsyllablemi	CYPRIOT SYLLABLE MI
10817	cypr-cypriotsyllablemo	CYPRIOT SYLLABLE MO
10818	cypr-cypriotsyllablemu	CYPRIOT SYLLABLE MU
10819	cypr-cypriotsyllablena	CYPRIOT SYLLABLE NA
1081A	cypr-cypriotsyllablene	CYPRIOT SYLLABLE NE
1081B	cypr-cypriotsyllableni	CYPRIOT SYLLABLE NI
1081C	cypr-cypriotsyllableno	CYPRIOT SYLLABLE NO
1081D	cypr-cypriotsyllablenu	CYPRIOT SYLLABLE NU
1081E	cypr-cypriotsyllablepa	CYPRIOT SYLLABLE PA
1081F	cypr-cypriotsyllablepe	CYPRIOT SYLLABLE PE
10820	cypr-cypriotsyllablepi	CYPRIOT SYLLABLE PI
10821	cypr-cypriotsyllablepo	CYPRIOT SYLLABLE PO
10822	cypr-cypriotsyllablepu	CYPRIOT SYLLABLE PU
10823	cypr-cypriotsyllablera	CYPRIOT SYLLABLE RA
10824	cypr-cypriotsyllablere	CYPRIOT SYLLABLE RE
10825	cypr-cypriotsyllableri	CYPRIOT SYLLABLE RI
10826	cypr-cypriotsyllablero	CYPRIOT SYLLABLE RO
10827	cypr-cypriotsyllableru	CYPRIOT SYLLABLE RU
10828	cypr-cypriotsyllablesa	CYPRIOT SYLLABLE SA
10829	cypr-cypriotsyllablese	CYPRIOT SYLLABLE SE
1082A	cypr-cypriotsyllablesi	CYPRIOT SYLLABLE SI
1082B	cypr-cypriotsyllableso	CYPRIOT SYLLABLE SO
1082C	cypr-cypriotsyllablesu	CYPRIOT SYLLABLE SU
1082D	cypr-cypriotsyllableta	CYPRIOT SYLLABLE TA
1082E	cypr-cypriotsyllablete	CYPRIOT SYLLABLE TE
1082F	cypr-cypriotsyllableti	CYPRIOT SYLLABLE TI
10830	cypr-cypriotsyllableto	CYPRIOT SYLLABLE TO
10831	cypr-cypriotsyllabletu	CYPRIOT SYLLABLE TU
10832	cypr-cypriotsyllablewa	CYPRIOT SYLLABLE WA
10833	cypr-cypriotsyllablewe	CYPRIOT SYLLABLE WE
10834	cypr-cypriotsyllablewi	CYPRIOT SYLLABLE WI
10835	cypr-cypriotsyllablewo	CYPRIOT SYLLABLE WO
10837	cypr-cypriotsyllablexa	CYPRIOT SYLLABLE XA
10838	cypr-cypriotsyllablexe	CYPRIOT SYLLABLE XE
1083C	cypr-cypriotsyllableza	CYPRIOT SYLLABLE ZA
1083F	cypr-cypriotsyllablezo	CYPRIOT SYLLABLE ZO
