# Cyrillic Extended-B A640 - A69F
A640	cyrilliccapitalletterzemlyacyr	CYRILLIC CAPITAL LETTER ZEMLYA
A641	cyrillicsmallletterzemlyacyr	CYRILLIC SMALL LETTER ZEMLYA
A642	cyrilliccapitalletterdzelocyr	CYRILLIC CAPITAL LETTER DZELO
A643	cyrillicsmallletterdzelocyr	CYRILLIC SMALL LETTER DZELO
A644	cyrilliccapitalletterreverseddzecyr	CYRILLIC CAPITAL LETTER REVERSED DZE
A645	cyrillicsmallletterreverseddzecyr	CYRILLIC SMALL LETTER REVERSED DZE
A646	cyrilliccapitalletteriotacyr	CYRILLIC CAPITAL LETTER IOTA
A647	cyrillicsmallletteriotacyr	CYRILLIC SMALL LETTER IOTA
A648	cyrilliccapitalletterdjervcyr	CYRILLIC CAPITAL LETTER DJERV
A649	cyrillicsmallletterdjervcyr	CYRILLIC SMALL LETTER DJERV
A64A	cyrilliccapitallettermonographukcyr	CYRILLIC CAPITAL LETTER MONOGRAPH UK
A64B	cyrillicsmalllettermonographukcyr	CYRILLIC SMALL LETTER MONOGRAPH UK
A64C	cyrilliccapitalletterbroadomegacyr	CYRILLIC CAPITAL LETTER BROAD OMEGA
A64D	cyrillicsmallletterbroadomegacyr	CYRILLIC SMALL LETTER BROAD OMEGA
A64E	cyrilliccapitalletterneutralyercyr	CYRILLIC CAPITAL LETTER NEUTRAL YER
A64F	cyrillicsmallletterneutralyercyr	CYRILLIC SMALL LETTER NEUTRAL YER
A650	cyrilliccapitalletteryeruwithbackyercyr	CYRILLIC CAPITAL LETTER YERU WITH BACK YER
A651	cyrillicsmallletteryeruwithbackyercyr	CYRILLIC SMALL LETTER YERU WITH BACK YER
A652	cyrilliccapitalletteriotifiedyatcyr	CYRILLIC CAPITAL LETTER IOTIFIED YAT
A653	cyrillicsmallletteriotifiedyatcyr	CYRILLIC SMALL LETTER IOTIFIED YAT
A654	cyrilliccapitalletterreversedyucyr	CYRILLIC CAPITAL LETTER REVERSED YU
A655	cyrillicsmallletterreversedyucyr	CYRILLIC SMALL LETTER REVERSED YU
A656	cyrilliccapitalletteriotifiedacyr	CYRILLIC CAPITAL LETTER IOTIFIED A
A657	cyrillicsmallletteriotifiedacyr	CYRILLIC SMALL LETTER IOTIFIED A
A658	cyrilliccapitalletterclosedlittleyuscyr	CYRILLIC CAPITAL LETTER CLOSED LITTLE YUS
A659	cyrillicsmallletterclosedlittleyuscyr	CYRILLIC SMALL LETTER CLOSED LITTLE YUS
A65A	cyrilliccapitalletterblendedyuscyr	CYRILLIC CAPITAL LETTER BLENDED YUS
A65B	cyrillicsmallletterblendedyuscyr	CYRILLIC SMALL LETTER BLENDED YUS
A65C	cyrilliccapitalletteriotifiedclosedlittleyuscyr	CYRILLIC CAPITAL LETTER IOTIFIED CLOSED LITTLE YUS
A65D	cyrillicsmallletteriotifiedclosedlittleyuscyr	CYRILLIC SMALL LETTER IOTIFIED CLOSED LITTLE YUS
A65E	cyrilliccapitalletteryncyr	CYRILLIC CAPITAL LETTER YN
A65F	cyrillicsmallletteryncyr	CYRILLIC SMALL LETTER YN
A662	cyrilliccapitallettersoftdecyr	CYRILLIC CAPITAL LETTER SOFT DE
A663	cyrillicsmalllettersoftdecyr	CYRILLIC SMALL LETTER SOFT DE
A664	cyrilliccapitallettersoftelcyr	CYRILLIC CAPITAL LETTER SOFT EL
A665	cyrillicsmalllettersoftelcyr	CYRILLIC SMALL LETTER SOFT EL
A666	cyrilliccapitallettersoftemcyr	CYRILLIC CAPITAL LETTER SOFT EM
A667	cyrillicsmalllettersoftemcyr	CYRILLIC SMALL LETTER SOFT EM
A668	cyrilliccapitallettermonocularocyr	CYRILLIC CAPITAL LETTER MONOCULAR O
A669	cyrillicsmalllettermonocularocyr	CYRILLIC SMALL LETTER MONOCULAR O
A66A	cyrilliccapitalletterbinocularocyr	CYRILLIC CAPITAL LETTER BINOCULAR O
A66B	cyrillicsmallletterbinocularocyr	CYRILLIC SMALL LETTER BINOCULAR O
