# Devanagari 0900 - 097F
0900	candrabinduinverted	DEVANAGARI SIGN INVERTED CANDRABINDU
0901	candrabindu	DEVANAGARI SIGN CANDRABINDU
0902	anusvara	DEVANAGARI SIGN ANUSVARA
0903	visarga	DEVANAGARI SIGN VISARGA
0904	ashort	DEVANAGARI LETTER SHORT A
0905	a	DEVANAGARI LETTER A
0906	aa	DEVANAGARI LETTER AA
0907	i	DEVANAGARI LETTER I
0908	ii	DEVANAGARI LETTER II
0909	u	DEVANAGARI LETTER U
090A	uu	DEVANAGARI LETTER UU
090B	rvocal	DEVANAGARI LETTER VOCALIC R
090C	lvocal	DEVANAGARI LETTER VOCALIC L
090D	ecandra	DEVANAGARI LETTER CANDRA E
090E	eshort	DEVANAGARI LETTER SHORT E
090F	e	DEVANAGARI LETTER E
0910	ai	DEVANAGARI LETTER AI
0911	ocandra	DEVANAGARI LETTER CANDRA O
0912	oshort	DEVANAGARI LETTER SHORT O
0913	o	DEVANAGARI LETTER O
0914	au	DEVANAGARI LETTER AU
0915	ka	DEVANAGARI LETTER KA
0916	kha	DEVANAGARI LETTER KHA
0917	ga	DEVANAGARI LETTER GA
0918	gha	DEVANAGARI LETTER GHA
0919	nga	DEVANAGARI LETTER NGA
091A	ca	DEVANAGARI LETTER CA
091B	cha	DEVANAGARI LETTER CHA
091C	ja	DEVANAGARI LETTER JA
091D	jha	DEVANAGARI LETTER JHA
091E	nya	DEVANAGARI LETTER NYA
091F	tta	DEVANAGARI LETTER TTA
0920	ttha	DEVANAGARI LETTER TTHA
0921	dda	DEVANAGARI LETTER DDA
0922	ddha	DEVANAGARI LETTER DDHA
0923	nna	DEVANAGARI LETTER NNA
0924	ta	DEVANAGARI LETTER TA
0925	tha	DEVANAGARI LETTER THA
0926	da	DEVANAGARI LETTER DA
0927	dha	DEVANAGARI LETTER DHA
0928	na	DEVANAGARI LETTER NA
0929	nnna	DEVANAGARI LETTER NNNA
092A	pa	DEVANAGARI LETTER PA
092B	pha	DEVANAGARI LETTER PHA
092C	ba	DEVANAGARI LETTER BA
092D	bha	DEVANAGARI LETTER BHA
092E	ma	DEVANAGARI LETTER MA
092F	ya	DEVANAGARI LETTER YA
0930	ra	DEVANAGARI LETTER RA
0931	rra	DEVANAGARI LETTER RRA
0932	la	DEVANAGARI LETTER LA
0933	lla	DEVANAGARI LETTER LLA
0934	llla	DEVANAGARI LETTER LLLA
0935	va	DEVANAGARI LETTER VA
0936	sha	DEVANAGARI LETTER SHA
0937	ssa	DEVANAGARI LETTER SSA
0938	sa	DEVANAGARI LETTER SA
0939	ha	DEVANAGARI LETTER HA
093C	nukta	DEVANAGARI SIGN NUKTA
093D	avagraha	DEVANAGARI SIGN AVAGRAHA
093E	aasign	DEVANAGARI VOWEL SIGN AA
093F	isign	DEVANAGARI VOWEL SIGN I
0940	iisign	DEVANAGARI VOWEL SIGN II
0941	usign	DEVANAGARI VOWEL SIGN U
0942	uusign	DEVANAGARI VOWEL SIGN UU
0943	rvocalsign	DEVANAGARI VOWEL SIGN VOCALIC R
0944	rrvocalsign	DEVANAGARI VOWEL SIGN VOCALIC RR
0945	ecandrasign	DEVANAGARI VOWEL SIGN CANDRA E
0946	eshortsign	DEVANAGARI VOWEL SIGN SHORT E
0947	esign	DEVANAGARI VOWEL SIGN E
0948	aisign	DEVANAGARI VOWEL SIGN AI
0949	ocandrasign	DEVANAGARI VOWEL SIGN CANDRA O
094A	oshortsign	DEVANAGARI VOWEL SIGN SHORT O
094B	osign	DEVANAGARI VOWEL SIGN O
094C	ausign	DEVANAGARI VOWEL SIGN AU
094D	virama	DEVANAGARI SIGN VIRAMA
094E	esignprishthamatra	DEVANAGARI VOWEL SIGN PRISHTHAMATRA E
0950	om	DEVANAGARI OM
0951	udatta	DEVANAGARI STRESS SIGN UDATTA
0952	anudatta	DEVANAGARI STRESS SIGN ANUDATTA
0953	grave	DEVANAGARI GRAVE ACCENT
0954	acute	DEVANAGARI ACUTE ACCENT
0955	elongcandrasign	DEVANAGARI VOWEL SIGN CANDRA LONG E
0958	qa	DEVANAGARI LETTER QA
0959	khha	DEVANAGARI LETTER KHHA
095A	ghha	DEVANAGARI LETTER GHHA
095B	za	DEVANAGARI LETTER ZA
095C	dddha	DEVANAGARI LETTER DDDHA
095D	rha	DEVANAGARI LETTER RHA
095E	fa	DEVANAGARI LETTER FA
095F	yya	DEVANAGARI LETTER YYA
0960	rrvocal	DEVANAGARI LETTER VOCALIC RR
0961	llvocal	DEVANAGARI LETTER VOCALIC LL
0962	lvocalsign	DEVANAGARI VOWEL SIGN VOCALIC L
0963	llvocalsign	DEVANAGARI VOWEL SIGN VOCALIC LL
0964	danda	DEVANAGARI DANDA
0965	dbldanda	DEVANAGARI DOUBLE DANDA
0966	zero	DEVANAGARI DIGIT ZERO
0967	one	DEVANAGARI DIGIT ONE
0968	two	DEVANAGARI DIGIT TWO
0969	three	DEVANAGARI DIGIT THREE
096A	four	DEVANAGARI DIGIT FOUR
096B	five	DEVANAGARI DIGIT FIVE
096C	six	DEVANAGARI DIGIT SIX
096D	seven	DEVANAGARI DIGIT SEVEN
096E	eight	DEVANAGARI DIGIT EIGHT
096F	nine	DEVANAGARI DIGIT NINE
0970	abbreviation	DEVANAGARI ABBREVIATION SIGN
0971	dothigh	DEVANAGARI SIGN HIGH SPACING DOT
0972	acandra	DEVANAGARI LETTER CANDRA A
0979	zha	DEVANAGARI LETTER ZHA
097A	yaheavy	DEVANAGARI LETTER HEAVY YA
097B	gga	DEVANAGARI LETTER GGA
097C	jja	DEVANAGARI LETTER JJA
097D	glottalstop	DEVANAGARI LETTER GLOTTAL STOP
097E	ddda	DEVANAGARI LETTER DDDA
097F	bba	DEVANAGARI LETTER BBA
