# Devanagari Extended A8E0 - A8FF
A8E0	dv-combiningdevanagaridigitzero	COMBINING DEVANAGARI DIGIT ZERO
A8E1	dv-combiningdevanagaridigitone	COMBINING DEVANAGARI DIGIT ONE
A8E2	dv-combiningdevanagaridigittwo	COMBINING DEVANAGARI DIGIT TWO
A8E3	dv-combiningdevanagaridigitthree	COMBINING DEVANAGARI DIGIT THREE
A8E4	dv-combiningdevanagaridigitfour	COMBINING DEVANAGARI DIGIT FOUR
A8E5	dv-combiningdevanagaridigitfive	COMBINING DEVANAGARI DIGIT FIVE
A8E6	dv-combiningdevanagaridigitsix	COMBINING DEVANAGARI DIGIT SIX
A8E7	dv-combiningdevanagaridigitseven	COMBINING DEVANAGARI DIGIT SEVEN
A8E8	dv-combiningdevanagaridigiteight	COMBINING DEVANAGARI DIGIT EIGHT
A8E9	dv-combiningdevanagaridigitnine	COMBINING DEVANAGARI DIGIT NINE
A8EA	dv-combiningdevanagarilettera	COMBINING DEVANAGARI LETTER A
A8EB	dv-combiningdevanagariletteru	COMBINING DEVANAGARI LETTER U
A8EC	dv-combiningdevanagariletterka	COMBINING DEVANAGARI LETTER KA
A8ED	dv-combiningdevanagariletterna	COMBINING DEVANAGARI LETTER NA
A8EE	dv-combiningdevanagariletterpa	COMBINING DEVANAGARI LETTER PA
A8EF	dv-combiningdevanagariletterra	COMBINING DEVANAGARI LETTER RA
A8F0	dv-combiningdevanagarilettervi	COMBINING DEVANAGARI LETTER VI
A8F1	dv-combiningdevanagarisignavagraha	COMBINING DEVANAGARI SIGN AVAGRAHA
A8F2	dv-devanagarisignspacingcandrabindu	DEVANAGARI SIGN SPACING CANDRABINDU
A8F3	dv-devanagarisigncandrabinduvirama	DEVANAGARI SIGN CANDRABINDU VIRAMA
A8F4	dv-devanagarisigndoublecandrabinduvirama	DEVANAGARI SIGN DOUBLE CANDRABINDU VIRAMA
A8F5	dv-devanagarisigncandrabindutwo	DEVANAGARI SIGN CANDRABINDU TWO
A8F6	dv-devanagarisigncandrabinduthree	DEVANAGARI SIGN CANDRABINDU THREE
A8F7	dv-devanagarisigncandrabinduavagraha	DEVANAGARI SIGN CANDRABINDU AVAGRAHA
A8F8	dv-devanagarisignpushpika	DEVANAGARI SIGN PUSHPIKA
A8F9	dv-devanagarigapfiller	DEVANAGARI GAP FILLER
A8FA	dv-devanagaricaret	DEVANAGARI CARET
A8FB	dv-devanagariheadstroke	DEVANAGARI HEADSTROKE
