# Dingbats 2700 - 27BF
2701	upperbladescissors	UPPER BLADE SCISSORS
2702	blackscissors	BLACK SCISSORS
2703	lowerbladescissors	LOWER BLADE SCISSORS
2704	whitescissors	WHITE SCISSORS
2706	telephonelocationsign	TELEPHONE LOCATION SIGN
2707	tapedrive	TAPE DRIVE
2708	airplane	AIRPLANE
2709	envelope	ENVELOPE
270C	victoryhand	VICTORY HAND
270D	writinghand	WRITING HAND
270E	lowerrightpencil	LOWER RIGHT PENCIL
270F	pencil	PENCIL
2710	upperrightpencil	UPPER RIGHT PENCIL
2711	whitenib	WHITE NIB
2712	blacknib	BLACK NIB
2713	checkmark	CHECK MARK
2714	heavycheckmark	HEAVY CHECK MARK
2715	multiplicationx	MULTIPLICATION X
2716	heavymultiplicationx	HEAVY MULTIPLICATION X
2717	ballotx	BALLOT X
2718	heavyballotx	HEAVY BALLOT X
2719	outlinedgreekcross	OUTLINED GREEK CROSS
271A	heavygreekcross	HEAVY GREEK CROSS
271B	opencentrecross	OPEN CENTRE CROSS
271C	heavyopencentrecross	HEAVY OPEN CENTRE CROSS
271D	latincross	LATIN CROSS
271E	shadowedwhitelatincross	SHADOWED WHITE LATIN CROSS
271F	outlinedlatincross	OUTLINED LATIN CROSS
2720	maltesecross	MALTESE CROSS
2721	starofdavid	STAR OF DAVID
2722	fourteardropspokedasterisk	FOUR TEARDROP-SPOKED ASTERISK
2723	fourballoonspokedasterisk	FOUR BALLOON-SPOKED ASTERISK
2724	heavyfourballoonspokedasterisk	HEAVY FOUR BALLOON-SPOKED ASTERISK
2725	fourclubspokedasterisk	FOUR CLUB-SPOKED ASTERISK
2726	blackfourpointedstar	BLACK FOUR POINTED STAR
2727	whitefourpointedstar	WHITE FOUR POINTED STAR
2729	stressoutlinedwhitestar	STRESS OUTLINED WHITE STAR
272A	circledwhitestar	CIRCLED WHITE STAR
272B	opencentreblackstar	OPEN CENTRE BLACK STAR
272C	blackcentrewhitestar	BLACK CENTRE WHITE STAR
272D	outlinedblackstar	OUTLINED BLACK STAR
272E	heavyoutlinedblackstar	HEAVY OUTLINED BLACK STAR
272F	pinwheelstar	PINWHEEL STAR
2730	shadowedwhitestar	SHADOWED WHITE STAR
2731	heavyasterisk	HEAVY ASTERISK
2732	opencentreasterisk	OPEN CENTRE ASTERISK
2733	eightspokedasterisk	EIGHT SPOKED ASTERISK
2734	eightpointedblackstar	EIGHT POINTED BLACK STAR
2735	eightpointedpinwheelstar	EIGHT POINTED PINWHEEL STAR
2736	sixpointedblackstar	SIX POINTED BLACK STAR
2737	eightpointedrectilinearblackstar	EIGHT POINTED RECTILINEAR BLACK STAR
2738	heavyeightpointedrectilinearblackstar	HEAVY EIGHT POINTED RECTILINEAR BLACK STAR
2739	twelvepointedblackstar	TWELVE POINTED BLACK STAR
273A	sixteenpointedasterisk	SIXTEEN POINTED ASTERISK
273B	teardropspokedasterisk	TEARDROP-SPOKED ASTERISK
273C	opencentreteardropspokedasterisk	OPEN CENTRE TEARDROP-SPOKED ASTERISK
273D	heavyteardropspokedasterisk	HEAVY TEARDROP-SPOKED ASTERISK
273E	sixpetalledblackandwhiteflorette	SIX PETALLED BLACK AND WHITE FLORETTE
273F	blackflorette	BLACK FLORETTE
2740	whiteflorette	WHITE FLORETTE
2741	eightpetalledoutlinedblackflorette	EIGHT PETALLED OUTLINED BLACK FLORETTE
2742	circledopencentreeightpointedstar	CIRCLED OPEN CENTRE EIGHT POINTED STAR
2743	heavyteardropspokedpinwheelasterisk	HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK
2744	snowflake	SNOWFLAKE
2745	tighttrifoliatesnowflake	TIGHT TRIFOLIATE SNOWFLAKE
2746	heavychevronsnowflake	HEAVY CHEVRON SNOWFLAKE
2747	sparkle	SPARKLE
2748	heavysparkle	HEAVY SPARKLE
