# Domino Tiles 1F030 - 1F09F
1F030	dmnt-dominotilehorizontalback	DOMINO TILE HORIZONTAL BACK
1F031	dmnt-dominotilehorizontal0000	DOMINO TILE HORIZONTAL-00-00
1F032	dmnt-dominotilehorizontal0001	DOMINO TILE HORIZONTAL-00-01
1F033	dmnt-dominotilehorizontal0002	DOMINO TILE HORIZONTAL-00-02
1F034	dmnt-dominotilehorizontal0003	DOMINO TILE HORIZONTAL-00-03
1F035	dmnt-dominotilehorizontal0004	DOMINO TILE HORIZONTAL-00-04
1F036	dmnt-dominotilehorizontal0005	DOMINO TILE HORIZONTAL-00-05
1F037	dmnt-dominotilehorizontal0006	DOMINO TILE HORIZONTAL-00-06
1F038	dmnt-dominotilehorizontal0100	DOMINO TILE HORIZONTAL-01-00
1F039	dmnt-dominotilehorizontal0101	DOMINO TILE HORIZONTAL-01-01
1F03A	dmnt-dominotilehorizontal0102	DOMINO TILE HORIZONTAL-01-02
1F03B	dmnt-dominotilehorizontal0103	DOMINO TILE HORIZONTAL-01-03
1F03C	dmnt-dominotilehorizontal0104	DOMINO TILE HORIZONTAL-01-04
1F03D	dmnt-dominotilehorizontal0105	DOMINO TILE HORIZONTAL-01-05
1F03E	dmnt-dominotilehorizontal0106	DOMINO TILE HORIZONTAL-01-06
1F03F	dmnt-dominotilehorizontal0200	DOMINO TILE HORIZONTAL-02-00
1F040	dmnt-dominotilehorizontal0201	DOMINO TILE HORIZONTAL-02-01
1F041	dmnt-dominotilehorizontal0202	DOMINO TILE HORIZONTAL-02-02
1F042	dmnt-dominotilehorizontal0203	DOMINO TILE HORIZONTAL-02-03
1F043	dmnt-dominotilehorizontal0204	DOMINO TILE HORIZONTAL-02-04
1F044	dmnt-dominotilehorizontal0205	DOMINO TILE HORIZONTAL-02-05
1F045	dmnt-dominotilehorizontal0206	DOMINO TILE HORIZONTAL-02-06
1F046	dmnt-dominotilehorizontal0300	DOMINO TILE HORIZONTAL-03-00
1F047	dmnt-dominotilehorizontal0301	DOMINO TILE HORIZONTAL-03-01
1F048	dmnt-dominotilehorizontal0302	DOMINO TILE HORIZONTAL-03-02
1F049	dmnt-dominotilehorizontal0303	DOMINO TILE HORIZONTAL-03-03
1F04A	dmnt-dominotilehorizontal0304	DOMINO TILE HORIZONTAL-03-04
1F04B	dmnt-dominotilehorizontal0305	DOMINO TILE HORIZONTAL-03-05
1F04C	dmnt-dominotilehorizontal0306	DOMINO TILE HORIZONTAL-03-06
1F04D	dmnt-dominotilehorizontal0400	DOMINO TILE HORIZONTAL-04-00
