# Egyptian Hieroglyphs 13000 - 1342F
13000	gypt-egyptianhieroglypha001	EGYPTIAN HIEROGLYPH A001
13001	gypt-egyptianhieroglypha002	EGYPTIAN HIEROGLYPH A002
13002	gypt-egyptianhieroglypha003	EGYPTIAN HIEROGLYPH A003
13003	gypt-egyptianhieroglypha004	EGYPTIAN HIEROGLYPH A004
13004	gypt-egyptianhieroglypha005	EGYPTIAN HIEROGLYPH A005
13005	gypt-egyptianhieroglypha005a	EGYPTIAN HIEROGLYPH A005A
13006	gypt-egyptianhieroglypha006	EGYPTIAN HIEROGLYPH A006
13007	gypt-egyptianhieroglypha006a	EGYPTIAN HIEROGLYPH A006A
13008	gypt-egyptianhieroglypha006b	EGYPTIAN HIEROGLYPH A006B
13009	gypt-egyptianhieroglypha007	EGYPTIAN HIEROGLYPH A007
1300A	gypt-egyptianhieroglypha008	EGYPTIAN HIEROGLYPH A008
1300B	gypt-egyptianhieroglypha009	EGYPTIAN HIEROGLYPH A009
1300C	gypt-egyptianhieroglypha010	EGYPTIAN HIEROGLYPH A010
1300D	gypt-egyptianhieroglypha011	EGYPTIAN HIEROGLYPH A011
1300E	gypt-egyptianhieroglypha012	EGYPTIAN HIEROGLYPH A012
1300F	gypt-egyptianhieroglypha013	EGYPTIAN HIEROGLYPH A013
13010	gypt-egyptianhieroglypha014	EGYPTIAN HIEROGLYPH A014
13011	gypt-egyptianhieroglypha014a	EGYPTIAN HIEROGLYPH A014A
13012	gypt-egyptianhieroglypha015	EGYPTIAN HIEROGLYPH A015
13013	gypt-egyptianhieroglypha016	EGYPTIAN HIEROGLYPH A016
13014	gypt-egyptianhieroglypha017	EGYPTIAN HIEROGLYPH A017
13015	gypt-egyptianhieroglypha017a	EGYPTIAN HIEROGLYPH A017A
13016	gypt-egyptianhieroglypha018	EGYPTIAN HIEROGLYPH A018
13017	gypt-egyptianhieroglypha019	EGYPTIAN HIEROGLYPH A019
13018	gypt-egyptianhieroglypha020	EGYPTIAN HIEROGLYPH A020
13019	gypt-egyptianhieroglypha021	EGYPTIAN HIEROGLYPH A021
1301A	gypt-egyptianhieroglypha022	EGYPTIAN HIEROGLYPH A022
1301B	gypt-egyptianhieroglypha023	EGYPTIAN HIEROGLYPH A023
1301C	gypt-egyptianhieroglypha024	EGYPTIAN HIEROGLYPH A024
1301D	gypt-egyptianhieroglypha025	EGYPTIAN HIEROGLYPH A025
1301E	gypt-egyptianhieroglypha026	EGYPTIAN HIEROGLYPH A026
1301F	gypt-egyptianhieroglypha027	EGYPTIAN HIEROGLYPH A027
13020	gypt-egyptianhieroglypha028	EGYPTIAN HIEROGLYPH A028
13021	gypt-egyptianhieroglypha029	EGYPTIAN HIEROGLYPH A029
13022	gypt-egyptianhieroglypha030	EGYPTIAN HIEROGLYPH A030
13023	gypt-egyptianhieroglypha031	EGYPTIAN HIEROGLYPH A031
13024	gypt-egyptianhieroglypha032	EGYPTIAN HIEROGLYPH A032
