# Enclosed Alphanumeric Supplement 1F100 - 1F1FF
1F100	ncls-zerofullstop	DIGIT ZERO FULL STOP
1F101	ncls-zerocomma	DIGIT ZERO COMMA
1F102	ncls-onecomma	DIGIT ONE COMMA
1F103	ncls-twocomma	DIGIT TWO COMMA
1F104	ncls-threecomma	DIGIT THREE COMMA
1F105	ncls-fourcomma	DIGIT FOUR COMMA
1F106	ncls-fivecomma	DIGIT FIVE COMMA
1F107	ncls-sixcomma	DIGIT SIX COMMA
1F108	ncls-sevencomma	DIGIT SEVEN COMMA
1F109	ncls-eightcomma	DIGIT EIGHT COMMA
1F10A	ncls-ninecomma	DIGIT NINE COMMA
1F110	ncls-Aparens	PARENTHESIZED LATIN CAPITAL LETTER A
1F111	ncls-Bparens	PARENTHESIZED LATIN CAPITAL LETTER B
1F112	ncls-Cparens	PARENTHESIZED LATIN CAPITAL LETTER C
1F113	ncls-Dparens	PARENTHESIZED LATIN CAPITAL LETTER D
1F114	ncls-Eparens	PARENTHESIZED LATIN CAPITAL LETTER E
1F115	ncls-Fparens	PARENTHESIZED LATIN CAPITAL LETTER F
1F116	ncls-Gparens	PARENTHESIZED LATIN CAPITAL LETTER G
1F117	ncls-Hparens	PARENTHESIZED LATIN CAPITAL LETTER H
1F118	ncls-Iparens	PARENTHESIZED LATIN CAPITAL LETTER I
1F119	ncls-Jparens	PARENTHESIZED LATIN CAPITAL LETTER J
1F11A	ncls-Kparens	PARENTHESIZED LATIN CAPITAL LETTER K
1F11B	ncls-Lparens	PARENTHESIZED LATIN CAPITAL LETTER L
1F11C	ncls-Mparens	PARENTHESIZED LATIN CAPITAL LETTER M
1F11D	ncls-Nparens	PARENTHESIZED LATIN CAPITAL LETTER N
1F11E	ncls-Oparens	PARENTHESIZED LATIN CAPITAL LETTER O
1F11F	ncls-Pparens	PARENTHESIZED LATIN CAPITAL LETTER P
1F120	ncls-Qparens	PARENTHESIZED LATIN CAPITAL LETTER Q
1F121	ncls-Rparens	PARENTHESIZED LATIN CAPITAL LETTER R
1F122	ncls-Sparens	PARENTHESIZED LATIN CAPITAL LETTER S
1F123	ncls-Tparens	PARENTHESIZED LATIN CAPITAL LETTER T
1F124	ncls-Uparens	PARENTHESIZED LATIN CAPITAL LETTER U
1F125	ncls-Vparens	PARENTHESIZED LATIN CAPITAL LETTER V
1F126	ncls-Wparens	PARENTHESIZED LATIN CAPITAL LETTER W
1F127	ncls-Xparens	PARENTHESIZED LATIN CAPITAL LETTER X
1F128	ncls-Yparens	PARENTHESIZED LATIN CAPITAL LETTER Y
1F129	ncls-Zparens	PARENTHESIZED LATIN CAPITAL LETTER Z
1F12A	ncls-Stortoise	TORTOISE SHELL BRACKETED LATIN CAPITAL LETTER S
1F12B	ncls-Citaliccircle	CIRCLED ITALIC LATIN CAPITAL LETTER C
1F12C	ncls-Ritaliccircle	CIRCLED ITALIC LATIN CAPITAL LETTER R
1F12D	ncls-CDcircle	CIRCLED CD
1F12E	ncls-WZcircle	CIRCLED WZ
1F131	ncls-Bsquare	SQUARED LATIN CAPITAL LETTER B
1F13D	ncls-Nsquare	SQUARED LATIN CAPITAL LETTER N
1F13F	ncls-Psquare	SQUARED LATIN CAPITAL LETTER P
1F142	ncls-Ssquare	SQUARED LATIN CAPITAL LETTER S
1F146	ncls-Wsquare	SQUARED LATIN CAPITAL LETTER W
1F14A	ncls-HVsquare	SQUARED HV
1F14B	ncls-MVsquare	SQUARED MV
1F14C	ncls-SDsquare	SQUARED SD
1F14D	ncls-SSsquare	SQUARED SS
1F14E	ncls-PPVsquare	SQUARED PPV
1F157	ncls-Hcircleblack	NEGATIVE CIRCLED LATIN CAPITAL LETTER H
1F15F	ncls-Pcircleblack	NEGATIVE CIRCLED LATIN CAPITAL LETTER P
1F179	ncls-Jsquareblack	NEGATIVE SQUARED LATIN CAPITAL LETTER J
1F17B	ncls-Lsquareblack	NEGATIVE SQUARED LATIN CAPITAL LETTER L
1F17C	ncls-Msquareblack	NEGATIVE SQUARED LATIN CAPITAL LETTER M
1F17F	ncls-Psquareblack	NEGATIVE SQUARED LATIN CAPITAL LETTER P
1F18A	ncls-Pcrosssquareblack	CROSSED NEGATIVE SQUARED LATIN CAPITAL LETTER P
1F18B	ncls-ICsquareblack	NEGATIVE SQUARED IC
1F18C	ncls-PAsquareblack	NEGATIVE SQUARED PA
1F18D	ncls-SAsquareblack	NEGATIVE SQUARED SA
1F190	ncls-squaredj	SQUARE DJ
