# Enclosed Alphanumerics 2460 - 24FF
2460	ncls-onecircle	CIRCLED DIGIT ONE
2461	ncls-twocircle	CIRCLED DIGIT TWO
2462	ncls-threecircle	CIRCLED DIGIT THREE
2463	ncls-fourcircle	CIRCLED DIGIT FOUR
2464	ncls-fivecircle	CIRCLED DIGIT FIVE
2465	ncls-sixcircle	CIRCLED DIGIT SIX
2466	ncls-sevencircle	CIRCLED DIGIT SEVEN
2467	ncls-eightcircle	CIRCLED DIGIT EIGHT
2468	ncls-ninecircle	CIRCLED DIGIT NINE
2469	ncls-tencircle	CIRCLED NUMBER TEN
246A	ncls-elevencircle	CIRCLED NUMBER ELEVEN
246B	ncls-twelvecircle	CIRCLED NUMBER TWELVE
246C	ncls-thirteencircle	CIRCLED NUMBER THIRTEEN
246D	ncls-fourteencircle	CIRCLED NUMBER FOURTEEN
246E	ncls-fifteencircle	CIRCLED NUMBER FIFTEEN
246F	ncls-sixteencircle	CIRCLED NUMBER SIXTEEN
2470	ncls-seventeencircle	CIRCLED NUMBER SEVENTEEN
2471	ncls-eighteencircle	CIRCLED NUMBER EIGHTEEN
2472	ncls-nineteencircle	CIRCLED NUMBER NINETEEN
2473	ncls-twentycircle	CIRCLED NUMBER TWENTY
2474	ncls-oneparenthesized	PARENTHESIZED DIGIT ONE
2475	ncls-twoparenthesized	PARENTHESIZED DIGIT TWO
2476	ncls-threeparenthesized	PARENTHESIZED DIGIT THREE
2477	ncls-fourparenthesized	PARENTHESIZED DIGIT FOUR
2478	ncls-fiveparenthesized	PARENTHESIZED DIGIT FIVE
2479	ncls-sixparenthesized	PARENTHESIZED DIGIT SIX
247A	ncls-sevenparenthesized	PARENTHESIZED DIGIT SEVEN
247B	ncls-eightparenthesized	PARENTHESIZED DIGIT EIGHT
247C	ncls-nineparenthesized	PARENTHESIZED DIGIT NINE
247D	ncls-tenparenthesized	PARENTHESIZED NUMBER TEN
247E	ncls-elevenparenthesized	PARENTHESIZED NUMBER ELEVEN
247F	ncls-twelveparenthesized	PARENTHESIZED NUMBER TWELVE
2480	ncls-thirteenparenthesized	PARENTHESIZED NUMBER THIRTEEN
2481	ncls-fourteenparenthesized	PARENTHESIZED NUMBER FOURTEEN
2482	ncls-fifteenparenthesized	PARENTHESIZED NUMBER FIFTEEN
2483	ncls-sixteenparenthesized	PARENTHESIZED NUMBER SIXTEEN
2484	ncls-seventeenparenthesized	PARENTHESIZED NUMBER SEVENTEEN
2485	ncls-eighteenparenthesized	PARENTHESIZED NUMBER EIGHTEEN
2486	ncls-nineteenparenthesized	PARENTHESIZED NUMBER NINETEEN
2487	ncls-twentyparenthesized	PARENTHESIZED NUMBER TWENTY
2488	ncls-oneperiod	DIGIT ONE FULL STOP
2489	ncls-twoperiod	DIGIT TWO FULL STOP
248A	ncls-threeperiod	DIGIT THREE FULL STOP
248B	ncls-fourperiod	DIGIT FOUR FULL STOP
248C	ncls-fiveperiod	DIGIT FIVE FULL STOP
248D	ncls-sixperiod	DIGIT SIX FULL STOP
248E	ncls-sevenperiod	DIGIT SEVEN FULL STOP
248F	ncls-eightperiod	DIGIT EIGHT FULL STOP
2490	ncls-nineperiod	DIGIT NINE FULL STOP
2491	ncls-tenperiod	NUMBER TEN FULL STOP
2492	ncls-elevenperiod	NUMBER ELEVEN FULL STOP
2493	ncls-twelveperiod	NUMBER TWELVE FULL STOP
2494	ncls-thirteenperiod	NUMBER THIRTEEN FULL STOP
2495	ncls-fourteenperiod	NUMBER FOURTEEN FULL STOP
2496	ncls-fifteenperiod	NUMBER FIFTEEN FULL STOP
2497	ncls-sixteenperiod	NUMBER SIXTEEN FULL STOP
2498	ncls-seventeenperiod	NUMBER SEVENTEEN FULL STOP
2499	ncls-eighteenperiod	NUMBER EIGHTEEN FULL STOP
249A	ncls-nineteenperiod	NUMBER NINETEEN FULL STOP
249B	ncls-twentyperiod	NUMBER TWENTY FULL STOP
249C	ncls-aparenthesized	PARENTHESIZED LATIN SMALL LETTER A
249D	ncls-bparenthesized	PARENTHESIZED LATIN SMALL LETTER B
249E	ncls-cparenthesized	PARENTHESIZED LATIN SMALL LETTER C
249F	ncls-dparenthesized	PARENTHESIZED LATIN SMALL LETTER D
24A0	ncls-eparenthesized	PARENTHESIZED LATIN SMALL LETTER E
24A1	ncls-fparenthesized	PARENTHESIZED LATIN SMALL LETTER F
24A2	ncls-gparenthesized	PARENTHESIZED LATIN SMALL LETTER G
24A3	ncls-hparenthesized	PARENTHESIZED LATIN SMALL LETTER H
24A4	ncls-iparenthesized	PARENTHESIZED LATIN SMALL LETTER I
24A5	ncls-jparenthesized	PARENTHESIZED LATIN SMALL LETTER J
24A6	ncls-kparenthesized	PARENTHESIZED LATIN SMALL LETTER K
24A7	ncls-lparenthesized	PARENTHESIZED LATIN SMALL LETTER L
24A8	ncls-mparenthesized	PARENTHESIZED LATIN SMALL LETTER M
24A9	ncls-nparenthesized	PARENTHESIZED LATIN SMALL LETTER N
24AA	ncls-oparenthesized	PARENTHESIZED LATIN SMALL LETTER O
24AB	ncls-pparenthesized	PARENTHESIZED LATIN SMALL LETTER P
24AC	ncls-qparenthesized	PARENTHESIZED LATIN SMALL LETTER Q
24AD	ncls-rparenthesized	PARENTHESIZED LATIN SMALL LETTER R
24AE	ncls-sparenthesized	PARENTHESIZED LATIN SMALL LETTER S
24AF	ncls-tparenthesized	PARENTHESIZED LATIN SMALL LETTER T
24B0	ncls-uparenthesized	PARENTHESIZED LATIN SMALL LETTER U
24B1	ncls-vparenthesized	PARENTHESIZED LATIN SMALL LETTER V
24B2	ncls-wparenthesized	PARENTHESIZED LATIN SMALL LETTER W
24B3	ncls-xparenthesized	PARENTHESIZED LATIN SMALL LETTER X
24B4	ncls-yparenthesized	PARENTHESIZED LATIN SMALL LETTER Y
24B5	ncls-zparenthesized	PARENTHESIZED LATIN SMALL LETTER Z
24B6	ncls-Acircle	CIRCLED LATIN CAPITAL LETTER A
24B7	ncls-Bcircle	CIRCLED LATIN CAPITAL LETTER B
24B8	ncls-Ccircle	CIRCLED LATIN CAPITAL LETTER C
24B9	ncls-Dcircle	CIRCLED LATIN CAPITAL LETTER D
24BA	ncls-Ecircle	CIRCLED LATIN CAPITAL LETTER E
24BB	ncls-Fcircle	CIRCLED LATIN CAPITAL LETTER F
24BC	ncls-Gcircle	CIRCLED LATIN CAPITAL LETTER G
24BD	ncls-Hcircle	CIRCLED LATIN CAPITAL LETTER H
24BE	ncls-Icircle	CIRCLED LATIN CAPITAL LETTER I
24BF	ncls-Jcircle	CIRCLED LATIN CAPITAL LETTER J
24C0	ncls-Kcircle	CIRCLED LATIN CAPITAL LETTER K
24C1	ncls-Lcircle	CIRCLED LATIN CAPITAL LETTER L
24C2	ncls-Mcircle	CIRCLED LATIN CAPITAL LETTER M
24C3	ncls-Ncircle	CIRCLED LATIN CAPITAL LETTER N
24C4	ncls-Ocircle	CIRCLED LATIN CAPITAL LETTER O
24C5	ncls-Pcircle	CIRCLED LATIN CAPITAL LETTER P
24C6	ncls-Qcircle	CIRCLED LATIN CAPITAL LETTER Q
24C7	ncls-Rcircle	CIRCLED LATIN CAPITAL LETTER R
24C8	ncls-Scircle	CIRCLED LATIN CAPITAL LETTER S
24C9	ncls-Tcircle	CIRCLED LATIN CAPITAL LETTER T
24CA	ncls-Ucircle	CIRCLED LATIN CAPITAL LETTER U
24CB	ncls-Vcircle	CIRCLED LATIN CAPITAL LETTER V
24CC	ncls-Wcircle	CIRCLED LATIN CAPITAL LETTER W
24CD	ncls-Xcircle	CIRCLED LATIN CAPITAL LETTER X
24CE	ncls-Ycircle	CIRCLED LATIN CAPITAL LETTER Y
24CF	ncls-Zcircle	CIRCLED LATIN CAPITAL LETTER Z
24D0	ncls-acircle	CIRCLED LATIN SMALL LETTER A
24D1	ncls-bcircle	CIRCLED LATIN SMALL LETTER B
24D2	ncls-ccircle	CIRCLED LATIN SMALL LETTER C
24D3	ncls-dcircle	CIRCLED LATIN SMALL LETTER D
24D4	ncls-ecircle	CIRCLED LATIN SMALL LETTER E
24D5	ncls-fcircle	CIRCLED LATIN SMALL LETTER F
24D6	ncls-gcircle	CIRCLED LATIN SMALL LETTER G
24D7	ncls-hcircle	CIRCLED LATIN SMALL LETTER H
24D8	ncls-icircle	CIRCLED LATIN SMALL LETTER I
24D9	ncls-jcircle	CIRCLED LATIN SMALL LETTER J
24DA	ncls-kcircle	CIRCLED LATIN SMALL LETTER K
24DB	ncls-lcircle	CIRCLED LATIN SMALL LETTER L
24DC	ncls-mcircle	CIRCLED LATIN SMALL LETTER M
24DD	ncls-ncircle	CIRCLED LATIN SMALL LETTER N
24DE	ncls-ocircle	CIRCLED LATIN SMALL LETTER O
24DF	ncls-pcircle	CIRCLED LATIN SMALL LETTER P
24E0	ncls-qcircle	CIRCLED LATIN SMALL LETTER Q
24E1	ncls-rcircle	CIRCLED LATIN SMALL LETTER R
24E2	ncls-scircle	CIRCLED LATIN SMALL LETTER S
24E3	ncls-tcircle	CIRCLED LATIN SMALL LETTER T
24E4	ncls-ucircle	CIRCLED LATIN SMALL LETTER U
24E5	ncls-vcircle	CIRCLED LATIN SMALL LETTER V
24E6	ncls-wcircle	CIRCLED LATIN SMALL LETTER W
24E7	ncls-xcircle	CIRCLED LATIN SMALL LETTER X
24E8	ncls-ycircle	CIRCLED LATIN SMALL LETTER Y
24E9	ncls-zcircle	CIRCLED LATIN SMALL LETTER Z
24EA	ncls-zerocircle	CIRCLED DIGIT ZERO
24EB	ncls-elevencircleblack	NEGATIVE CIRCLED NUMBER ELEVEN
24EC	ncls-twelvecircleblack	NEGATIVE CIRCLED NUMBER TWELVE
24ED	ncls-thirteencircleblack	NEGATIVE CIRCLED NUMBER THIRTEEN
24EE	ncls-fourteencircleblack	NEGATIVE CIRCLED NUMBER FOURTEEN
24EF	ncls-fifteencircleblack	NEGATIVE CIRCLED NUMBER FIFTEEN
