# Enclosed CJK Letters and Months 3200 - 32FF
3200	cjk-hangulkiyeokparen	PARENTHESIZED HANGUL KIYEOK
3201	cjk-hangulnieunparen	PARENTHESIZED HANGUL NIEUN
3202	cjk-hangultikeutparen	PARENTHESIZED HANGUL TIKEUT
3203	cjk-hangulrieulparen	PARENTHESIZED HANGUL RIEUL
3204	cjk-hangulmieumparen	PARENTHESIZED HANGUL MIEUM
3205	cjk-hangulpieupparen	PARENTHESIZED HANGUL PIEUP
3206	cjk-hangulsiosparen	PARENTHESIZED HANGUL SIOS
3207	cjk-hangulieungparen	PARENTHESIZED HANGUL IEUNG
3208	cjk-hangulcieucparen	PARENTHESIZED HANGUL CIEUC
3209	cjk-hangulchieuchparen	PARENTHESIZED HANGUL CHIEUCH
320A	cjk-hangulkhieukhparen	PARENTHESIZED HANGUL KHIEUKH
320B	cjk-hangulthieuthparen	PARENTHESIZED HANGUL THIEUTH
320C	cjk-hangulphieuphparen	PARENTHESIZED HANGUL PHIEUPH
320D	cjk-hangulhieuhparen	PARENTHESIZED HANGUL HIEUH
320E	cjk-hangulkiyeokaparen	PARENTHESIZED HANGUL KIYEOK A
320F	cjk-hangulnieunaparen	PARENTHESIZED HANGUL NIEUN A
3210	cjk-hangultikeutaparen	PARENTHESIZED HANGUL TIKEUT A
3211	cjk-hangulrieulaparen	PARENTHESIZED HANGUL RIEUL A
3212	cjk-hangulmieumaparen	PARENTHESIZED HANGUL MIEUM A
3213	cjk-hangulpieupaparen	PARENTHESIZED HANGUL PIEUP A
3214	cjk-hangulsiosaparen	PARENTHESIZED HANGUL SIOS A
3215	cjk-hangulieungaparen	PARENTHESIZED HANGUL IEUNG A
3216	cjk-hangulcieucaparen	PARENTHESIZED HANGUL CIEUC A
3217	cjk-hangulchieuchaparen	PARENTHESIZED HANGUL CHIEUCH A
3218	cjk-hangulkhieukhaparen	PARENTHESIZED HANGUL KHIEUKH A
3219	cjk-hangulthieuthaparen	PARENTHESIZED HANGUL THIEUTH A
321A	cjk-hangulphieuphaparen	PARENTHESIZED HANGUL PHIEUPH A
321B	cjk-hangulhieuhaparen	PARENTHESIZED HANGUL HIEUH A
321C	cjk-hangulcieucuparen	PARENTHESIZED HANGUL CIEUC U
321D	cjk-ojeonparen	PARENTHESIZED KOREAN CHARACTER OJEON
321E	cjk-ohuparen	PARENTHESIZED KOREAN CHARACTER O HU
3220	cjk-oneideographicparen	PARENTHESIZED IDEOGRAPH ONE
3221	cjk-twoideographicparen	PARENTHESIZED IDEOGRAPH TWO
3222	cjk-threeideographicparen	PARENTHESIZED IDEOGRAPH THREE
3223	cjk-fourideographicparen	PARENTHESIZED IDEOGRAPH FOUR
3224	cjk-fiveideographicparen	PARENTHESIZED IDEOGRAPH FIVE
3225	cjk-sixideographicparen	PARENTHESIZED IDEOGRAPH SIX
3226	cjk-sevenideographicparen	PARENTHESIZED IDEOGRAPH SEVEN
3227	cjk-eightideographicparen	PARENTHESIZED IDEOGRAPH EIGHT
3228	cjk-nineideographicparen	PARENTHESIZED IDEOGRAPH NINE
3229	cjk-tenideographicparen	PARENTHESIZED IDEOGRAPH TEN
322A	cjk-moonideographicparen	PARENTHESIZED IDEOGRAPH MOON
322B	cjk-fireideographicparen	PARENTHESIZED IDEOGRAPH FIRE
322C	cjk-waterideographicparen	PARENTHESIZED IDEOGRAPH WATER
322D	cjk-woodideographicparen	PARENTHESIZED IDEOGRAPH WOOD
322E	cjk-metalideographicparen	PARENTHESIZED IDEOGRAPH METAL
322F	cjk-earthideographicparen	PARENTHESIZED IDEOGRAPH EARTH
3230	cjk-sunideographicparen	PARENTHESIZED IDEOGRAPH SUN
3231	cjk-stockideographicparen	PARENTHESIZED IDEOGRAPH STOCK
3232	cjk-haveideographicparen	PARENTHESIZED IDEOGRAPH HAVE
3233	cjk-societyideographicparen	PARENTHESIZED IDEOGRAPH SOCIETY
3234	cjk-nameideographicparen	PARENTHESIZED IDEOGRAPH NAME
3235	cjk-specialideographicparen	PARENTHESIZED IDEOGRAPH SPECIAL
3236	cjk-financialideographicparen	PARENTHESIZED IDEOGRAPH FINANCIAL
3237	cjk-congratulationideographicparen	PARENTHESIZED IDEOGRAPH CONGRATULATION
3238	cjk-laborideographicparen	PARENTHESIZED IDEOGRAPH LABOR
3239	cjk-representideographicparen	PARENTHESIZED IDEOGRAPH REPRESENT
