# Ethiopic 1200 - 137F
1200	ethiopicsyllableha	ETHIOPIC SYLLABLE HA
1201	ethiopicsyllablehu	ETHIOPIC SYLLABLE HU
1202	ethiopicsyllablehi	ETHIOPIC SYLLABLE HI
1203	ethiopicsyllablehaa	ETHIOPIC SYLLABLE HAA
1204	ethiopicsyllablehee	ETHIOPIC SYLLABLE HEE
1205	ethiopicsyllablehe	ETHIOPIC SYLLABLE HE
1206	ethiopicsyllableho	ETHIOPIC SYLLABLE HO
1207	ethiopicsyllablehoa	ETHIOPIC SYLLABLE HOA
1208	ethiopicsyllablela	ETHIOPIC SYLLABLE LA
1209	ethiopicsyllablelu	ETHIOPIC SYLLABLE LU
120A	ethiopicsyllableli	ETHIOPIC SYLLABLE LI
120B	ethiopicsyllablelaa	ETHIOPIC SYLLABLE LAA
120C	ethiopicsyllablelee	ETHIOPIC SYLLABLE LEE
120D	ethiopicsyllablele	ETHIOPIC SYLLABLE LE
120E	ethiopicsyllablelo	ETHIOPIC SYLLABLE LO
120F	ethiopicsyllablelwa	ETHIOPIC SYLLABLE LWA
1210	ethiopicsyllablehha	ETHIOPIC SYLLABLE HHA
1211	ethiopicsyllablehhu	ETHIOPIC SYLLABLE HHU
1212	ethiopicsyllablehhi	ETHIOPIC SYLLABLE HHI
1213	ethiopicsyllablehhaa	ETHIOPIC SYLLABLE HHAA
1214	ethiopicsyllablehhee	ETHIOPIC SYLLABLE HHEE
1215	ethiopicsyllablehhe	ETHIOPIC SYLLABLE HHE
1216	ethiopicsyllablehho	ETHIOPIC SYLLABLE HHO
1217	ethiopicsyllablehhwa	ETHIOPIC SYLLABLE HHWA
1218	ethiopicsyllablema	ETHIOPIC SYLLABLE MA
1219	ethiopicsyllablemu	ETHIOPIC SYLLABLE MU
121A	ethiopicsyllablemi	ETHIOPIC SYLLABLE MI
121B	ethiopicsyllablemaa	ETHIOPIC SYLLABLE MAA
121C	ethiopicsyllablemee	ETHIOPIC SYLLABLE MEE
121D	ethiopicsyllableme	ETHIOPIC SYLLABLE ME
121E	ethiopicsyllablemo	ETHIOPIC SYLLABLE MO
121F	ethiopicsyllablemwa	ETHIOPIC SYLLABLE MWA
1220	ethiopicsyllablesza	ETHIOPIC SYLLABLE SZA
1221	ethiopicsyllableszu	ETHIOPIC SYLLABLE SZU
1222	ethiopicsyllableszi	ETHIOPIC SYLLABLE SZI
1223	ethiopicsyllableszaa	ETHIOPIC SYLLABLE SZAA
1224	ethiopicsyllableszee	ETHIOPIC SYLLABLE SZEE
1225	ethiopicsyllablesze	ETHIOPIC SYLLABLE SZE
1226	ethiopicsyllableszo	ETHIOPIC SYLLABLE SZO
1227	ethiopicsyllableszwa	ETHIOPIC SYLLABLE SZWA
1228	ethiopicsyllablera	ETHIOPIC SYLLABLE RA
1229	ethiopicsyllableru	ETHIOPIC SYLLABLE RU
122A	ethiopicsyllableri	ETHIOPIC SYLLABLE RI
122B	ethiopicsyllableraa	ETHIOPIC SYLLABLE RAA
122C	ethiopicsyllableree	ETHIOPIC SYLLABLE REE
122D	ethiopicsyllablere	ETHIOPIC SYLLABLE RE
122E	ethiopicsyllablero	ETHIOPIC SYLLABLE RO
122F	ethiopicsyllablerwa	ETHIOPIC SYLLABLE RWA
1230	ethiopicsyllablesa	ETHIOPIC SYLLABLE SA
1231	ethiopicsyllablesu	ETHIOPIC SYLLABLE SU
1232	ethiopicsyllablesi	ETHIOPIC SYLLABLE SI
1233	ethiopicsyllablesaa	ETHIOPIC SYLLABLE SAA
1234	ethiopicsyllablesee	ETHIOPIC SYLLABLE SEE
1235	ethiopicsyllablese	ETHIOPIC SYLLABLE SE
1236	ethiopicsyllableso	ETHIOPIC SYLLABLE SO
1237	ethiopicsyllableswa	ETHIOPIC SYLLABLE SWA
1238	ethiopicsyllablesha	ETHIOPIC SYLLABLE SHA
1239	ethiopicsyllableshu	ETHIOPIC SYLLABLE SHU
123A	ethiopicsyllableshi	ETHIOPIC SYLLABLE SHI
123B	ethiopicsyllableshaa	ETHIOPIC SYLLABLE SHAA
123C	ethiopicsyllableshee	ETHIOPIC SYLLABLE SHEE
