# Ethiopic Extended 2D80 - 2DDF
2D80	thpc-ethiopicsyllableloa	ETHIOPIC SYLLABLE LOA
2D81	thpc-ethiopicsyllablemoa	ETHIOPIC SYLLABLE MOA
2D82	thpc-ethiopicsyllableroa	ETHIOPIC SYLLABLE ROA
2D83	thpc-ethiopicsyllablesoa	ETHIOPIC SYLLABLE SOA
2D84	thpc-ethiopicsyllableshoa	ETHIOPIC SYLLABLE SHOA
2D85	thpc-ethiopicsyllableboa	ETHIOPIC SYLLABLE BOA
2D86	thpc-ethiopicsyllabletoa	ETHIOPIC SYLLABLE TOA
2D87	thpc-ethiopicsyllablecoa	ETHIOPIC SYLLABLE COA
2D88	thpc-ethiopicsyllablenoa	ETHIOPIC SYLLABLE NOA
2D89	thpc-ethiopicsyllablenyoa	ETHIOPIC SYLLABLE NYOA
2D8A	thpc-ethiopicsyllableglottaloa	ETHIOPIC SYLLABLE GLOTTAL OA
2D8B	thpc-ethiopicsyllablezoa	ETHIOPIC SYLLABLE ZOA
2D8C	thpc-ethiopicsyllabledoa	ETHIOPIC SYLLABLE DOA
2D8D	thpc-ethiopicsyllableddoa	ETHIOPIC SYLLABLE DDOA
2D8E	thpc-ethiopicsyllablejoa	ETHIOPIC SYLLABLE JOA
2D8F	thpc-ethiopicsyllablethoa	ETHIOPIC SYLLABLE THOA
2D90	thpc-ethiopicsyllablechoa	ETHIOPIC SYLLABLE CHOA
2D91	thpc-ethiopicsyllablephoa	ETHIOPIC SYLLABLE PHOA
2D92	thpc-ethiopicsyllablepoa	ETHIOPIC SYLLABLE POA
2D93	thpc-ethiopicsyllableggwa	ETHIOPIC SYLLABLE GGWA
2D94	thpc-ethiopicsyllableggwi	ETHIOPIC SYLLABLE GGWI
2D95	thpc-ethiopicsyllableggwee	ETHIOPIC SYLLABLE GGWEE
2D96	thpc-ethiopicsyllableggwe	ETHIOPIC SYLLABLE GGWE
2DA0	thpc-ethiopicsyllablessa	ETHIOPIC SYLLABLE SSA
2DA1	thpc-ethiopicsyllablessu	ETHIOPIC SYLLABLE SSU
2DA2	thpc-ethiopicsyllablessi	ETHIOPIC SYLLABLE SSI
2DA3	thpc-ethiopicsyllablessaa	ETHIOPIC SYLLABLE SSAA
2DA4	thpc-ethiopicsyllablessee	ETHIOPIC SYLLABLE SSEE
2DA5	thpc-ethiopicsyllablesse	ETHIOPIC SYLLABLE SSE
2DA6	thpc-ethiopicsyllablesso	ETHIOPIC SYLLABLE SSO
2DA8	thpc-ethiopicsyllablecca	ETHIOPIC SYLLABLE CCA
2DA9	thpc-ethiopicsyllableccu	ETHIOPIC SYLLABLE CCU
2DAA	thpc-ethiopicsyllablecci	ETHIOPIC SYLLABLE CCI
2DAB	thpc-ethiopicsyllableccaa	ETHIOPIC SYLLABLE CCAA
2DAC	thpc-ethiopicsyllableccee	ETHIOPIC SYLLABLE CCEE
2DAD	thpc-ethiopicsyllablecce	ETHIOPIC SYLLABLE CCE
2DAE	thpc-ethiopicsyllablecco	ETHIOPIC SYLLABLE CCO
2DB0	thpc-ethiopicsyllablezza	ETHIOPIC SYLLABLE ZZA
2DB1	thpc-ethiopicsyllablezzu	ETHIOPIC SYLLABLE ZZU
2DB2	thpc-ethiopicsyllablezzi	ETHIOPIC SYLLABLE ZZI
2DB3	thpc-ethiopicsyllablezzaa	ETHIOPIC SYLLABLE ZZAA
2DB4	thpc-ethiopicsyllablezzee	ETHIOPIC SYLLABLE ZZEE
2DB5	thpc-ethiopicsyllablezze	ETHIOPIC SYLLABLE ZZE
2DB6	thpc-ethiopicsyllablezzo	ETHIOPIC SYLLABLE ZZO
2DB8	thpc-ethiopicsyllableccha	ETHIOPIC SYLLABLE CCHA
