# General Punctuation 2000 - 206F
2000	gnrl-enquad	EN QUAD
2001	gnrl-emquad	EM QUAD
2002	gnrl-enspace	EN SPACE
2003	gnrl-emspace	EM SPACE
2004	gnrl-threeperemspace	THREE-PER-EM SPACE
2005	gnrl-fourperemspace	FOUR-PER-EM SPACE
2006	gnrl-sixperemspace	SIX-PER-EM SPACE
2007	gnrl-figurespace	FIGURE SPACE
2008	gnrl-punctuationspace	PUNCTUATION SPACE
2009	gnrl-thinspace	THIN SPACE
200A	gnrl-hairspace	HAIR SPACE
200B	gnrl-zerowidthspace	ZERO WIDTH SPACE
200C	gnrl-zerowidthnonjoiner	ZERO WIDTH NON-JOINER
200D	gnrl-zerowidthjoiner	ZERO WIDTH JOINER
200E	gnrl-lefttorightmark	LEFT-TO-RIGHT MARK
200F	gnrl-righttoleftmark	RIGHT-TO-LEFT MARK
2010	gnrl-hyphen	HYPHEN
2011	gnrl-nonbreakinghyphen	NON-BREAKING HYPHEN
2012	gnrl-figuredash	FIGURE DASH
2013	gnrl-endash	EN DASH
2014	gnrl-emdash	EM DASH
2015	gnrl-horizontalbar	HORIZONTAL BAR
2016	gnrl-verticalbardbl	DOUBLE VERTICAL LINE
2017	gnrl-underscoredbl	DOUBLE LOW LINE
2018	gnrl-quoteleft	LEFT SINGLE QUOTATION MARK
2019	gnrl-quoteright	RIGHT SINGLE QUOTATION MARK
201A	gnrl-quotesinglbase	SINGLE LOW-9 QUOTATION MARK
201B	gnrl-quotereversed	SINGLE HIGH-REVERSED-9 QUOTATION MARK
201C	gnrl-quotedblleft	LEFT DOUBLE QUOTATION MARK
201D	gnrl-quotedblright	RIGHT DOUBLE QUOTATION MARK
201E	gnrl-quotedblbase	DOUBLE LOW-9 QUOTATION MARK
201F	gnrl-quotedblreversed	DOUBLE HIGH-REVERSED-9 QUOTATION MARK
2020	gnrl-dagger	DAGGER
2021	gnrl-daggerdbl	DOUBLE DAGGER
2022	gnrl-bullet	BULLET
2023	gnrl-triangularbullet	TRIANGULAR BULLET
2024	gnrl-onedotenleader	ONE DOT LEADER
2025	gnrl-twodotenleader	TWO DOT LEADER
2026	gnrl-ellipsis	HORIZONTAL ELLIPSIS
2027	gnrl-hyphenationpoint	HYPHENATION POINT
2028	gnrl-lineseparator	LINE SEPARATOR
2029	gnrl-paragraphseparator	PARAGRAPH SEPARATOR
202A	gnrl-lefttorightembed	LEFT-TO-RIGHT EMBEDDING
202B	gnrl-righttoleftembed	RIGHT-TO-LEFT EMBEDDING
202C	gnrl-popdirectionalformatting	POP DIRECTIONAL FORMATTING
202D	gnrl-lefttorightoverride	LEFT-TO-RIGHT OVERRIDE
202E	gnrl-righttoleftoverride	RIGHT-TO-LEFT OVERRIDE
202F	gnrl-narrownobreakspace	NARROW NO-BREAK SPACE
2030	gnrl-perthousand	PER MILLE SIGN
2031	gnrl-pertenthousandsign	PER TEN THOUSAND SIGN
2032	gnrl-minute	PRIME
2033	gnrl-second	DOUBLE PRIME
2034	gnrl-millisecond	TRIPLE PRIME
2035	gnrl-minutereversed	REVERSED PRIME
2036	gnrl-secondreversed	REVERSED DOUBLE PRIME
2037	gnrl-millisecondreversed	REVERSED TRIPLE PRIME
2038	gnrl-caret	CARET
2039	gnrl-guilsinglleft	SINGLE LEFT-POINTING ANGLE QUOTATION MARK
203A	gnrl-guilsinglright	SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
203B	gnrl-referencemark	REFERENCE MARK
203C	gnrl-exclamdbl	DOUBLE EXCLAMATION MARK
203D	gnrl-interrobang	INTERROBANG
203E	gnrl-overline	OVERLINE
203F	gnrl-undertie	UNDERTIE
2040	gnrl-charactertie	CHARACTER TIE
2041	gnrl-caretinsertionpoint	CARET INSERTION POINT
2042	gnrl-asterism	ASTERISM
2043	gnrl-hyphenbullet	HYPHEN BULLET
2044	gnrl-fraction	FRACTION SLASH
2045	gnrl-bracketleftsquarequill	LEFT SQUARE BRACKET WITH QUILL
2046	gnrl-bracketrightsquarequill	RIGHT SQUARE BRACKET WITH QUILL
2047	gnrl-questiondbl	DOUBLE QUESTION MARK
2048	gnrl-questionexclamationmark	QUESTION EXCLAMATION MARK
2049	gnrl-exclamationquestion	EXCLAMATION QUESTION MARK
204A	gnrl-tironiansignet	TIRONIAN SIGN ET
204B	gnrl-pilcrowsignreversed	REVERSED PILCROW SIGN
204C	gnrl-blackwardsbulletleft	BLACK LEFTWARDS BULLET
204D	gnrl-blackwardsbulletright	BLACK RIGHTWARDS BULLET
204E	gnrl-lowasterisk	LOW ASTERISK
204F	gnrl-semicolonreversed	REVERSED SEMICOLON
2050	gnrl-closeup	CLOSE UP
2051	gnrl-twoasterisksalignedvertically	TWO ASTERISKS ALIGNED VERTICALLY
2052	gnrl-commercialminussign	COMMERCIAL MINUS SIGN
