# Geometric Shapes 25A0 - 25FF
25A0	gmtr-squareblack	BLACK SQUARE
25A1	gmtr-squarewhite	WHITE SQUARE
25A2	gmtr-squarewhiteround	WHITE SQUARE WITH ROUNDED CORNERS
25A3	gmtr-squarewhitewithsquaresmallblack	WHITE SQUARE CONTAINING BLACK SMALL SQUARE
25A4	gmtr-squarehorizontalfill	SQUARE WITH HORIZONTAL FILL
25A5	gmtr-squareverticalfill	SQUARE WITH VERTICAL FILL
25A6	gmtr-squareorthogonalcrosshatchfill	SQUARE WITH ORTHOGONAL CROSSHATCH FILL
25A7	gmtr-squareupperlefttolowerrightfill	SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL
25A8	gmtr-squareupperrighttolowerleftfill	SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL
25A9	gmtr-squarediagonalcrosshatchfill	SQUARE WITH DIAGONAL CROSSHATCH FILL
25AA	gmtr-squaresmallblack	BLACK SMALL SQUARE
25AB	gmtr-squaresmallwhite	WHITE SMALL SQUARE
25AC	gmtr-rectangleblack	BLACK RECTANGLE
25AD	gmtr-rectanglewhite	WHITE RECTANGLE
25AE	gmtr-rectangleverticalblack	BLACK VERTICAL RECTANGLE
25AF	gmtr-rectangleverticalwhite	WHITE VERTICAL RECTANGLE
25B0	gmtr-parallelogramblack	BLACK PARALLELOGRAM
25B1	gmtr-parallelogramwhite	WHITE PARALLELOGRAM
25B2	gmtr-triangleupblack	BLACK UP-POINTING TRIANGLE
25B3	gmtr-triangleupwhite	WHITE UP-POINTING TRIANGLE
25B4	gmtr-triangleupsmallblack	BLACK UP-POINTING SMALL TRIANGLE
25B5	gmtr-triangleupsmallwhite	WHITE UP-POINTING SMALL TRIANGLE
25B6	gmtr-trianglerightblack	BLACK RIGHT-POINTING TRIANGLE
25B7	gmtr-trianglerightwhite	WHITE RIGHT-POINTING TRIANGLE
25B8	gmtr-trianglerightsmallblack	BLACK RIGHT-POINTING SMALL TRIANGLE
25B9	gmtr-trianglerightsmallwhite	WHITE RIGHT-POINTING SMALL TRIANGLE
25BA	gmtr-pointerrightblack	BLACK RIGHT-POINTING POINTER
25BB	gmtr-pointerrightwhite	WHITE RIGHT-POINTING POINTER
25BC	gmtr-triangledownblack	BLACK DOWN-POINTING TRIANGLE
25BD	gmtr-triangledownwhite	WHITE DOWN-POINTING TRIANGLE
25BE	gmtr-triangledownsmallblack	BLACK DOWN-POINTING SMALL TRIANGLE
25BF	gmtr-triangledownsmallwhite	WHITE DOWN-POINTING SMALL TRIANGLE
25C0	gmtr-triangleleftblack	BLACK LEFT-POINTING TRIANGLE
25C1	gmtr-triangleleftwhite	WHITE LEFT-POINTING TRIANGLE
25C2	gmtr-triangleleftsmallblack	BLACK LEFT-POINTING SMALL TRIANGLE
25C3	gmtr-triangleleftsmallwhite	WHITE LEFT-POINTING SMALL TRIANGLE
25C4	gmtr-pointerleftblack	BLACK LEFT-POINTING POINTER
25C5	gmtr-pointerleftwhite	WHITE LEFT-POINTING POINTER
25C6	gmtr-diamondblack	BLACK DIAMOND
25C7	gmtr-diamondwhite	WHITE DIAMOND
25C8	gmtr-diamondwhitewithdiamondsmallblack	WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND
25C9	gmtr-fisheye	FISHEYE
25CA	gmtr-lozenge	LOZENGE
25CB	gmtr-circlewhite	WHITE CIRCLE
25CC	gmtr-circledotted	DOTTED CIRCLE
25CD	gmtr-circleverticalfill	CIRCLE WITH VERTICAL FILL
25CE	gmtr-bullseye	BULLSEYE
25CF	gmtr-circleblack	BLACK CIRCLE
25D0	gmtr-circlehalfleftblack	CIRCLE WITH LEFT HALF BLACK
25D1	gmtr-circlehalfrightblack	CIRCLE WITH RIGHT HALF BLACK
25D2	gmtr-circlelowerhalfblack	CIRCLE WITH LOWER HALF BLACK
25D3	gmtr-circleupperhalfblack	CIRCLE WITH UPPER HALF BLACK
