# Georgian 10A0 - 10FF
10A0	grgn-georgiancapitalletteran	GEORGIAN CAPITAL LETTER AN
10A1	grgn-georgiancapitalletterban	GEORGIAN CAPITAL LETTER BAN
10A2	grgn-georgiancapitallettergan	GEORGIAN CAPITAL LETTER GAN
10A3	grgn-georgiancapitalletterdon	GEORGIAN CAPITAL LETTER DON
10A4	grgn-georgiancapitalletteren	GEORGIAN CAPITAL LETTER EN
10A5	grgn-georgiancapitallettervin	GEORGIAN CAPITAL LETTER VIN
10A6	grgn-georgiancapitalletterzen	GEORGIAN CAPITAL LETTER ZEN
10A7	grgn-georgiancapitallettertan	GEORGIAN CAPITAL LETTER TAN
10A8	grgn-georgiancapitalletterin	GEORGIAN CAPITAL LETTER IN
10A9	grgn-georgiancapitalletterkan	GEORGIAN CAPITAL LETTER KAN
10AA	grgn-georgiancapitalletterlas	GEORGIAN CAPITAL LETTER LAS
10AB	grgn-georgiancapitalletterman	GEORGIAN CAPITAL LETTER MAN
10AC	grgn-georgiancapitalletternar	GEORGIAN CAPITAL LETTER NAR
10AD	grgn-georgiancapitalletteron	GEORGIAN CAPITAL LETTER ON
10AE	grgn-georgiancapitalletterpar	GEORGIAN CAPITAL LETTER PAR
10AF	grgn-georgiancapitalletterzhar	GEORGIAN CAPITAL LETTER ZHAR
10B0	grgn-georgiancapitalletterrae	GEORGIAN CAPITAL LETTER RAE
10B1	grgn-georgiancapitallettersan	GEORGIAN CAPITAL LETTER SAN
10B2	grgn-georgiancapitallettertar	GEORGIAN CAPITAL LETTER TAR
10B3	grgn-georgiancapitalletterun	GEORGIAN CAPITAL LETTER UN
10B4	grgn-georgiancapitalletterphar	GEORGIAN CAPITAL LETTER PHAR
10B5	grgn-georgiancapitalletterkhar	GEORGIAN CAPITAL LETTER KHAR
10B6	grgn-georgiancapitalletterghan	GEORGIAN CAPITAL LETTER GHAN
10B7	grgn-georgiancapitalletterqar	GEORGIAN CAPITAL LETTER QAR
10B8	grgn-georgiancapitallettershin	GEORGIAN CAPITAL LETTER SHIN
10B9	grgn-georgiancapitalletterchin	GEORGIAN CAPITAL LETTER CHIN
10BA	grgn-georgiancapitallettercan	GEORGIAN CAPITAL LETTER CAN
10BB	grgn-georgiancapitalletterjil	GEORGIAN CAPITAL LETTER JIL
10BC	grgn-georgiancapitallettercil	GEORGIAN CAPITAL LETTER CIL
10BD	grgn-georgiancapitalletterchar	GEORGIAN CAPITAL LETTER CHAR
10BE	grgn-georgiancapitalletterxan	GEORGIAN CAPITAL LETTER XAN
10BF	grgn-georgiancapitalletterjhan	GEORGIAN CAPITAL LETTER JHAN
10C0	grgn-georgiancapitalletterhae	GEORGIAN CAPITAL LETTER HAE
10C1	grgn-georgiancapitalletterhe	GEORGIAN CAPITAL LETTER HE
10C2	grgn-georgiancapitalletterhie	GEORGIAN CAPITAL LETTER HIE
10C3	grgn-georgiancapitalletterwe	GEORGIAN CAPITAL LETTER WE
10C4	grgn-georgiancapitalletterhar	GEORGIAN CAPITAL LETTER HAR
10C5	grgn-georgiancapitalletterhoe	GEORGIAN CAPITAL LETTER HOE
10D0	grgn-georgianletteran	GEORGIAN LETTER AN
10D1	grgn-georgianletterban	GEORGIAN LETTER BAN
10D2	grgn-georgianlettergan	GEORGIAN LETTER GAN
10D3	grgn-georgianletterdon	GEORGIAN LETTER DON
10D4	grgn-georgianletteren	GEORGIAN LETTER EN
10D5	grgn-georgianlettervin	GEORGIAN LETTER VIN
10D6	grgn-georgianletterzen	GEORGIAN LETTER ZEN
10D7	grgn-georgianlettertan	GEORGIAN LETTER TAN
10D8	grgn-georgianletterin	GEORGIAN LETTER IN
10D9	grgn-georgianletterkan	GEORGIAN LETTER KAN
10DA	grgn-georgianletterlas	GEORGIAN LETTER LAS
10DB	grgn-georgianletterman	GEORGIAN LETTER MAN
10DC	grgn-georgianletternar	GEORGIAN LETTER NAR
10DD	grgn-georgianletteron	GEORGIAN LETTER ON
10DE	grgn-georgianletterpar	GEORGIAN LETTER PAR
10DF	grgn-georgianletterzhar	GEORGIAN LETTER ZHAR
10E0	grgn-georgianletterrae	GEORGIAN LETTER RAE
10E1	grgn-georgianlettersan	GEORGIAN LETTER SAN
10E2	grgn-georgianlettertar	GEORGIAN LETTER TAR
10E3	grgn-georgianletterun	GEORGIAN LETTER UN
10E4	grgn-georgianletterphar	GEORGIAN LETTER PHAR
10E5	grgn-georgianletterkhar	GEORGIAN LETTER KHAR
10E6	grgn-georgianletterghan	GEORGIAN LETTER GHAN
10E7	grgn-georgianletterqar	GEORGIAN LETTER QAR
10E8	grgn-georgianlettershin	GEORGIAN LETTER SHIN
10E9	grgn-georgianletterchin	GEORGIAN LETTER CHIN
10EA	grgn-georgianlettercan	GEORGIAN LETTER CAN
10EB	grgn-georgianletterjil	GEORGIAN LETTER JIL
10EC	grgn-georgianlettercil	GEORGIAN LETTER CIL
10ED	grgn-georgianletterchar	GEORGIAN LETTER CHAR
10EE	grgn-georgianletterxan	GEORGIAN LETTER XAN
10EF	grgn-georgianletterjhan	GEORGIAN LETTER JHAN
