# Georgian Supplement 2D00 - 2D2F
2D00	grgn-georgiansmallletteran	GEORGIAN SMALL LETTER AN
2D01	grgn-georgiansmallletterban	GEORGIAN SMALL LETTER BAN
2D02	grgn-georgiansmalllettergan	GEORGIAN SMALL LETTER GAN
2D03	grgn-georgiansmallletterdon	GEORGIAN SMALL LETTER DON
2D04	grgn-georgiansmallletteren	GEORGIAN SMALL LETTER EN
2D05	grgn-georgiansmalllettervin	GEORGIAN SMALL LETTER VIN
2D06	grgn-georgiansmallletterzen	GEORGIAN SMALL LETTER ZEN
2D07	grgn-georgiansmalllettertan	GEORGIAN SMALL LETTER TAN
2D08	grgn-georgiansmallletterin	GEORGIAN SMALL LETTER IN
2D09	grgn-georgiansmallletterkan	GEORGIAN SMALL LETTER KAN
2D0A	grgn-georgiansmallletterlas	GEORGIAN SMALL LETTER LAS
2D0B	grgn-georgiansmallletterman	GEORGIAN SMALL LETTER MAN
2D0C	grgn-georgiansmallletternar	GEORGIAN SMALL LETTER NAR
2D0D	grgn-georgiansmallletteron	GEORGIAN SMALL LETTER ON
2D0E	grgn-georgiansmallletterpar	GEORGIAN SMALL LETTER PAR
2D0F	grgn-georgiansmallletterzhar	GEORGIAN SMALL LETTER ZHAR
2D10	grgn-georgiansmallletterrae	GEORGIAN SMALL LETTER RAE
2D11	grgn-georgiansmalllettersan	GEORGIAN SMALL LETTER SAN
2D12	grgn-georgiansmalllettertar	GEORGIAN SMALL LETTER TAR
2D13	grgn-georgiansmallletterun	GEORGIAN SMALL LETTER UN
2D14	grgn-georgiansmallletterphar	GEORGIAN SMALL LETTER PHAR
2D15	grgn-georgiansmallletterkhar	GEORGIAN SMALL LETTER KHAR
2D16	grgn-georgiansmallletterghan	GEORGIAN SMALL LETTER GHAN
2D17	grgn-georgiansmallletterqar	GEORGIAN SMALL LETTER QAR
2D18	grgn-georgiansmalllettershin	GEORGIAN SMALL LETTER SHIN
2D19	grgn-georgiansmallletterchin	GEORGIAN SMALL LETTER CHIN
2D1A	grgn-georgiansmalllettercan	GEORGIAN SMALL LETTER CAN
2D1B	grgn-georgiansmallletterjil	GEORGIAN SMALL LETTER JIL
2D1C	grgn-georgiansmalllettercil	GEORGIAN SMALL LETTER CIL
2D1D	grgn-georgiansmallletterchar	GEORGIAN SMALL LETTER CHAR
2D1E	grgn-georgiansmallletterxan	GEORGIAN SMALL LETTER XAN
2D1F	grgn-georgiansmallletterjhan	GEORGIAN SMALL LETTER JHAN
2D20	grgn-georgiansmallletterhae	GEORGIAN SMALL LETTER HAE
2D21	grgn-georgiansmallletterhe	GEORGIAN SMALL LETTER HE
2D22	grgn-georgiansmallletterhie	GEORGIAN SMALL LETTER HIE
2D23	grgn-georgiansmallletterwe	GEORGIAN SMALL LETTER WE
2D24	grgn-georgiansmallletterhar	GEORGIAN SMALL LETTER HAR
2D25	grgn-georgiansmallletterhoe	GEORGIAN SMALL LETTER HOE
