# Gothic 10330 - 1034F
10330	gthc-gothicletterahsa	GOTHIC LETTER AHSA
10331	gthc-gothicletterbairkan	GOTHIC LETTER BAIRKAN
10332	gthc-gothiclettergiba	GOTHIC LETTER GIBA
10333	gthc-gothicletterdags	GOTHIC LETTER DAGS
10334	gthc-gothicletteraihvus	GOTHIC LETTER AIHVUS
10335	gthc-gothicletterqairthra	GOTHIC LETTER QAIRTHRA
10336	gthc-gothicletteriuja	GOTHIC LETTER IUJA
10337	gthc-gothicletterhagl	GOTHIC LETTER HAGL
10338	gthc-gothicletterthiuth	GOTHIC LETTER THIUTH
10339	gthc-gothiclettereis	GOTHIC LETTER EIS
1033A	gthc-gothicletterkusma	GOTHIC LETTER KUSMA
1033B	gthc-gothicletterlagus	GOTHIC LETTER LAGUS
1033C	gthc-gothiclettermanna	GOTHIC LETTER MANNA
1033D	gthc-gothicletternauths	GOTHIC LETTER NAUTHS
1033E	gthc-gothicletterjer	GOTHIC LETTER JER
1033F	gthc-gothicletterurus	GOTHIC LETTER URUS
10340	gthc-gothicletterpairthra	GOTHIC LETTER PAIRTHRA
10341	gthc-gothicletterninety	GOTHIC LETTER NINETY
10342	gthc-gothicletterraida	GOTHIC LETTER RAIDA
10343	gthc-gothiclettersauil	GOTHIC LETTER SAUIL
10344	gthc-gothicletterteiws	GOTHIC LETTER TEIWS
10345	gthc-gothicletterwinja	GOTHIC LETTER WINJA
10346	gthc-gothicletterfaihu	GOTHIC LETTER FAIHU
10347	gthc-gothicletteriggws	GOTHIC LETTER IGGWS
10348	gthc-gothicletterhwair	GOTHIC LETTER HWAIR
10349	gthc-gothicletterothal	GOTHIC LETTER OTHAL
1034A	gthc-gothicletterninehundred	GOTHIC LETTER NINE HUNDRED
