# Greek and Coptic 0370 - 03FF
0370	gr-Heta	GREEK CAPITAL LETTER HETA
0371	gr-heta	GREEK SMALL LETTER HETA
0372	gr-Sampiarchaic	GREEK CAPITAL LETTER ARCHAIC SAMPI
0373	gr-sampiarchaic	GREEK SMALL LETTER ARCHAIC SAMPI
0374	gr-numeralsign	GREEK NUMERAL SIGN
0375	gr-lownumeralsign	GREEK LOWER NUMERAL SIGN
0376	gr-Digammapamphylian	GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA
0377	gr-digammapamphylian	GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
037A	gr-iotalenis	GREEK YPOGEGRAMMENI
037B	gr-sigmalunatereversedsymbol	GREEK SMALL REVERSED LUNATE SIGMA SYMBOL
037C	gr-sigmalunatedottedsymbol	GREEK SMALL DOTTED LUNATE SIGMA SYMBOL
037D	gr-sigmalunatedottedreversedsymbol	GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
037E	gr-question	GREEK QUESTION MARK
0384	gr-tonos	GREEK TONOS
0385	gr-dieresistonos	GREEK DIALYTIKA TONOS
0386	gr-Alpha withtonos	GREEK CAPITAL LETTER ALPHA WITH TONOS
0387	gr-anoteleia	GREEK ANO TELEIA
0388	gr-Epsilon withtonos	GREEK CAPITAL LETTER EPSILON WITH TONOS
0389	gr-Eta withtonos	GREEK CAPITAL LETTER ETA WITH TONOS
038A	gr-Iota withtonos	GREEK CAPITAL LETTER IOTA WITH TONOS
038C	gr-Omicron withtonos	GREEK CAPITAL LETTER OMICRON WITH TONOS
038E	gr-Upsilon withtonos	GREEK CAPITAL LETTER UPSILON WITH TONOS
038F	gr-Omega withtonos	GREEK CAPITAL LETTER OMEGA WITH TONOS
0390	gr-iota dieresis andtonos	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
0391	gr-Alpha	GREEK CAPITAL LETTER ALPHA
0392	gr-Beta	GREEK CAPITAL LETTER BETA
0393	gr-Gamma	GREEK CAPITAL LETTER GAMMA
0394	gr-Delta	GREEK CAPITAL LETTER DELTA
0395	gr-Epsilon	GREEK CAPITAL LETTER EPSILON
0396	gr-Zeta	GREEK CAPITAL LETTER ZETA
0397	gr-Eta	GREEK CAPITAL LETTER ETA
0398	gr-Theta	GREEK CAPITAL LETTER THETA
0399	gr-Iota	GREEK CAPITAL LETTER IOTA
039A	gr-Kappa	GREEK CAPITAL LETTER KAPPA
039B	gr-Lamda	GREEK CAPITAL LETTER LAMDA
039C	gr-Mu	GREEK CAPITAL LETTER MU
039D	gr-Nu	GREEK CAPITAL LETTER NU
039E	gr-Xi	GREEK CAPITAL LETTER XI
039F	gr-Omicron	GREEK CAPITAL LETTER OMICRON
03A0	gr-Pi	GREEK CAPITAL LETTER PI
03A1	gr-Rho	GREEK CAPITAL LETTER RHO
03A3	gr-Sigma	GREEK CAPITAL LETTER SIGMA
03A4	gr-Tau	GREEK CAPITAL LETTER TAU
03A5	gr-Upsilon	GREEK CAPITAL LETTER UPSILON
03A6	gr-Phi	GREEK CAPITAL LETTER PHI
03A7	gr-Chi	GREEK CAPITAL LETTER CHI
03A8	gr-Psi	GREEK CAPITAL LETTER PSI
03A9	gr-Omega	GREEK CAPITAL LETTER OMEGA
03AA	gr-Iota dieresis	GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
03AB	gr-Upsilon dieresis	GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
03AC	gr-alpha withtonos	GREEK SMALL LETTER ALPHA WITH TONOS
03AD	gr-epsilon withtonos	GREEK SMALL LETTER EPSILON WITH TONOS
03AE	gr-eta withtonos	GREEK SMALL LETTER ETA WITH TONOS
03AF	gr-iota withtonos	GREEK SMALL LETTER IOTA WITH TONOS
03B0	gr-upsilon dieresis andtonos	GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
03B1	gr-alpha	GREEK SMALL LETTER ALPHA
03B2	gr-beta	GREEK SMALL LETTER BETA
03B3	gr-gamma	GREEK SMALL LETTER GAMMA
03B4	gr-delta	GREEK SMALL LETTER DELTA
03B5	gr-epsilon	GREEK SMALL LETTER EPSILON
03B6	gr-zeta	GREEK SMALL LETTER ZETA
03B7	gr-eta	GREEK SMALL LETTER ETA
03B8	gr-theta	GREEK SMALL LETTER THETA
03B9	gr-iota	GREEK SMALL LETTER IOTA
03BA	gr-kappa	GREEK SMALL LETTER KAPPA
03BB	gr-lamda	GREEK SMALL LETTER LAMDA
03BC	gr-mu	GREEK SMALL LETTER MU
03BD	gr-nu	GREEK SMALL LETTER NU
03BE	gr-xi	GREEK SMALL LETTER XI
03BF	gr-omicron	GREEK SMALL LETTER OMICRON
03C0	gr-pi	GREEK SMALL LETTER PI
03C1	gr-rho	GREEK SMALL LETTER RHO
03C2	gr-final sigma	GREEK SMALL LETTER FINAL SIGMA
03C3	gr-sigma	GREEK SMALL LETTER SIGMA
03C4	gr-tau	GREEK SMALL LETTER TAU
03C5	gr-upsilon	GREEK SMALL LETTER UPSILON
03C6	gr-phi	GREEK SMALL LETTER PHI
03C7	gr-chi	GREEK SMALL LETTER CHI
03C8	gr-psi	GREEK SMALL LETTER PSI
03C9	gr-omega	GREEK SMALL LETTER OMEGA
03CA	gr-iota dieresis	GREEK SMALL LETTER IOTA WITH DIALYTIKA
03CB	gr-upsilon dieresis	GREEK SMALL LETTER UPSILON WITH DIALYTIKA
03CC	gr-omicron withtonos	GREEK SMALL LETTER OMICRON WITH TONOS
03CD	gr-upsilon withtonos	GREEK SMALL LETTER UPSILON WITH TONOS
03CE	gr-omega withtonos	GREEK SMALL LETTER OMEGA WITH TONOS
03CF	gr-Kaisymbol	GREEK CAPITAL KAI SYMBOL
03D0	gr-betasymbol	GREEK BETA SYMBOL
03D1	gr-theta.math	GREEK THETA SYMBOL
03D2	gr-Upsilonhooksymbol	GREEK UPSILON WITH HOOK SYMBOL
03D3	gr-Upsilonacutehooksymbol	GREEK UPSILON WITH ACUTE AND HOOK SYMBOL
03D4	gr-Upsilonadieresishooksymbol	GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL
03D5	gr-phi.math	GREEK PHI SYMBOL
03D6	gr-pi.math	GREEK PI SYMBOL
