# Gurmukhi 0A00 - 0A7F
0A01	grmk-gurmukhisignadakbindi	GURMUKHI SIGN ADAK BINDI
0A02	grmk-gurmukhisignbindi	GURMUKHI SIGN BINDI
0A03	grmk-gurmukhisignvisarga	GURMUKHI SIGN VISARGA
0A05	grmk-gurmukhilettera	GURMUKHI LETTER A
0A06	grmk-gurmukhiletteraa	GURMUKHI LETTER AA
0A07	grmk-gurmukhiletteri	GURMUKHI LETTER I
0A08	grmk-gurmukhiletterii	GURMUKHI LETTER II
0A09	grmk-gurmukhiletteru	GURMUKHI LETTER U
0A0A	grmk-gurmukhiletteruu	GURMUKHI LETTER UU
0A0F	grmk-gurmukhiletteree	GURMUKHI LETTER EE
0A10	grmk-gurmukhiletterai	GURMUKHI LETTER AI
0A13	grmk-gurmukhiletteroo	GURMUKHI LETTER OO
0A14	grmk-gurmukhiletterau	GURMUKHI LETTER AU
0A15	grmk-gurmukhiletterka	GURMUKHI LETTER KA
0A16	grmk-gurmukhiletterkha	GURMUKHI LETTER KHA
0A17	grmk-gurmukhiletterga	GURMUKHI LETTER GA
0A18	grmk-gurmukhilettergha	GURMUKHI LETTER GHA
0A19	grmk-gurmukhiletternga	GURMUKHI LETTER NGA
0A1A	grmk-gurmukhiletterca	GURMUKHI LETTER CA
0A1B	grmk-gurmukhilettercha	GURMUKHI LETTER CHA
0A1C	grmk-gurmukhiletterja	GURMUKHI LETTER JA
0A1D	grmk-gurmukhiletterjha	GURMUKHI LETTER JHA
0A1E	grmk-gurmukhiletternya	GURMUKHI LETTER NYA
0A1F	grmk-gurmukhilettertta	GURMUKHI LETTER TTA
0A20	grmk-gurmukhiletterttha	GURMUKHI LETTER TTHA
0A21	grmk-gurmukhiletterdda	GURMUKHI LETTER DDA
0A22	grmk-gurmukhiletterddha	GURMUKHI LETTER DDHA
0A23	grmk-gurmukhiletternna	GURMUKHI LETTER NNA
0A24	grmk-gurmukhiletterta	GURMUKHI LETTER TA
0A25	grmk-gurmukhilettertha	GURMUKHI LETTER THA
0A26	grmk-gurmukhiletterda	GURMUKHI LETTER DA
0A27	grmk-gurmukhiletterdha	GURMUKHI LETTER DHA
0A28	grmk-gurmukhiletterna	GURMUKHI LETTER NA
0A2A	grmk-gurmukhiletterpa	GURMUKHI LETTER PA
0A2B	grmk-gurmukhiletterpha	GURMUKHI LETTER PHA
0A2C	grmk-gurmukhiletterba	GURMUKHI LETTER BA
0A2D	grmk-gurmukhiletterbha	GURMUKHI LETTER BHA
0A2E	grmk-gurmukhiletterma	GURMUKHI LETTER MA
0A2F	grmk-gurmukhiletterya	GURMUKHI LETTER YA
0A30	grmk-gurmukhiletterra	GURMUKHI LETTER RA
0A32	grmk-gurmukhiletterla	GURMUKHI LETTER LA
0A33	grmk-gurmukhiletterlla	GURMUKHI LETTER LLA
0A35	grmk-gurmukhiletterva	GURMUKHI LETTER VA
0A36	grmk-gurmukhilettersha	GURMUKHI LETTER SHA
0A38	grmk-gurmukhilettersa	GURMUKHI LETTER SA
0A39	grmk-gurmukhiletterha	GURMUKHI LETTER HA
0A3C	grmk-gurmukhisignnukta	GURMUKHI SIGN NUKTA
0A3E	grmk-gurmukhivowelsignaa	GURMUKHI VOWEL SIGN AA
0A3F	grmk-gurmukhivowelsigni	GURMUKHI VOWEL SIGN I
0A40	grmk-gurmukhivowelsignii	GURMUKHI VOWEL SIGN II
0A41	grmk-gurmukhivowelsignu	GURMUKHI VOWEL SIGN U
0A42	grmk-gurmukhivowelsignuu	GURMUKHI VOWEL SIGN UU
0A47	grmk-gurmukhivowelsignee	GURMUKHI VOWEL SIGN EE
0A48	grmk-gurmukhivowelsignai	GURMUKHI VOWEL SIGN AI
0A4B	grmk-gurmukhivowelsignoo	GURMUKHI VOWEL SIGN OO
0A4C	grmk-gurmukhivowelsignau	GURMUKHI VOWEL SIGN AU
0A4D	grmk-gurmukhisignvirama	GURMUKHI SIGN VIRAMA
0A51	grmk-gurmukhisignudaat	GURMUKHI SIGN UDAAT
0A59	grmk-gurmukhiletterkhha	GURMUKHI LETTER KHHA
0A5A	grmk-gurmukhiletterghha	GURMUKHI LETTER GHHA
0A5B	grmk-gurmukhiletterza	GURMUKHI LETTER ZA
0A5C	grmk-gurmukhiletterrra	GURMUKHI LETTER RRA
0A5E	grmk-gurmukhiletterfa	GURMUKHI LETTER FA
0A66	grmk-gurmukhidigitzero	GURMUKHI DIGIT ZERO
0A67	grmk-gurmukhidigitone	GURMUKHI DIGIT ONE
0A68	grmk-gurmukhidigittwo	GURMUKHI DIGIT TWO
0A69	grmk-gurmukhidigitthree	GURMUKHI DIGIT THREE
0A6A	grmk-gurmukhidigitfour	GURMUKHI DIGIT FOUR
0A6B	grmk-gurmukhidigitfive	GURMUKHI DIGIT FIVE
0A6C	grmk-gurmukhidigitsix	GURMUKHI DIGIT SIX
0A6D	grmk-gurmukhidigitseven	GURMUKHI DIGIT SEVEN
0A6E	grmk-gurmukhidigiteight	GURMUKHI DIGIT EIGHT
0A6F	grmk-gurmukhidigitnine	GURMUKHI DIGIT NINE
0A70	grmk-gurmukhitippi	GURMUKHI TIPPI
0A71	grmk-gurmukhiaddak	GURMUKHI ADDAK
0A72	grmk-gurmukhiiri	GURMUKHI IRI
0A73	grmk-gurmukhiura	GURMUKHI URA
0A74	grmk-gurmukhiekonkar	GURMUKHI EK ONKAR
0A75	grmk-gurmukhisignyakash	GURMUKHI SIGN YAKASH
