# Halfwidth and Fullwidth Forms FF00 - FFEF
FF01	hlfw-exclamfullwidth	FULLWIDTH EXCLAMATION MARK
FF02	hlfw-quotedblfullwidth	FULLWIDTH QUOTATION MARK
FF03	hlfw-numbersignfullwidth	FULLWIDTH NUMBER SIGN
FF04	hlfw-dollarfullwidth	FULLWIDTH DOLLAR SIGN
FF05	hlfw-percentfullwidth	FULLWIDTH PERCENT SIGN
FF06	hlfw-ampersandfullwidth	FULLWIDTH AMPERSAND
FF07	hlfw-quotesinglefullwidth	FULLWIDTH APOSTROPHE
FF08	hlfw-parenthesisleftfullwidth	FULLWIDTH LEFT PARENTHESIS
FF09	hlfw-parenthesisrightfullwidth	FULLWIDTH RIGHT PARENTHESIS
FF0A	hlfw-asteriskfullwidth	FULLWIDTH ASTERISK
FF0B	hlfw-plusfullwidth	FULLWIDTH PLUS SIGN
FF0C	hlfw-commafullwidth	FULLWIDTH COMMA
FF0D	hlfw-hyphenfullwidth	FULLWIDTH HYPHEN-MINUS
FF0E	hlfw-periodfullwidth	FULLWIDTH FULL STOP
FF0F	hlfw-slashfullwidth	FULLWIDTH SOLIDUS
FF10	hlfw-zerofullwidth	FULLWIDTH DIGIT ZERO
FF11	hlfw-onefullwidth	FULLWIDTH DIGIT ONE
FF12	hlfw-twofullwidth	FULLWIDTH DIGIT TWO
FF13	hlfw-threefullwidth	FULLWIDTH DIGIT THREE
FF14	hlfw-fourfullwidth	FULLWIDTH DIGIT FOUR
FF15	hlfw-fivefullwidth	FULLWIDTH DIGIT FIVE
FF16	hlfw-sixfullwidth	FULLWIDTH DIGIT SIX
FF17	hlfw-sevenfullwidth	FULLWIDTH DIGIT SEVEN
FF18	hlfw-eightfullwidth	FULLWIDTH DIGIT EIGHT
FF19	hlfw-ninefullwidth	FULLWIDTH DIGIT NINE
FF1A	hlfw-colonfullwidth	FULLWIDTH COLON
FF1B	hlfw-semicolonfullwidth	FULLWIDTH SEMICOLON
FF1C	hlfw-lessfullwidth	FULLWIDTH LESS-THAN SIGN
FF1D	hlfw-equalfullwidth	FULLWIDTH EQUALS SIGN
FF1E	hlfw-greaterfullwidth	FULLWIDTH GREATER-THAN SIGN
FF1F	hlfw-questionfullwidth	FULLWIDTH QUESTION MARK
FF20	hlfw-atfullwidth	FULLWIDTH COMMERCIAL AT
FF21	hlfw-Afullwidth	FULLWIDTH LATIN CAPITAL LETTER A
FF22	hlfw-Bfullwidth	FULLWIDTH LATIN CAPITAL LETTER B
FF23	hlfw-Cfullwidth	FULLWIDTH LATIN CAPITAL LETTER C
FF24	hlfw-Dfullwidth	FULLWIDTH LATIN CAPITAL LETTER D
FF25	hlfw-Efullwidth	FULLWIDTH LATIN CAPITAL LETTER E
FF26	hlfw-Ffullwidth	FULLWIDTH LATIN CAPITAL LETTER F
FF27	hlfw-Gfullwidth	FULLWIDTH LATIN CAPITAL LETTER G
