# Hangul Compatibility Jamo 3130 - 318F
3131	ko-hangulletterkiyeok	HANGUL LETTER KIYEOK
3132	ko-hangulletterssangkiyeok	HANGUL LETTER SSANGKIYEOK
3133	ko-hangulletterkiyeoksios	HANGUL LETTER KIYEOK-SIOS
3134	ko-hangulletternieun	HANGUL LETTER NIEUN
3135	ko-hangulletternieuncieuc	HANGUL LETTER NIEUN-CIEUC
3136	ko-hangulletternieunhieuh	HANGUL LETTER NIEUN-HIEUH
3137	ko-hangullettertikeut	HANGUL LETTER TIKEUT
3138	ko-hangulletterssangtikeut	HANGUL LETTER SSANGTIKEUT
3139	ko-hangulletterrieul	HANGUL LETTER RIEUL
313A	ko-hangulletterrieulkiyeok	HANGUL LETTER RIEUL-KIYEOK
313B	ko-hangulletterrieulmieum	HANGUL LETTER RIEUL-MIEUM
313C	ko-hangulletterrieulpieup	HANGUL LETTER RIEUL-PIEUP
313D	ko-hangulletterrieulsios	HANGUL LETTER RIEUL-SIOS
313E	ko-hangulletterrieulthieuth	HANGUL LETTER RIEUL-THIEUTH
313F	ko-hangulletterrieulphieuph	HANGUL LETTER RIEUL-PHIEUPH
3140	ko-hangulletterrieulhieuh	HANGUL LETTER RIEUL-HIEUH
3141	ko-hangullettermieum	HANGUL LETTER MIEUM
3142	ko-hangulletterpieup	HANGUL LETTER PIEUP
3143	ko-hangulletterssangpieup	HANGUL LETTER SSANGPIEUP
3144	ko-hangulletterpieupsios	HANGUL LETTER PIEUP-SIOS
3145	ko-hangullettersios	HANGUL LETTER SIOS
3146	ko-hangulletterssangsios	HANGUL LETTER SSANGSIOS
3147	ko-hangulletterieung	HANGUL LETTER IEUNG
3148	ko-hangullettercieuc	HANGUL LETTER CIEUC
3149	ko-hangulletterssangcieuc	HANGUL LETTER SSANGCIEUC
314A	ko-hangulletterchieuch	HANGUL LETTER CHIEUCH
314B	ko-hangulletterkhieukh	HANGUL LETTER KHIEUKH
314C	ko-hangulletterthieuth	HANGUL LETTER THIEUTH
314D	ko-hangulletterphieuph	HANGUL LETTER PHIEUPH
314E	ko-hangulletterhieuh	HANGUL LETTER HIEUH
314F	ko-hangullettera	HANGUL LETTER A
3150	ko-hangulletterae	HANGUL LETTER AE
3151	ko-hangulletterya	HANGUL LETTER YA
3152	ko-hangulletteryae	HANGUL LETTER YAE
3153	ko-hangullettereo	HANGUL LETTER EO
3154	ko-hangullettere	HANGUL LETTER E
3155	ko-hangulletteryeo	HANGUL LETTER YEO
3156	ko-hangulletterye	HANGUL LETTER YE
3157	ko-hangullettero	HANGUL LETTER O
3158	ko-hangulletterwa	HANGUL LETTER WA
3159	ko-hangulletterwae	HANGUL LETTER WAE
315A	ko-hangulletteroe	HANGUL LETTER OE
315B	ko-hangulletteryo	HANGUL LETTER YO
315C	ko-hangulletteru	HANGUL LETTER U
315D	ko-hangulletterweo	HANGUL LETTER WEO
315E	ko-hangulletterwe	HANGUL LETTER WE
315F	ko-hangulletterwi	HANGUL LETTER WI
3160	ko-hangulletteryu	HANGUL LETTER YU
3161	ko-hangullettereu	HANGUL LETTER EU
3162	ko-hangulletteryi	HANGUL LETTER YI
3163	ko-hangulletteri	HANGUL LETTER I
3164	ko-hangulfiller	HANGUL FILLER
3165	ko-hangulletterssangnieun	HANGUL LETTER SSANGNIEUN
3166	ko-hangulletternieuntikeut	HANGUL LETTER NIEUN-TIKEUT
3167	ko-hangulletternieunsios	HANGUL LETTER NIEUN-SIOS
3168	ko-hangulletternieunpansios	HANGUL LETTER NIEUN-PANSIOS
3169	ko-hangulletterrieulkiyeoksios	HANGUL LETTER RIEUL-KIYEOK-SIOS
316A	ko-hangulletterrieultikeut	HANGUL LETTER RIEUL-TIKEUT
316B	ko-hangulletterrieulpieupsios	HANGUL LETTER RIEUL-PIEUP-SIOS
316C	ko-hangulletterrieulpansios	HANGUL LETTER RIEUL-PANSIOS
316D	ko-hangulletterrieulyeorinhieuh	HANGUL LETTER RIEUL-YEORINHIEUH
316E	ko-hangullettermieumpieup	HANGUL LETTER MIEUM-PIEUP
316F	ko-hangullettermieumsios	HANGUL LETTER MIEUM-SIOS
3170	ko-hangullettermieumpansios	HANGUL LETTER MIEUM-PANSIOS
3171	ko-hangulletterkapyeounmieum	HANGUL LETTER KAPYEOUNMIEUM
3172	ko-hangulletterpieupkiyeok	HANGUL LETTER PIEUP-KIYEOK
3173	ko-hangulletterpieuptikeut	HANGUL LETTER PIEUP-TIKEUT
3174	ko-hangulletterpieupsioskiyeok	HANGUL LETTER PIEUP-SIOS-KIYEOK
3175	ko-hangulletterpieupsiostikeut	HANGUL LETTER PIEUP-SIOS-TIKEUT
3176	ko-hangulletterpieupcieuc	HANGUL LETTER PIEUP-CIEUC
3177	ko-hangulletterpieupthieuth	HANGUL LETTER PIEUP-THIEUTH
3178	ko-hangulletterkapyeounpieup	HANGUL LETTER KAPYEOUNPIEUP
3179	ko-hangulletterkapyeounssangpieup	HANGUL LETTER KAPYEOUNSSANGPIEUP
317A	ko-hangullettersioskiyeok	HANGUL LETTER SIOS-KIYEOK
317B	ko-hangullettersiosnieun	HANGUL LETTER SIOS-NIEUN
317C	ko-hangullettersiostikeut	HANGUL LETTER SIOS-TIKEUT
317D	ko-hangullettersiospieup	HANGUL LETTER SIOS-PIEUP
317E	ko-hangullettersioscieuc	HANGUL LETTER SIOS-CIEUC
317F	ko-hangulletterpansios	HANGUL LETTER PANSIOS
3180	ko-hangulletterssangieung	HANGUL LETTER SSANGIEUNG
3181	ko-hangulletteryesieung	HANGUL LETTER YESIEUNG
3182	ko-hangulletteryesieungsios	HANGUL LETTER YESIEUNG-SIOS
3183	ko-hangulletteryesieungpansios	HANGUL LETTER YESIEUNG-PANSIOS
3184	ko-hangulletterkapyeounphieuph	HANGUL LETTER KAPYEOUNPHIEUPH
3185	ko-hangulletterssanghieuh	HANGUL LETTER SSANGHIEUH
3186	ko-hangulletteryeorinhieuh	HANGUL LETTER YEORINHIEUH
3187	ko-hangulletteryoya	HANGUL LETTER YO-YA
3188	ko-hangulletteryoyae	HANGUL LETTER YO-YAE
3189	ko-hangulletteryoi	HANGUL LETTER YO-I
318A	ko-hangulletteryuyeo	HANGUL LETTER YU-YEO
318B	ko-hangulletteryuye	HANGUL LETTER YU-YE
318C	ko-hangulletteryui	HANGUL LETTER YU-I
318D	ko-hangulletteraraea	HANGUL LETTER ARAEA
318E	ko-hangulletteraraeae	HANGUL LETTER ARAEAE
