# Hangul Jamo 1100 - 11FF
1100	hangulchoseongkiyeok	HANGUL CHOSEONG KIYEOK
1101	hangulchoseongssangkiyeok	HANGUL CHOSEONG SSANGKIYEOK
1102	hangulchoseongnieun	HANGUL CHOSEONG NIEUN
1103	hangulchoseongtikeut	HANGUL CHOSEONG TIKEUT
1104	hangulchoseongssangtikeut	HANGUL CHOSEONG SSANGTIKEUT
1105	hangulchoseongrieul	HANGUL CHOSEONG RIEUL
1106	hangulchoseongmieum	HANGUL CHOSEONG MIEUM
1107	hangulchoseongpieup	HANGUL CHOSEONG PIEUP
1108	hangulchoseongssangpieup	HANGUL CHOSEONG SSANGPIEUP
1109	hangulchoseongsios	HANGUL CHOSEONG SIOS
110A	hangulchoseongssangsios	HANGUL CHOSEONG SSANGSIOS
110B	hangulchoseongieung	HANGUL CHOSEONG IEUNG
110C	hangulchoseongcieuc	HANGUL CHOSEONG CIEUC
110D	hangulchoseongssangcieuc	HANGUL CHOSEONG SSANGCIEUC
110E	hangulchoseongchieuch	HANGUL CHOSEONG CHIEUCH
110F	hangulchoseongkhieukh	HANGUL CHOSEONG KHIEUKH
1110	hangulchoseongthieuth	HANGUL CHOSEONG THIEUTH
1111	hangulchoseongphieuph	HANGUL CHOSEONG PHIEUPH
1112	hangulchoseonghieuh	HANGUL CHOSEONG HIEUH
1113	hangulchoseongnieunkiyeok	HANGUL CHOSEONG NIEUN-KIYEOK
1114	hangulchoseongssangnieun	HANGUL CHOSEONG SSANGNIEUN
1115	hangulchoseongnieuntikeut	HANGUL CHOSEONG NIEUN-TIKEUT
1116	hangulchoseongnieunpieup	HANGUL CHOSEONG NIEUN-PIEUP
1117	hangulchoseongtikeutkiyeok	HANGUL CHOSEONG TIKEUT-KIYEOK
1118	hangulchoseongrieulnieun	HANGUL CHOSEONG RIEUL-NIEUN
1119	hangulchoseongssangrieul	HANGUL CHOSEONG SSANGRIEUL
111A	hangulchoseongrieulhieuh	HANGUL CHOSEONG RIEUL-HIEUH
111B	hangulchoseongkapyeounrieul	HANGUL CHOSEONG KAPYEOUNRIEUL
111C	hangulchoseongmieumpieup	HANGUL CHOSEONG MIEUM-PIEUP
111D	hangulchoseongkapyeounmieum	HANGUL CHOSEONG KAPYEOUNMIEUM
111E	hangulchoseongpieupkiyeok	HANGUL CHOSEONG PIEUP-KIYEOK
111F	hangulchoseongpieupnieun	HANGUL CHOSEONG PIEUP-NIEUN
1120	hangulchoseongpieuptikeut	HANGUL CHOSEONG PIEUP-TIKEUT
1121	hangulchoseongpieupsios	HANGUL CHOSEONG PIEUP-SIOS
1122	hangulchoseongpieupsioskiyeok	HANGUL CHOSEONG PIEUP-SIOS-KIYEOK
1123	hangulchoseongpieupsiostikeut	HANGUL CHOSEONG PIEUP-SIOS-TIKEUT
1124	hangulchoseongpieupsiospieup	HANGUL CHOSEONG PIEUP-SIOS-PIEUP
1125	hangulchoseongpieupssangsios	HANGUL CHOSEONG PIEUP-SSANGSIOS
1126	hangulchoseongpieupsioscieuc	HANGUL CHOSEONG PIEUP-SIOS-CIEUC
1127	hangulchoseongpieupcieuc	HANGUL CHOSEONG PIEUP-CIEUC
1128	hangulchoseongpieupchieuch	HANGUL CHOSEONG PIEUP-CHIEUCH
1129	hangulchoseongpieupthieuth	HANGUL CHOSEONG PIEUP-THIEUTH
112A	hangulchoseongpieupphieuph	HANGUL CHOSEONG PIEUP-PHIEUPH
112B	hangulchoseongkapyeounpieup	HANGUL CHOSEONG KAPYEOUNPIEUP
112C	hangulchoseongkapyeounssangpieup	HANGUL CHOSEONG KAPYEOUNSSANGPIEUP
112D	hangulchoseongsioskiyeok	HANGUL CHOSEONG SIOS-KIYEOK
112E	hangulchoseongsiosnieun	HANGUL CHOSEONG SIOS-NIEUN
112F	hangulchoseongsiostikeut	HANGUL CHOSEONG SIOS-TIKEUT
1130	hangulchoseongsiosrieul	HANGUL CHOSEONG SIOS-RIEUL
1131	hangulchoseongsiosmieum	HANGUL CHOSEONG SIOS-MIEUM
1132	hangulchoseongsiospieup	HANGUL CHOSEONG SIOS-PIEUP
1133	hangulchoseongsiospieupkiyeok	HANGUL CHOSEONG SIOS-PIEUP-KIYEOK
1134	hangulchoseongsiosssangsios	HANGUL CHOSEONG SIOS-SSANGSIOS
1135	hangulchoseongsiosieung	HANGUL CHOSEONG SIOS-IEUNG
1136	hangulchoseongsioscieuc	HANGUL CHOSEONG SIOS-CIEUC
1137	hangulchoseongsioschieuch	HANGUL CHOSEONG SIOS-CHIEUCH
1138	hangulchoseongsioskhieukh	HANGUL CHOSEONG SIOS-KHIEUKH
1139	hangulchoseongsiosthieuth	HANGUL CHOSEONG SIOS-THIEUTH
113A	hangulchoseongsiosphieuph	HANGUL CHOSEONG SIOS-PHIEUPH
113B	hangulchoseongsioshieuh	HANGUL CHOSEONG SIOS-HIEUH
113C	hangulchoseongchitueumsios	HANGUL CHOSEONG CHITUEUMSIOS
113D	hangulchoseongchitueumssangsios	HANGUL CHOSEONG CHITUEUMSSANGSIOS
113E	hangulchoseongceongchieumsios	HANGUL CHOSEONG CEONGCHIEUMSIOS
113F	hangulchoseongceongchieumssangsios	HANGUL CHOSEONG CEONGCHIEUMSSANGSIOS
1140	hangulchoseongpansios	HANGUL CHOSEONG PANSIOS
1141	hangulchoseongieungkiyeok	HANGUL CHOSEONG IEUNG-KIYEOK
1142	hangulchoseongieungtikeut	HANGUL CHOSEONG IEUNG-TIKEUT
1143	hangulchoseongieungmieum	HANGUL CHOSEONG IEUNG-MIEUM
1144	hangulchoseongieungpieup	HANGUL CHOSEONG IEUNG-PIEUP
1145	hangulchoseongieungsios	HANGUL CHOSEONG IEUNG-SIOS
1146	hangulchoseongieungpansios	HANGUL CHOSEONG IEUNG-PANSIOS
1147	hangulchoseongssangieung	HANGUL CHOSEONG SSANGIEUNG
1148	hangulchoseongieungcieuc	HANGUL CHOSEONG IEUNG-CIEUC
1149	hangulchoseongieungchieuch	HANGUL CHOSEONG IEUNG-CHIEUCH
114A	hangulchoseongieungthieuth	HANGUL CHOSEONG IEUNG-THIEUTH
114B	hangulchoseongieungphieuph	HANGUL CHOSEONG IEUNG-PHIEUPH
114C	hangulchoseongyesieung	HANGUL CHOSEONG YESIEUNG
114D	hangulchoseongcieucieung	HANGUL CHOSEONG CIEUC-IEUNG
114E	hangulchoseongchitueumcieuc	HANGUL CHOSEONG CHITUEUMCIEUC
114F	hangulchoseongchitueumssangcieuc	HANGUL CHOSEONG CHITUEUMSSANGCIEUC
1150	hangulchoseongceongchieumcieuc	HANGUL CHOSEONG CEONGCHIEUMCIEUC
1151	hangulchoseongceongchieumssangcieuc	HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC
1152	hangulchoseongchieuchkhieukh	HANGUL CHOSEONG CHIEUCH-KHIEUKH
1153	hangulchoseongchieuchhieuh	HANGUL CHOSEONG CHIEUCH-HIEUH
1154	hangulchoseongchitueumchieuch	HANGUL CHOSEONG CHITUEUMCHIEUCH
