# Hangul Jamo Extended-A A960 - A97F
A960	ko-hangulchoseongtikeutmieum	HANGUL CHOSEONG TIKEUT-MIEUM
A961	ko-hangulchoseongtikeutpieup	HANGUL CHOSEONG TIKEUT-PIEUP
A962	ko-hangulchoseongtikeutsios	HANGUL CHOSEONG TIKEUT-SIOS
A963	ko-hangulchoseongtikeutcieuc	HANGUL CHOSEONG TIKEUT-CIEUC
A964	ko-hangulchoseongrieulkiyeok	HANGUL CHOSEONG RIEUL-KIYEOK
A965	ko-hangulchoseongrieulssangkiyeok	HANGUL CHOSEONG RIEUL-SSANGKIYEOK
A966	ko-hangulchoseongrieultikeut	HANGUL CHOSEONG RIEUL-TIKEUT
A967	ko-hangulchoseongrieulssangtikeut	HANGUL CHOSEONG RIEUL-SSANGTIKEUT
A968	ko-hangulchoseongrieulmieum	HANGUL CHOSEONG RIEUL-MIEUM
A969	ko-hangulchoseongrieulpieup	HANGUL CHOSEONG RIEUL-PIEUP
A96A	ko-hangulchoseongrieulssangpieup	HANGUL CHOSEONG RIEUL-SSANGPIEUP
A96B	ko-hangulchoseongrieulkapyeounpieup	HANGUL CHOSEONG RIEUL-KAPYEOUNPIEUP
A96C	ko-hangulchoseongrieulsios	HANGUL CHOSEONG RIEUL-SIOS
A96D	ko-hangulchoseongrieulcieuc	HANGUL CHOSEONG RIEUL-CIEUC
A96E	ko-hangulchoseongrieulkhieukh	HANGUL CHOSEONG RIEUL-KHIEUKH
A96F	ko-hangulchoseongmieumkiyeok	HANGUL CHOSEONG MIEUM-KIYEOK
A970	ko-hangulchoseongmieumtikeut	HANGUL CHOSEONG MIEUM-TIKEUT
A971	ko-hangulchoseongmieumsios	HANGUL CHOSEONG MIEUM-SIOS
A972	ko-hangulchoseongpieupsiosthieuth	HANGUL CHOSEONG PIEUP-SIOS-THIEUTH
A973	ko-hangulchoseongpieupkhieukh	HANGUL CHOSEONG PIEUP-KHIEUKH
A974	ko-hangulchoseongpieuphieuh	HANGUL CHOSEONG PIEUP-HIEUH
A975	ko-hangulchoseongssangsiospieup	HANGUL CHOSEONG SSANGSIOS-PIEUP
A976	ko-hangulchoseongieungrieul	HANGUL CHOSEONG IEUNG-RIEUL
A977	ko-hangulchoseongieunghieuh	HANGUL CHOSEONG IEUNG-HIEUH
A978	ko-hangulchoseongssangcieuchieuh	HANGUL CHOSEONG SSANGCIEUC-HIEUH
A979	ko-hangulchoseongssangthieuth	HANGUL CHOSEONG SSANGTHIEUTH
A97A	ko-hangulchoseongphieuphhieuh	HANGUL CHOSEONG PHIEUPH-HIEUH
A97B	ko-hangulchoseonghieuhsios	HANGUL CHOSEONG HIEUH-SIOS
A97C	ko-hangulchoseongssangyeorinhieuh	HANGUL CHOSEONG SSANGYEORINHIEUH
