# Hangul Syllables AC00 - D7AF
AC00	ko-hangulsyllablega	HANGUL SYLLABLE GA
AC01	ko-hangulsyllablegag	HANGUL SYLLABLE GAG
AC02	ko-hangulsyllablegagg	HANGUL SYLLABLE GAGG
AC03	ko-hangulsyllablegags	HANGUL SYLLABLE GAGS
AC04	ko-hangulsyllablegan	HANGUL SYLLABLE GAN
AC05	ko-hangulsyllableganj	HANGUL SYLLABLE GANJ
AC06	ko-hangulsyllableganh	HANGUL SYLLABLE GANH
AC07	ko-hangulsyllablegad	HANGUL SYLLABLE GAD
AC08	ko-hangulsyllablegal	HANGUL SYLLABLE GAL
AC09	ko-hangulsyllablegalg	HANGUL SYLLABLE GALG
AC0A	ko-hangulsyllablegalm	HANGUL SYLLABLE GALM
AC0B	ko-hangulsyllablegalb	HANGUL SYLLABLE GALB
AC0C	ko-hangulsyllablegals	HANGUL SYLLABLE GALS
AC0D	ko-hangulsyllablegalt	HANGUL SYLLABLE GALT
AC0E	ko-hangulsyllablegalp	HANGUL SYLLABLE GALP
AC0F	ko-hangulsyllablegalh	HANGUL SYLLABLE GALH
AC10	ko-hangulsyllablegam	HANGUL SYLLABLE GAM
AC11	ko-hangulsyllablegab	HANGUL SYLLABLE GAB
AC12	ko-hangulsyllablegabs	HANGUL SYLLABLE GABS
AC13	ko-hangulsyllablegas	HANGUL SYLLABLE GAS
AC14	ko-hangulsyllablegass	HANGUL SYLLABLE GASS
AC15	ko-hangulsyllablegang	HANGUL SYLLABLE GANG
AC16	ko-hangulsyllablegaj	HANGUL SYLLABLE GAJ
AC17	ko-hangulsyllablegac	HANGUL SYLLABLE GAC
AC18	ko-hangulsyllablegak	HANGUL SYLLABLE GAK
AC19	ko-hangulsyllablegat	HANGUL SYLLABLE GAT
AC1A	ko-hangulsyllablegap	HANGUL SYLLABLE GAP
AC1B	ko-hangulsyllablegah	HANGUL SYLLABLE GAH
AC1C	ko-hangulsyllablegae	HANGUL SYLLABLE GAE
AC1D	ko-hangulsyllablegaeg	HANGUL SYLLABLE GAEG
AC1E	ko-hangulsyllablegaegg	HANGUL SYLLABLE GAEGG
AC1F	ko-hangulsyllablegaegs	HANGUL SYLLABLE GAEGS
AC20	ko-hangulsyllablegaen	HANGUL SYLLABLE GAEN
AC21	ko-hangulsyllablegaenj	HANGUL SYLLABLE GAENJ
AC22	ko-hangulsyllablegaenh	HANGUL SYLLABLE GAENH
AC23	ko-hangulsyllablegaed	HANGUL SYLLABLE GAED
AC24	ko-hangulsyllablegael	HANGUL SYLLABLE GAEL
AC25	ko-hangulsyllablegaelg	HANGUL SYLLABLE GAELG
AC26	ko-hangulsyllablegaelm	HANGUL SYLLABLE GAELM
AC27	ko-hangulsyllablegaelb	HANGUL SYLLABLE GAELB
AC28	ko-hangulsyllablegaels	HANGUL SYLLABLE GAELS
AC29	ko-hangulsyllablegaelt	HANGUL SYLLABLE GAELT
AC2A	ko-hangulsyllablegaelp	HANGUL SYLLABLE GAELP
AC2B	ko-hangulsyllablegaelh	HANGUL SYLLABLE GAELH
AC2C	ko-hangulsyllablegaem	HANGUL SYLLABLE GAEM
AC2D	ko-hangulsyllablegaeb	HANGUL SYLLABLE GAEB
AC2E	ko-hangulsyllablegaebs	HANGUL SYLLABLE GAEBS
AC2F	ko-hangulsyllablegaes	HANGUL SYLLABLE GAES
AC30	ko-hangulsyllablegaess	HANGUL SYLLABLE GAESS
AC31	ko-hangulsyllablegaeng	HANGUL SYLLABLE GAENG
AC32	ko-hangulsyllablegaej	HANGUL SYLLABLE GAEJ
AC33	ko-hangulsyllablegaec	HANGUL SYLLABLE GAEC
AC34	ko-hangulsyllablegaek	HANGUL SYLLABLE GAEK
AC35	ko-hangulsyllablegaet	HANGUL SYLLABLE GAET
AC36	ko-hangulsyllablegaep	HANGUL SYLLABLE GAEP
AC37	ko-hangulsyllablegaeh	HANGUL SYLLABLE GAEH
AC38	ko-hangulsyllablegya	HANGUL SYLLABLE GYA
AC39	ko-hangulsyllablegyag	HANGUL SYLLABLE GYAG
AC3A	ko-hangulsyllablegyagg	HANGUL SYLLABLE GYAGG
AC3B	ko-hangulsyllablegyags	HANGUL SYLLABLE GYAGS
AC3C	ko-hangulsyllablegyan	HANGUL SYLLABLE GYAN
AC3D	ko-hangulsyllablegyanj	HANGUL SYLLABLE GYANJ
AC3E	ko-hangulsyllablegyanh	HANGUL SYLLABLE GYANH
AC3F	ko-hangulsyllablegyad	HANGUL SYLLABLE GYAD
AC40	ko-hangulsyllablegyal	HANGUL SYLLABLE GYAL
AC41	ko-hangulsyllablegyalg	HANGUL SYLLABLE GYALG
AC42	ko-hangulsyllablegyalm	HANGUL SYLLABLE GYALM
AC43	ko-hangulsyllablegyalb	HANGUL SYLLABLE GYALB
AC44	ko-hangulsyllablegyals	HANGUL SYLLABLE GYALS
AC45	ko-hangulsyllablegyalt	HANGUL SYLLABLE GYALT
AC46	ko-hangulsyllablegyalp	HANGUL SYLLABLE GYALP
AC47	ko-hangulsyllablegyalh	HANGUL SYLLABLE GYALH
AC48	ko-hangulsyllablegyam	HANGUL SYLLABLE GYAM
