# Hanunoo 1720 - 173F
1720	hnn-hanunoolettera	HANUNOO LETTER A
1721	hnn-hanunooletteri	HANUNOO LETTER I
1722	hnn-hanunooletteru	HANUNOO LETTER U
1723	hnn-hanunooletterka	HANUNOO LETTER KA
1724	hnn-hanunooletterga	HANUNOO LETTER GA
1725	hnn-hanunooletternga	HANUNOO LETTER NGA
1726	hnn-hanunooletterta	HANUNOO LETTER TA
1727	hnn-hanunooletterda	HANUNOO LETTER DA
1728	hnn-hanunooletterna	HANUNOO LETTER NA
1729	hnn-hanunooletterpa	HANUNOO LETTER PA
172A	hnn-hanunooletterba	HANUNOO LETTER BA
172B	hnn-hanunooletterma	HANUNOO LETTER MA
172C	hnn-hanunooletterya	HANUNOO LETTER YA
172D	hnn-hanunooletterra	HANUNOO LETTER RA
172E	hnn-hanunooletterla	HANUNOO LETTER LA
172F	hnn-hanunooletterwa	HANUNOO LETTER WA
1730	hnn-hanunoolettersa	HANUNOO LETTER SA
1731	hnn-hanunooletterha	HANUNOO LETTER HA
1732	hnn-hanunoovowelsigni	HANUNOO VOWEL SIGN I
1733	hnn-hanunoovowelsignu	HANUNOO VOWEL SIGN U
1734	hnn-hanunoosignpamudpod	HANUNOO SIGN PAMUDPOD
1735	hnn-philippinesinglepunctuation	PHILIPPINE SINGLE PUNCTUATION
1736	hnn-philippinedoublepunctuation	PHILIPPINE DOUBLE PUNCTUATION
