# Hebrew 0590 - 05FF
0591	hb-etnahtaaccent	HEBREW ACCENT ETNAHTA
0592	hb-segolaccent	HEBREW ACCENT SEGOL
0593	hb-shalsheletaccent	HEBREW ACCENT SHALSHELET
0594	hb-zaqefqatanaccent	HEBREW ACCENT ZAQEF QATAN
0595	hb-zaqefgadolaccent	HEBREW ACCENT ZAQEF GADOL
0596	hb-tipehaaccent	HEBREW ACCENT TIPEHA
0597	hb-reviaaccent	HEBREW ACCENT REVIA
0598	hb-zarqaaccent	HEBREW ACCENT ZARQA
0599	hb-pashtaaccent	HEBREW ACCENT PASHTA
059A	hb-yetivaccent	HEBREW ACCENT YETIV
059B	hb-teviraccent	HEBREW ACCENT TEVIR
059C	hb-gereshaccent	HEBREW ACCENT GERESH
059D	hb-gereshmuqdamaccent	HEBREW ACCENT GERESH MUQDAM
059E	hb-gershayimaccent	HEBREW ACCENT GERSHAYIM
059F	hb-qarneyparaaccent	HEBREW ACCENT QARNEY PARA
05A0	hb-telishagedolaaccent	HEBREW ACCENT TELISHA GEDOLA
05A1	hb-pazeraccent	HEBREW ACCENT PAZER
05A2	hb-atnahhafukhaccent	HEBREW ACCENT ATNAH HAFUKH
05A3	hb-munahaccent	HEBREW ACCENT MUNAH
05A4	hb-mahapakhaccent	HEBREW ACCENT MAHAPAKH
05A5	hb-merkhaaccent	HEBREW ACCENT MERKHA
05A6	hb-merkhakefulaaccent	HEBREW ACCENT MERKHA KEFULA
05A7	hb-dargaaccent	HEBREW ACCENT DARGA
05A8	hb-qadmaaccent	HEBREW ACCENT QADMA
05A9	hb-telishaqetanaaccent	HEBREW ACCENT TELISHA QETANA
05AA	hb-yerahbenyomoaccent	HEBREW ACCENT YERAH BEN YOMO
05AB	hb-oleaccent	HEBREW ACCENT OLE
05AC	hb-iluyaccent	HEBREW ACCENT ILUY
05AD	hb-dehiaccent	HEBREW ACCENT DEHI
05AE	hb-zinoraccent	HEBREW ACCENT ZINOR
05AF	hb-markmasoracircle	HEBREW MARK MASORA CIRCLE
05B0	hb-shevapt	HEBREW POINT SHEVA
05B1	hb-hatafsegolpt	HEBREW POINT HATAF SEGOL
05B2	hb-hatafpatahpt	HEBREW POINT HATAF PATAH
05B3	hb-hatafqamatspt	HEBREW POINT HATAF QAMATS
05B4	hb-hiriqpt	HEBREW POINT HIRIQ
05B5	hb-tserept	HEBREW POINT TSERE
05B6	hb-segolpt	HEBREW POINT SEGOL
05B7	hb-patahpt	HEBREW POINT PATAH
05B8	hb-qamatspt	HEBREW POINT QAMATS
05B9	hb-holampt	HEBREW POINT HOLAM
05BA	hb-holamhaserforvavpt	HEBREW POINT HOLAM HASER FOR VAV
05BB	hb-qubutspt	HEBREW POINT QUBUTS
05BC	hb-dageshormapiqpt	HEBREW POINT DAGESH OR MAPIQ
05BD	hb-metegpt	HEBREW POINT METEG
05BE	hb-maqaf	HEBREW PUNCTUATION MAQAF
05BF	hb-rafept	HEBREW POINT RAFE
05C0	hb-paseq	HEBREW PUNCTUATION PASEQ
05C1	hb-shindotpt	HEBREW POINT SHIN DOT
05C2	hb-sindotpt	HEBREW POINT SIN DOT
05C3	hb-sofpasuq	HEBREW PUNCTUATION SOF PASUQ
05C4	hb-dotupper	HEBREW MARK UPPER DOT
05C5	hb-dotlower	HEBREW MARK LOWER DOT
05C6	hb-nunhafukha	HEBREW PUNCTUATION NUN HAFUKHA
05C7	hb-qamatsqatanpt	HEBREW POINT QAMATS QATAN
05D0	hb-alef	HEBREW LETTER ALEF
05D1	hb-bet	HEBREW LETTER BET
05D2	hb-gimel	HEBREW LETTER GIMEL
05D3	hb-dalet	HEBREW LETTER DALET
05D4	hb-he	HEBREW LETTER HE
05D5	hb-vav	HEBREW LETTER VAV
05D6	hb-zayin	HEBREW LETTER ZAYIN
05D7	hb-het	HEBREW LETTER HET
05D8	hb-tet	HEBREW LETTER TET
05D9	hb-yod	HEBREW LETTER YOD
05DA	hb-kaf.fina	HEBREW LETTER FINAL KAF
05DB	hb-kaf	HEBREW LETTER KAF
05DC	hb-lamed	HEBREW LETTER LAMED
05DD	hb-mem.fina	HEBREW LETTER FINAL MEM
05DE	hb-mem	HEBREW LETTER MEM
05DF	hb-nun.fina	HEBREW LETTER FINAL NUN
05E0	hb-nun	HEBREW LETTER NUN
05E1	hb-samekh	HEBREW LETTER SAMEKH
05E2	hb-ayin	HEBREW LETTER AYIN
05E3	hb-pe.fina	HEBREW LETTER FINAL PE
05E4	hb-pe	HEBREW LETTER PE
05E5	hb-tsadi.fina	HEBREW LETTER FINAL TSADI
05E6	hb-tsadi	HEBREW LETTER TSADI
05E7	hb-qof	HEBREW LETTER QOF
05E8	hb-resh	HEBREW LETTER RESH
05E9	hb-shin	HEBREW LETTER SHIN
05EA	hb-tav	HEBREW LETTER TAV
05F0	hb-vav_vav	HEBREW LIGATURE YIDDISH DOUBLE VAV
05F1	hb-vav_yod	HEBREW LIGATURE YIDDISH VAV YOD
05F2	hb-yod_yod	HEBREW LIGATURE YIDDISH DOUBLE YOD
05F3	hb-geresh	HEBREW PUNCTUATION GERESH
05F4	hb-gershayim	HEBREW PUNCTUATION GERSHAYIM
