# Inscriptional Pahlavi 10B60 - 10B7F
10B60	nscr-inscriptionalpahlaviletteraleph	INSCRIPTIONAL PAHLAVI LETTER ALEPH
10B61	nscr-inscriptionalpahlaviletterbeth	INSCRIPTIONAL PAHLAVI LETTER BETH
10B62	nscr-inscriptionalpahlavilettergimel	INSCRIPTIONAL PAHLAVI LETTER GIMEL
10B63	nscr-inscriptionalpahlaviletterdaleth	INSCRIPTIONAL PAHLAVI LETTER DALETH
10B64	nscr-inscriptionalpahlaviletterhe	INSCRIPTIONAL PAHLAVI LETTER HE
10B65	nscr-inscriptionalpahlaviletterwawayinresh	INSCRIPTIONAL PAHLAVI LETTER WAW-AYIN-RESH
10B66	nscr-inscriptionalpahlaviletterzayin	INSCRIPTIONAL PAHLAVI LETTER ZAYIN
10B67	nscr-inscriptionalpahlaviletterheth	INSCRIPTIONAL PAHLAVI LETTER HETH
10B68	nscr-inscriptionalpahlaviletterteth	INSCRIPTIONAL PAHLAVI LETTER TETH
10B69	nscr-inscriptionalpahlaviletteryodh	INSCRIPTIONAL PAHLAVI LETTER YODH
10B6A	nscr-inscriptionalpahlaviletterkaph	INSCRIPTIONAL PAHLAVI LETTER KAPH
10B6B	nscr-inscriptionalpahlaviletterlamedh	INSCRIPTIONAL PAHLAVI LETTER LAMEDH
10B6C	nscr-inscriptionalpahlavilettermemqoph	INSCRIPTIONAL PAHLAVI LETTER MEM-QOPH
10B6D	nscr-inscriptionalpahlaviletternun	INSCRIPTIONAL PAHLAVI LETTER NUN
10B6E	nscr-inscriptionalpahlavilettersamekh	INSCRIPTIONAL PAHLAVI LETTER SAMEKH
10B6F	nscr-inscriptionalpahlaviletterpe	INSCRIPTIONAL PAHLAVI LETTER PE
10B70	nscr-inscriptionalpahlavilettersadhe	INSCRIPTIONAL PAHLAVI LETTER SADHE
10B71	nscr-inscriptionalpahlavilettershin	INSCRIPTIONAL PAHLAVI LETTER SHIN
10B72	nscr-inscriptionalpahlavilettertaw	INSCRIPTIONAL PAHLAVI LETTER TAW
10B78	nscr-inscriptionalpahlavinumberone	INSCRIPTIONAL PAHLAVI NUMBER ONE
10B79	nscr-inscriptionalpahlavinumbertwo	INSCRIPTIONAL PAHLAVI NUMBER TWO
10B7A	nscr-inscriptionalpahlavinumberthree	INSCRIPTIONAL PAHLAVI NUMBER THREE
10B7B	nscr-inscriptionalpahlavinumberfour	INSCRIPTIONAL PAHLAVI NUMBER FOUR
10B7C	nscr-inscriptionalpahlavinumberten	INSCRIPTIONAL PAHLAVI NUMBER TEN
10B7D	nscr-inscriptionalpahlavinumbertwenty	INSCRIPTIONAL PAHLAVI NUMBER TWENTY
10B7E	nscr-inscriptionalpahlavinumberonehundred	INSCRIPTIONAL PAHLAVI NUMBER ONE HUNDRED
10B7F	nscr-inscriptionalpahlavinumberonethousand	INSCRIPTIONAL PAHLAVI NUMBER ONE THOUSAND
