# Inscriptional Parthian 10B40 - 10B5F
10B40	nscr-inscriptionalparthianletteraleph	INSCRIPTIONAL PARTHIAN LETTER ALEPH
10B41	nscr-inscriptionalparthianletterbeth	INSCRIPTIONAL PARTHIAN LETTER BETH
10B42	nscr-inscriptionalparthianlettergimel	INSCRIPTIONAL PARTHIAN LETTER GIMEL
10B43	nscr-inscriptionalparthianletterdaleth	INSCRIPTIONAL PARTHIAN LETTER DALETH
10B44	nscr-inscriptionalparthianletterhe	INSCRIPTIONAL PARTHIAN LETTER HE
10B45	nscr-inscriptionalparthianletterwaw	INSCRIPTIONAL PARTHIAN LETTER WAW
10B46	nscr-inscriptionalparthianletterzayin	INSCRIPTIONAL PARTHIAN LETTER ZAYIN
10B47	nscr-inscriptionalparthianletterheth	INSCRIPTIONAL PARTHIAN LETTER HETH
10B48	nscr-inscriptionalparthianletterteth	INSCRIPTIONAL PARTHIAN LETTER TETH
10B49	nscr-inscriptionalparthianletteryodh	INSCRIPTIONAL PARTHIAN LETTER YODH
10B4A	nscr-inscriptionalparthianletterkaph	INSCRIPTIONAL PARTHIAN LETTER KAPH
10B4B	nscr-inscriptionalparthianletterlamedh	INSCRIPTIONAL PARTHIAN LETTER LAMEDH
10B4C	nscr-inscriptionalparthianlettermem	INSCRIPTIONAL PARTHIAN LETTER MEM
10B4D	nscr-inscriptionalparthianletternun	INSCRIPTIONAL PARTHIAN LETTER NUN
10B4E	nscr-inscriptionalparthianlettersamekh	INSCRIPTIONAL PARTHIAN LETTER SAMEKH
10B4F	nscr-inscriptionalparthianletterayin	INSCRIPTIONAL PARTHIAN LETTER AYIN
10B50	nscr-inscriptionalparthianletterpe	INSCRIPTIONAL PARTHIAN LETTER PE
10B51	nscr-inscriptionalparthianlettersadhe	INSCRIPTIONAL PARTHIAN LETTER SADHE
10B52	nscr-inscriptionalparthianletterqoph	INSCRIPTIONAL PARTHIAN LETTER QOPH
10B53	nscr-inscriptionalparthianletterresh	INSCRIPTIONAL PARTHIAN LETTER RESH
10B54	nscr-inscriptionalparthianlettershin	INSCRIPTIONAL PARTHIAN LETTER SHIN
10B55	nscr-inscriptionalparthianlettertaw	INSCRIPTIONAL PARTHIAN LETTER TAW
10B58	nscr-inscriptionalparthiannumberone	INSCRIPTIONAL PARTHIAN NUMBER ONE
10B59	nscr-inscriptionalparthiannumbertwo	INSCRIPTIONAL PARTHIAN NUMBER TWO
10B5A	nscr-inscriptionalparthiannumberthree	INSCRIPTIONAL PARTHIAN NUMBER THREE
10B5B	nscr-inscriptionalparthiannumberfour	INSCRIPTIONAL PARTHIAN NUMBER FOUR
10B5C	nscr-inscriptionalparthiannumberten	INSCRIPTIONAL PARTHIAN NUMBER TEN
10B5D	nscr-inscriptionalparthiannumbertwenty	INSCRIPTIONAL PARTHIAN NUMBER TWENTY
10B5E	nscr-inscriptionalparthiannumberonehundred	INSCRIPTIONAL PARTHIAN NUMBER ONE HUNDRED
10B5F	nscr-inscriptionalparthiannumberonethousand	INSCRIPTIONAL PARTHIAN NUMBER ONE THOUSAND
