# Kaithi 11080 - 110CF
11080	kth-kaithisigncandrabindu	KAITHI SIGN CANDRABINDU
11081	kth-kaithisignanusvara	KAITHI SIGN ANUSVARA
11082	kth-kaithisignvisarga	KAITHI SIGN VISARGA
11083	kth-kaithilettera	KAITHI LETTER A
11084	kth-kaithiletteraa	KAITHI LETTER AA
11085	kth-kaithiletteri	KAITHI LETTER I
11086	kth-kaithiletterii	KAITHI LETTER II
11087	kth-kaithiletteru	KAITHI LETTER U
11088	kth-kaithiletteruu	KAITHI LETTER UU
11089	kth-kaithilettere	KAITHI LETTER E
1108A	kth-kaithiletterai	KAITHI LETTER AI
1108B	kth-kaithilettero	KAITHI LETTER O
1108C	kth-kaithiletterau	KAITHI LETTER AU
1108D	kth-kaithiletterka	KAITHI LETTER KA
1108E	kth-kaithiletterkha	KAITHI LETTER KHA
1108F	kth-kaithiletterga	KAITHI LETTER GA
11090	kth-kaithilettergha	KAITHI LETTER GHA
11091	kth-kaithiletternga	KAITHI LETTER NGA
11092	kth-kaithiletterca	KAITHI LETTER CA
11093	kth-kaithilettercha	KAITHI LETTER CHA
11094	kth-kaithiletterja	KAITHI LETTER JA
11095	kth-kaithiletterjha	KAITHI LETTER JHA
11096	kth-kaithiletternya	KAITHI LETTER NYA
11097	kth-kaithilettertta	KAITHI LETTER TTA
11098	kth-kaithiletterttha	KAITHI LETTER TTHA
11099	kth-kaithiletterdda	KAITHI LETTER DDA
1109A	kth-kaithiletterdddha	KAITHI LETTER DDDHA
1109B	kth-kaithiletterddha	KAITHI LETTER DDHA
1109C	kth-kaithiletterrha	KAITHI LETTER RHA
1109D	kth-kaithiletternna	KAITHI LETTER NNA
1109E	kth-kaithiletterta	KAITHI LETTER TA
1109F	kth-kaithilettertha	KAITHI LETTER THA
110A0	kth-kaithiletterda	KAITHI LETTER DA
110A1	kth-kaithiletterdha	KAITHI LETTER DHA
110A2	kth-kaithiletterna	KAITHI LETTER NA
110A3	kth-kaithiletterpa	KAITHI LETTER PA
110A4	kth-kaithiletterpha	KAITHI LETTER PHA
110A5	kth-kaithiletterba	KAITHI LETTER BA
110A6	kth-kaithiletterbha	KAITHI LETTER BHA
110A7	kth-kaithiletterma	KAITHI LETTER MA
110A8	kth-kaithiletterya	KAITHI LETTER YA
110A9	kth-kaithiletterra	KAITHI LETTER RA
110AA	kth-kaithiletterla	KAITHI LETTER LA
110AB	kth-kaithiletterva	KAITHI LETTER VA
110AC	kth-kaithilettersha	KAITHI LETTER SHA
110AD	kth-kaithiletterssa	KAITHI LETTER SSA
110AE	kth-kaithilettersa	KAITHI LETTER SA
110AF	kth-kaithiletterha	KAITHI LETTER HA
110B0	kth-kaithivowelsignaa	KAITHI VOWEL SIGN AA
110B1	kth-kaithivowelsigni	KAITHI VOWEL SIGN I
110B2	kth-kaithivowelsignii	KAITHI VOWEL SIGN II
110B3	kth-kaithivowelsignu	KAITHI VOWEL SIGN U
110B4	kth-kaithivowelsignuu	KAITHI VOWEL SIGN UU
110B5	kth-kaithivowelsigne	KAITHI VOWEL SIGN E
110B6	kth-kaithivowelsignai	KAITHI VOWEL SIGN AI
110B7	kth-kaithivowelsigno	KAITHI VOWEL SIGN O
110B8	kth-kaithivowelsignau	KAITHI VOWEL SIGN AU
110B9	kth-kaithisignvirama	KAITHI SIGN VIRAMA
110BA	kth-kaithisignnukta	KAITHI SIGN NUKTA
110BB	kth-kaithiabbreviationsign	KAITHI ABBREVIATION SIGN
110BC	kth-kaithienumerationsign	KAITHI ENUMERATION SIGN
110BD	kth-kaithinumbersign	KAITHI NUMBER SIGN
110BE	kth-kaithisectionmark	KAITHI SECTION MARK
110BF	kth-kaithidoublesectionmark	KAITHI DOUBLE SECTION MARK
110C0	kth-kaithidanda	KAITHI DANDA
110C1	kth-kaithidoubledanda	KAITHI DOUBLE DANDA
