# Kanbun 3190 - 319F
3190	knbn-ideographicannotationlinkingmark	IDEOGRAPHIC ANNOTATION LINKING MARK
3191	knbn-ideographicannotationreversemark	IDEOGRAPHIC ANNOTATION REVERSE MARK
3192	knbn-ideographicannotationonemark	IDEOGRAPHIC ANNOTATION ONE MARK
3193	knbn-ideographicannotationtwomark	IDEOGRAPHIC ANNOTATION TWO MARK
3194	knbn-ideographicannotationthreemark	IDEOGRAPHIC ANNOTATION THREE MARK
3195	knbn-ideographicannotationfourmark	IDEOGRAPHIC ANNOTATION FOUR MARK
3196	knbn-ideographicannotationtopmark	IDEOGRAPHIC ANNOTATION TOP MARK
3197	knbn-ideographicannotationmiddlemark	IDEOGRAPHIC ANNOTATION MIDDLE MARK
3198	knbn-ideographicannotationbottommark	IDEOGRAPHIC ANNOTATION BOTTOM MARK
3199	knbn-ideographicannotationfirstmark	IDEOGRAPHIC ANNOTATION FIRST MARK
319A	knbn-ideographicannotationsecondmark	IDEOGRAPHIC ANNOTATION SECOND MARK
319B	knbn-ideographicannotationthirdmark	IDEOGRAPHIC ANNOTATION THIRD MARK
319C	knbn-ideographicannotationfourthmark	IDEOGRAPHIC ANNOTATION FOURTH MARK
319D	knbn-ideographicannotationheavenmark	IDEOGRAPHIC ANNOTATION HEAVEN MARK
319E	knbn-ideographicannotationearthmark	IDEOGRAPHIC ANNOTATION EARTH MARK
319F	knbn-ideographicannotationmanmark	IDEOGRAPHIC ANNOTATION MAN MARK
